SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,51,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,90,92%,1%,98%,90%,1%,96%,91%,1%,94%,93%,1%,98%,94%,1%,96%,1%,0%,1%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,74,96%,3%,100%,96%,3%,100%,96%,4%,100%,96%,4%,100%,95%,5%,100%,5%,0%,5%
ACACIA ELEMENTARY SCHOOL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,110,93%,3%,100%,94%,2%,100%,94%,2%,100%,94%,2%,100%,95%,2%,97%,2%,1%,2%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,120,91%,8%,100%,93%,7%,100%,93%,5%,98%,95%,5%,100%,93%,5%,98%,8%,0%,8%
ACADEMY ADVENTURES MIDTOWN,3025 N WINSTEL BLVD,TUCSON,PIMA,85716,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACADEMY DEL SOL,4525 E BROADWAY BLVD,TUCSON,PIMA,85705,NO,,CHARTER,22,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,NO,,CHARTER,85,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,92,93%,7%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,97%,3%,100%,7%,0%,3%
