SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
COUNTRY MEADOWS ELEMENTARY SCHOOL,8409 N 111 TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,103,91%,0%,91%,99.0%,0.0%,99.0%,92.2%,0.0%,92.2%,96.1%,0.0%,96.1%,97.1%,0.0%,97.1%,0.0%,0.0%,0.0%
COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,60,82%,13%,95%,80.0%,10.0%,90.0%,81.7%,13.3%,95.0%,90.0%,10.0%,100.0%,90.0%,8.3%,98.3%,13.3%,0.0%,8.3%
ZUNI HILLS ELEMENTARY SCHOOL,10851 W WILLIAMS RD,PEORIA,MARICOPA,85373,YES,RN,PUBLIC,84,88%,6%,94%,71.4%,4.8%,76.2%,84.5%,8.3%,92.9%,89.3%,6.0%,95.2%,92.9%,4.8%,97.6%,9.5%,0.0%,3.6%
PARKRIDGE ELEMENTARY,9970 W BEARDSLEY RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,82,94%,2%,96%,97.6%,2.4%,100.0%,93.9%,1.2%,95.1%,97.6%,1.2%,98.8%,98.8%,1.2%,100.0%,2.4%,0.0%,1.2%
VISTANCIA ELEMENTARY SCHOOL,30009 N SUNSET POINT,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,120,85%,7%,92%,94.2%,5.0%,99.2%,85.8%,5.8%,91.7%,92.5%,6.7%,99.2%,93.3%,5.8%,99.2%,8.3%,0.0%,5.8%
LAKE PLEASANT ELEMENTARY,31501 N WESTLAND RD,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,138,83%,7%,89%,92.0%,6.5%,98.6%,84.8%,6.5%,91.3%,88.4%,6.5%,94.9%,90.6%,6.5%,97.1%,6.5%,0.0%,6.5%
PEORIA TRADITIONAL SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,43,91%,7%,98%,93.0%,4.7%,97.7%,88.4%,9.3%,97.7%,93.0%,4.7%,97.7%,90.7%,9.3%,100.0%,9.3%,0.0%,4.7%
SUNSET HEIGHTS ELEMENTARY SCHOOL-85382,9687 W ADAM AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,93,95%,4%,99%,93.5%,5.4%,98.9%,92.5%,6.5%,98.9%,93.5%,5.4%,98.9%,93.5%,5.4%,98.9%,6.5%,0.0%,4.3%
COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,TUCSON,PIMA,85743,NO,,PUBLIC,82,88%,12%,100%,87.8%,12.2%,100.0%,87.8%,12.2%,100.0%,90.2%,9.8%,100.0%,91.5%,8.5%,100.0%,12.2%,0.0%,8.5%
GILA BEND ELEMENTARY SCHOOL,308 N MARTIN AVE,GILA BEND,MARICOPA,85337,YES,RN,CHARTER,36,100%,0%,100%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
GILBERT ELEMENTARY SCHOOL,175 W ELLIOT RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,89,90%,10%,100%,88.8%,11.2%,100.0%,89.9%,9.0%,100.0%,88.8%,7.9%,100.0%,92.1%,6.7%,100.0%,11.2%,3.4%,6.7%
GREENFIELD ELEMENTARY SCHOOL,2550 E ELLIOT RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,119,94%,6%,100%,95.0%,5.0%,100.0%,89.1%,10.9%,100.0%,92.4%,7.6%,100.0%,94.1%,5.0%,100.0%,12.6%,0.0%,3.4%
PATTERSON ELEMENTARY SCHOOL,1211 E GUADALUPE RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,56,89%,9%,100%,91.1%,8.9%,100.0%,89.3%,10.7%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,8.9%,0.0%,7.1%
NEELY TRADITIONAL ACADEMY,500 E HOUSTON AVENUE,GILBERT,MARICOPA,85234,YES,Both,PUBLIC,110,91%,8%,100%,91.8%,8.2%,100.0%,90.9%,8.2%,99.1%,92.7%,7.3%,100.0%,94.5%,5.5%,100.0%,8.2%,0.0%,8.2%
PIONEER ELEMENTARY SCHOOL-85234,1535 N GREENFIELD RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,49,88%,12%,100%,87.8%,12.2%,100.0%,87.8%,12.2%,100.0%,91.8%,8.2%,100.0%,89.8%,10.2%,100.0%,12.2%,0.0%,8.2%
ISLANDS ELEMENTARY SCHOOL,245 S MCQUEEN RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,64,91%,6%,100%,90.6%,7.8%,100.0%,89.1%,7.8%,100.0%,95.3%,3.1%,100.0%,96.9%,3.1%,100.0%,9.4%,0.0%,3.1%
PICTURE ROCKS ELEMENTARY SCHOOL,5875 N SANDERS RD,TUCSON,PIMA,85743,NO,,PUBLIC,74,91%,9%,100%,91.9%,8.1%,100.0%,90.5%,8.1%,98.6%,91.9%,6.8%,98.6%,93.2%,6.8%,100.0%,14.9%,0.0%,4.1%
BURK ELEMENTARY SCHOOL,545 N BURK ST,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,74,89%,11%,100%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,90.5%,9.5%,100.0%,93.2%,6.8%,100.0%,10.8%,0.0%,6.8%
VAL VISTA LAKES ELEMENTARY SCHOOL,1030 N BLUE GROTTO DR,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,63,84%,14%,100%,84.1%,14.3%,100.0%,85.7%,14.3%,100.0%,92.1%,7.9%,100.0%,95.2%,4.8%,100.0%,17.5%,0.0%,6.3%
MESQUITE ELEMENTARY SCHOOL - GILBERT,1101 E MESQUITE ST,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,74,82%,16%,100%,82.4%,17.6%,100.0%,86.5%,13.5%,100.0%,90.5%,8.1%,100.0%,95.9%,4.1%,100.0%,18.9%,0.0%,2.7%
HARRIS ELEMENTARY SCHOOL,1820 S HARRIS DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,44,89%,11%,100%,88.6%,11.4%,100.0%,88.6%,11.4%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,11.4%,0.0%,4.5%
PLAYA DEL REY ELEMENTARY SCHOOL,550 N HORNE,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,63,90%,5%,98%,92.1%,6.3%,100.0%,90.5%,6.3%,98.4%,96.8%,0.0%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,3.2%
TOWNE MEADOWS ELEMENTARY SCHOOL,1101 N RECKER RD,HIGLEY,MARICOPA,85234,NO,,PUBLIC,70,93%,7%,100%,91.4%,8.6%,100.0%,92.9%,7.1%,100.0%,91.4%,8.6%,100.0%,92.9%,7.1%,100.0%,10.0%,0.0%,7.1%
SONOMA RANCH ELEMENTARY SCHOOL,601 N BISCAYNE DR,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,60,95%,3%,100%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,1.7%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
SUPERSTITION SPRINGS ELEMENTARY,7125 E MONTEREY AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,125,92%,8%,100%,92.0%,8.0%,100.0%,91.2%,8.0%,100.0%,92.0%,8.0%,100.0%,94.4%,5.6%,100.0%,5.6%,0.0%,3.2%
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,94,96%,3%,100%,93.6%,4.3%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,98.9%,1.1%,100.0%,4.3%,0.0%,1.1%
TWIN PEAKS ELEMENTARY SCHOOL,7995 W TWIN PEAKS RD,TUCSON,PIMA,85743,YES,RN,PUBLIC,95,95%,4%,99%,94.7%,4.2%,98.9%,94.7%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,1.1%,4.2%
OAK TREE ELEMENTARY,505 W HOUSTON,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,47,91%,4%,100%,91.5%,4.3%,100.0%,93.6%,4.3%,100.0%,97.9%,2.1%,100.0%,95.7%,4.3%,100.0%,4.3%,2.1%,2.1%
SETTLERS POINT ELEMENTARY,423 E SETTLERS POINT,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,63,97%,3%,100%,95.2%,4.8%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,3.2%
CAROL RAE RANCH ELEMENTARY,3777 E HOUSTON AVE,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,64,89%,11%,100%,89.1%,10.9%,100.0%,89.1%,10.9%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,10.9%,0.0%,6.3%
BOULDER CREEK ELEMENTARY - 85212,8045 E PORTOBELLO AVE,MESA,MARICOPA,85212,YES,RN,PUBLIC,47,87%,9%,100%,85.1%,10.6%,100.0%,91.5%,8.5%,100.0%,89.4%,8.5%,100.0%,93.6%,6.4%,100.0%,10.6%,0.0%,6.4%
