SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,78,91%,1%,92%,96.2%,1.3%,97.4%,96.2%,1.3%,97.4%,97.4%,1.3%,98.7%,94.9%,1.3%,96.2%,1.3%,0.0%,0.0%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,NO,,PUBLIC,78,92%,3%,95%,97.4%,1.3%,98.7%,97.4%,1.3%,98.7%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,2.6%,0.0%,1.3%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,51,94%,4%,100%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,98.0%,2.0%,100.0%,96.1%,3.9%,100.0%,3.9%,0.0%,3.9%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,40,83%,5%,88%,85.0%,5.0%,90.0%,85.0%,5.0%,90.0%,85.0%,5.0%,90.0%,87.5%,5.0%,92.5%,5.0%,0.0%,5.0%
JOHNSON ELEMENTARY SCHOOL,3807 E PUEBLO,MESA,MARICOPA,85206,YES,RN,PUBLIC,80,83%,16%,100%,82.5%,16.3%,100.0%,83.8%,16.3%,100.0%,90.0%,10.0%,100.0%,91.3%,8.8%,100.0%,16.3%,0.0%,8.8%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,48,88%,8%,100%,89.6%,8.3%,100.0%,91.7%,8.3%,100.0%,89.6%,8.3%,100.0%,91.7%,8.3%,100.0%,6.3%,2.1%,6.3%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,61,92%,5%,97%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,100.0%,0.0%,100.0%,4.9%,0.0%,0.0%
ISHIKAWA ELEMENTARY SCHOOL,2635 N 32ND ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,123,93%,7%,100%,92.7%,6.5%,100.0%,92.7%,7.3%,100.0%,91.9%,6.5%,100.0%,94.3%,5.7%,100.0%,8.1%,0.8%,5.7%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,54,85%,11%,100%,88.9%,11.1%,100.0%,88.9%,11.1%,100.0%,90.7%,7.4%,100.0%,94.4%,5.6%,100.0%,11.1%,0.0%,3.7%
SOUSA ELEMENTARY SCHOOL,616 N MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,61,95%,2%,100%,96.7%,1.6%,100.0%,96.7%,1.6%,100.0%,96.7%,1.6%,100.0%,98.4%,1.6%,100.0%,3.3%,1.6%,0.0%
HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,83,95%,5%,100%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,97.6%,2.4%,100.0%,8.4%,0.0%,4.8%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,59,93%,5%,98%,96.6%,1.7%,98.3%,94.9%,5.1%,100.0%,94.9%,3.4%,100.0%,98.3%,1.7%,100.0%,8.5%,1.7%,1.7%
PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MESA,MARICOPA,85204,YES,RN,PUBLIC,64,91%,8%,98%,92.2%,6.3%,98.4%,92.2%,6.3%,98.4%,93.8%,4.7%,98.4%,93.8%,4.7%,98.4%,6.3%,1.6%,4.7%
KERR ELEMENTARY SCHOOL,125 E MCLELLAN RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,79,77%,0%,77%,79.7%,0.0%,79.7%,81.0%,0.0%,81.0%,84.8%,0.0%,84.8%,93.7%,0.0%,93.7%,6.3%,0.0%,6.3%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,63,89%,8%,100%,88.9%,7.9%,100.0%,88.9%,7.9%,100.0%,95.2%,3.2%,100.0%,96.8%,3.2%,100.0%,7.9%,0.0%,3.2%
RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MESA,MARICOPA,85215,YES,RN,PUBLIC,59,83%,14%,100%,86.4%,11.9%,100.0%,84.7%,13.6%,100.0%,86.4%,11.9%,100.0%,91.5%,8.5%,100.0%,13.6%,0.0%,6.8%
BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,71,80%,18%,100%,77.5%,19.7%,100.0%,80.3%,19.7%,100.0%,84.5%,14.1%,100.0%,87.3%,12.7%,100.0%,19.7%,0.0%,9.9%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,73,90%,10%,100%,90.4%,9.6%,100.0%,90.4%,9.6%,100.0%,94.5%,5.5%,100.0%,97.3%,2.7%,100.0%,11.0%,0.0%,2.7%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,46,93%,7%,100%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,6.5%,0.0%,6.5%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,111,95%,4%,99%,95.5%,3.6%,99.1%,94.6%,4.5%,99.1%,96.4%,3.6%,100.0%,97.3%,2.7%,100.0%,4.5%,0.9%,2.7%
PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PUBLIC,54,93%,6%,100%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,5.6%,0.0%,1.9%
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,58,93%,7%,100%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,96.6%,3.4%,100.0%,100.0%,0.0%,100.0%,5.2%,1.7%,5.2%
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,55,93%,7%,100%,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,96.4%,3.6%,100.0%,7.3%,0.0%,3.6%
JAMES KENDALL ZAHARIS ELEMENTARY,9410 E MCKELLIPS RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,102,93%,7%,100%,94.1%,5.9%,100.0%,93.1%,6.9%,100.0%,96.1%,3.9%,100.0%,96.1%,3.9%,100.0%,6.9%,0.0%,3.9%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,64,95%,5%,100%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,4.7%,0.0%,4.7%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,85206,YES,RN,PUBLIC,113,88%,12%,100%,88.5%,11.5%,100.0%,89.4%,10.6%,100.0%,92.0%,8.0%,100.0%,94.7%,5.3%,100.0%,14.2%,0.0%,4.4%
SUMMIT ACADEMY,1560 W SUMMIT PL,CHANDLER,MARICOPA,85224,YES,RN,PUBLIC,92,91%,8%,99%,92.4%,6.5%,98.9%,91.3%,7.6%,98.9%,97.8%,1.1%,98.9%,98.9%,0.0%,98.9%,7.6%,2.2%,7.6%
ROADRUNNER ELEMENTARY SCHOOL-85653,16651 W CALLE CARMELA,MARANA,PIMA,85653,NO,,PUBLIC,48,85%,2%,88%,85.4%,2.1%,87.5%,85.4%,2.1%,87.5%,85.4%,2.1%,95.8%,93.8%,2.1%,95.8%,2.1%,2.1%,2.1%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,61,57%,43%,100%,60.7%,37.7%,100.0%,55.7%,42.6%,100.0%,72.1%,27.9%,100.0%,96.7%,3.3%,100.0%,44.3%,1.6%,3.3%
HASSAYAMPA ELEMENTARY SCHOOL,195 E COCONINO ST.,WICKENBURG,MARICOPA,85390,NO,,PUBLIC,57,75%,7%,84%,70.2%,7.0%,78.9%,68.4%,12.3%,82.5%,80.7%,7.0%,89.5%,78.9%,7.0%,86.0%,8.8%,0.0%,7.0%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,32,94%,3%,97%,90.6%,3.1%,96.9%,93.8%,3.1%,96.9%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,3.1%,0.0%,3.1%
PEORIA ELEMENTARY SCHOOL,11501 N 79TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,55,87%,4%,91%,92.7%,3.6%,96.4%,90.9%,3.6%,94.5%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,3.6%,0.0%,3.6%
IRA A MURPHY SCHOOL,7231 W NORTH LN,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,50,96%,0%,96%,100.0%,0.0%,100.0%,94.0%,0.0%,94.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
KACHINA ELEMENTARY SCHOOL,5304 W CROCUS DR,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,23,100%,0%,100%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
HERITAGE SCHOOL,5312 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,YES,LPN,PUBLIC,39,90%,5%,100%,92.3%,2.6%,100.0%,94.9%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,5.1%,0.0%,2.6%
PIONEER ELEMENTARY SCHOOL-85306,6315 W PORT AU PRINCE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,37,78%,11%,89%,89.2%,10.8%,100.0%,83.8%,8.1%,91.9%,91.9%,8.1%,100.0%,89.2%,8.1%,97.3%,10.8%,0.0%,2.7%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,58,88%,2%,90%,96.6%,1.7%,98.3%,91.4%,1.7%,93.1%,93.1%,1.7%,94.8%,98.3%,1.7%,100.0%,1.7%,0.0%,1.7%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,60,97%,0%,97%,98.3%,1.7%,100.0%,96.7%,0.0%,96.7%,95.0%,1.7%,96.7%,98.3%,1.7%,100.0%,3.3%,0.0%,0.0%
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,64,91%,5%,95%,93.8%,4.7%,98.4%,89.1%,6.3%,96.9%,93.8%,4.7%,98.4%,93.8%,4.7%,98.4%,6.3%,0.0%,4.7%
COPPERWOOD SCHOOL,11232 N 65TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,58,84%,5%,90%,89.7%,5.2%,94.8%,87.9%,5.2%,93.1%,89.7%,5.2%,94.8%,94.8%,5.2%,100.0%,5.2%,0.0%,5.2%
SUNDANCE ELEMENTARY SCHOOL-85345,7051 W CHOLLA ST,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,68,97%,0%,97%,91.2%,0.0%,91.2%,88.2%,0.0%,88.2%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
COTTON BOLL SCHOOL,8540 W BUTLER DR,PEORIA,MARICOPA,85345,YES,Both,PUBLIC,65,94%,5%,98%,95.4%,4.6%,100.0%,93.8%,4.6%,98.5%,93.8%,4.6%,100.0%,95.4%,4.6%,100.0%,4.6%,0.0%,3.1%
OAKWOOD ELEMENTARY SCHOOL,12900 N 71ST AVE,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,113,88%,3%,90%,93.8%,2.7%,96.5%,86.7%,2.7%,89.4%,94.7%,2.7%,97.3%,97.3%,2.7%,100.0%,2.7%,0.0%,2.7%
DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,39,85%,5%,90%,94.9%,5.1%,100.0%,89.7%,5.1%,94.9%,92.3%,5.1%,97.4%,94.9%,5.1%,100.0%,5.1%,0.0%,5.1%
IRONWOOD ELEMENTARY SCHOOL,3300 W FREER DR,TUCSON,PIMA,85742,NO,,PUBLIC,67,87%,0%,87%,89.6%,0.0%,89.6%,88.1%,0.0%,88.1%,89.6%,0.0%,89.6%,95.5%,0.0%,95.5%,4.5%,0.0%,4.5%
SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,68,88%,4%,93%,85.3%,4.4%,89.7%,91.2%,4.4%,95.6%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,4.4%,0.0%,4.4%
OASIS ELEMENTARY SCHOOL,7841 W SWEETWATER AVE,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,65,85%,0%,85%,81.5%,0.0%,81.5%,86.2%,0.0%,86.2%,95.4%,0.0%,95.4%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SUN VALLEY ELEMENTARY SCHOOL,8361 N 95TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,75,91%,1%,95%,90.7%,1.3%,94.7%,92.0%,1.3%,96.0%,96.0%,1.3%,97.3%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,55,65%,25%,91%,67.3%,25.5%,92.7%,69.1%,25.5%,94.5%,80.0%,18.2%,98.2%,96.4%,3.6%,100.0%,27.3%,0.0%,14.5%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,65,97%,3%,100%,100.0%,0.0%,100.0%,96.9%,3.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.1%,0.0%,0.0%
CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,GLENDALE,MARICOPA,85306,YES,Both,PUBLIC,40,83%,8%,90%,97.5%,2.5%,100.0%,80.0%,7.5%,90.0%,95.0%,2.5%,97.5%,97.5%,2.5%,100.0%,7.5%,0.0%,2.5%
MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,73,90%,1%,93%,83.6%,1.4%,84.9%,91.8%,1.4%,93.2%,90.4%,1.4%,93.2%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,78,92%,8%,100%,93.6%,6.4%,100.0%,91.0%,9.0%,100.0%,93.6%,6.4%,100.0%,92.3%,7.7%,100.0%,9.0%,0.0%,6.4%
PASEO VERDE ELEMENTARY SCHOOL,7880 W GREENWAY RD,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,72,86%,6%,92%,93.1%,5.6%,98.6%,83.3%,6.9%,90.3%,93.1%,5.6%,98.6%,91.7%,5.6%,97.2%,6.9%,0.0%,2.8%
DESERT HARBOR ELEMENTARY SCHOOL,15585 N 91ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,72,92%,7%,99%,93.1%,6.9%,100.0%,91.7%,6.9%,98.6%,90.3%,9.7%,100.0%,93.1%,6.9%,100.0%,5.6%,0.0%,4.2%
QUAIL RUN ELEMENTARY SCHOOL,4600 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,PUBLIC,92,87%,2%,90%,87.0%,3.3%,91.3%,89.1%,2.2%,91.3%,92.4%,2.2%,94.6%,97.8%,2.2%,100.0%,3.3%,0.0%,3.3%
CHEYENNE ELEMENTARY SCHOOL - PEORIA,11806 N 87TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,62,89%,3%,92%,95.2%,3.2%,98.4%,93.5%,3.2%,96.8%,95.2%,1.6%,96.8%,98.4%,0.0%,98.4%,3.2%,0.0%,0.0%
FRONTIER ELEMENTARY SCHOOL,21258 N 81ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,81,93%,7%,100%,92.6%,7.4%,100.0%,92.6%,0.0%,100.0%,93.8%,6.2%,100.0%,93.8%,6.2%,100.0%,11.1%,0.0%,4.9%
