SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,47,91.5%,0.0%,95.7%,93.6%,0.0%,97.9%,95.7%,0.0%,97.9%,97.9%,0.0%,97.9%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,96,93.8%,2.1%,97.9%,92.7%,2.1%,96.9%,91.7%,2.1%,96.9%,94.8%,2.1%,97.9%,96.9%,2.1%,99.0%,2.1%,1.0%,2.1%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,61,95.1%,3.3%,100.0%,95.1%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,101,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,98.0%,2.0%,100.0%,99.0%,1.0%,100.0%,3.0%,0.0%,2.0%
ACACIA ELEMENTARY SCHOOL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,104,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,1.9%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,LPN,CHARTER,62,71.0%,0.0%,71.0%,72.6%,0.0%,72.6%,80.6%,0.0%,80.6%,90.3%,0.0%,90.3%,95.2%,0.0%,95.2%,0.0%,0.0%,0.0%
ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,TUCSON,PIMA,85705,NO,,CHARTER,22,72.7%,0.0%,72.7%,68.2%,0.0%,68.2%,77.3%,0.0%,77.3%,95.5%,0.0%,95.5%,95.5%,0.0%,95.5%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,95,93.7%,3.2%,96.8%,93.7%,3.2%,96.8%,93.7%,3.2%,96.8%,95.8%,2.1%,97.9%,96.8%,1.1%,97.9%,3.2%,1.1%,3.2%
ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,55,94.5%,0.0%,100.0%,92.7%,5.5%,100.0%,94.5%,3.6%,100.0%,98.2%,0.0%,100.0%,98.2%,0.0%,98.2%,5.5%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,PHOENIX,MARICOPA,85353,NO,,CHARTER,180,90.0%,2.8%,95.6%,88.3%,1.7%,92.8%,90.6%,1.7%,94.4%,93.9%,1.1%,97.8%,98.3%,1.7%,100.0%,2.8%,2.8%,1.1%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,215,87.9%,1.4%,89.8%,87.0%,1.4%,88.8%,87.4%,1.9%,89.8%,95.3%,0.9%,96.3%,95.3%,1.4%,96.7%,1.9%,0.0%,0.9%
ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,GLENDALE,MARICOPA,85301,NO,,CHARTER,245,89.8%,3.3%,93.1%,88.6%,1.6%,90.2%,91.0%,1.6%,92.7%,94.3%,2.0%,96.3%,95.5%,1.6%,97.1%,11.8%,0.8%,2.4%
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,PEORIA,MARICOPA,85345,NO,,CHARTER,179,84.9%,12.3%,97.2%,79.3%,11.2%,90.5%,85.5%,12.3%,97.8%,91.6%,6.7%,98.3%,92.2%,5.6%,97.8%,15.1%,1.1%,15.1%
ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,1445  W BASELINE ROAD,PHOENIX,MARICOPA,85041,NO,,CHARTER,158,69.6%,0.0%,69.6%,72.8%,0.0%,72.8%,81.6%,0.0%,81.6%,91.1%,0.0%,91.1%,93.7%,0.0%,93.7%,1.9%,0.0%,1.9%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,93,80.6%,1.1%,81.7%,77.4%,1.1%,78.5%,80.6%,2.2%,82.8%,86.0%,0.0%,86.0%,87.1%,0.0%,87.1%,2.2%,0.0%,1.1%
ACADEMY OF TUCSON ELEMENTARY SCHOOL,9209 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,CHARTER,31,96.8%,0.0%,100.0%,93.5%,0.0%,96.8%,96.8%,0.0%,96.8%,96.8%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,25,92.0%,0.0%,92.0%,96.0%,0.0%,96.0%,84.0%,0.0%,84.0%,96.0%,0.0%,96.0%,96.0%,0.0%,96.0%,0.0%,0.0%,0.0%
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,22,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACORN MONTESSORI CHARTER SCHOOL - WEST,7555 LONG LOOK DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,62,56.5%,19.4%,75.8%,56.5%,19.4%,75.8%,54.8%,22.6%,77.4%,83.9%,11.3%,95.2%,88.7%,8.1%,96.8%,24.2%,0.0%,8.1%
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,,NO,,CHARTER,62,56.5%,21.0%,77.4%,56.5%,21.0%,77.4%,54.8%,22.6%,77.4%,83.9%,11.3%,95.2%,88.7%,8.1%,96.8%,24.2%,0.0%,8.1%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,93,96.8%,0.0%,97.8%,96.8%,0.0%,96.8%,94.6%,0.0%,95.7%,98.9%,0.0%,98.9%,97.8%,0.0%,97.8%,0.0%,0.0%,0.0%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,YES,RN,CHARTER,91,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,91.2%,8.8%,100.0%,93.4%,6.6%,100.0%,93.4%,6.6%,100.0%,9.9%,0.0%,6.6%
ADVANCE U,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUILAR SCHOOL,5800 S FOREST AVE,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,68,95.6%,2.9%,100.0%,95.6%,2.9%,100.0%,95.6%,2.9%,100.0%,95.6%,2.9%,98.5%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,YES,LPN,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AKIMEL O''OTHAM PEE POSH,4 MI E OF HWY 87 ON BLACKWAT,COOLIDGE,PINAL,85128,YES,RN,CHARTER,62,95.2%,0.0%,95.2%,96.8%,0.0%,96.8%,96.8%,0.0%,96.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,PHOENIX,MARICOPA,85017,YES,LPN,PUBLIC,86,96.5%,0.0%,96.5%,98.8%,0.0%,98.8%,96.5%,0.0%,96.5%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,1.2%,0.0%,1.2%
ALICE BYRNE ELEMENTARY SCHOOL,811 W 16TH ST,YUMA,YUMA,85364,NO,,PUBLIC,33,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,3.0%
ALL SAINTS CATHOLIC SCHOOL,1425 YAQUI ST,SIERRA VISTA,COCHISE,85650,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,45,97.8%,0.0%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,93.3%,6.7%,100.0%,100.0%,0.0%,100.0%,4.4%,0.0%,0.0%
ALTA E BUTLER SCHOOL,3843 W ROOSEVELT RD,PHOENIX,MARICOPA,85009,NO,,PUBLIC,84,92.9%,0.0%,92.9%,96.4%,0.0%,96.4%,92.9%,0.0%,92.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,63,96.8%,1.6%,98.4%,98.4%,1.6%,100.0%,95.2%,1.6%,96.8%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,1.6%,0.0%,1.6%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,74,91.9%,0.0%,100.0%,97.3%,0.0%,100.0%,100.0%,0.0%,100.0%,98.6%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,37,94.6%,2.7%,97.3%,94.6%,2.7%,97.3%,94.6%,2.7%,97.3%,94.6%,2.7%,97.3%,97.3%,2.7%,100.0%,2.7%,0.0%,2.7%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86322,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,123,82.9%,16.3%,100.0%,80.5%,19.5%,100.0%,81.3%,18.7%,100.0%,84.6%,15.4%,100.0%,90.2%,9.8%,100.0%,23.6%,0.0%,10.6%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,100,85.0%,13.0%,100.0%,87.0%,12.0%,100.0%,87.0%,13.0%,100.0%,89.0%,11.0%,100.0%,90.0%,10.0%,100.0%,15.0%,0.0%,9.0%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,66,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,83.3%,16.7%,100.0%,89.4%,10.6%,100.0%,92.4%,7.6%,100.0%,16.7%,3.0%,9.1%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,111,89.2%,8.1%,100.0%,90.1%,9.9%,100.0%,90.1%,9.9%,100.0%,92.8%,6.3%,100.0%,94.6%,5.4%,100.0%,10.8%,0.0%,5.4%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,72,84.7%,13.9%,100.0%,84.7%,13.9%,100.0%,88.9%,11.1%,100.0%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,15.3%,0.0%,6.9%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,99,89.9%,10.1%,100.0%,86.9%,13.1%,100.0%,88.9%,11.1%,100.0%,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,14.1%,2.0%,6.1%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,92,80.4%,18.5%,100.0%,80.4%,18.5%,100.0%,80.4%,19.6%,100.0%,82.6%,16.3%,100.0%,85.9%,14.1%,100.0%,22.8%,0.0%,15.2%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,83,88.0%,10.8%,100.0%,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,10.8%,1.2%,4.8%
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,97,86.6%,13.4%,100.0%,86.6%,13.4%,100.0%,88.7%,11.3%,100.0%,90.7%,9.3%,100.0%,91.8%,8.2%,100.0%,12.4%,1.0%,8.2%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,26,96.2%,0.0%,96.2%,96.2%,0.0%,96.2%,96.2%,0.0%,96.2%,100.0%,0.0%,100.0%,96.2%,0.0%,96.2%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMPHI ACADEMY ONLINE,450 E WETMORE RD,TUCSON,PIMA,85705,NO,,PUBLIC,102,91.2%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,97.1%,2.9%,100.0%,95.1%,3.9%,99.0%,4.9%,1.0%,1.0%
ANASAZI ELEMENTARY,12121 N 124TH ST,SCOTTSDALE,MARICOPA,85259,YES,RN,PUBLIC,49,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,4.1%,0.0%,2.0%
ANNA HENRY ELEMENTARY SCHOOL,650 N IGO WAY,TUCSON,PIMA,85710,YES,RN,PUBLIC,35,88.6%,2.9%,91.4%,88.6%,2.9%,91.4%,85.7%,2.9%,91.4%,97.1%,2.9%,100.0%,94.3%,0.0%,94.3%,2.9%,0.0%,0.0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,71,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,93.0%,7.0%,100.0%,98.6%,1.4%,100.0%,95.8%,4.2%,100.0%,4.2%,2.8%,1.4%
ANNIE KELLOND ELEMENTARY SCHOOL,6606 E LEHIGH DR,TUCSON,PIMA,85710,YES,RN,PUBLIC,48,100.0%,0.0%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,2.1%,0.0%,0.0%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,61,90.2%,1.6%,93.4%,91.8%,0.0%,93.4%,90.2%,1.6%,93.4%,96.7%,0.0%,98.4%,96.7%,0.0%,96.7%,0.0%,3.3%,0.0%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,57,84.2%,14.0%,98.2%,86.0%,14.0%,100.0%,84.2%,14.0%,98.2%,86.0%,14.0%,100.0%,87.7%,12.3%,100.0%,14.0%,0.0%,12.3%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,22,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,86.4%,13.6%,100.0%,90.9%,9.1%,100.0%,95.5%,4.5%,100.0%,18.2%,0.0%,4.5%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,65,95.4%,3.1%,100.0%,96.9%,3.1%,100.0%,95.4%,4.6%,100.0%,95.4%,4.6%,100.0%,96.9%,3.1%,100.0%,6.2%,0.0%,3.1%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,53,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARCADIA MONTESSORI SCHOOL,5115 E VIRGINIA AVE,PHOENIX,MARICOPA,85008,NO,,PRIVATE,27,55.6%,18.5%,74.1%,51.9%,18.5%,70.4%,63.0%,18.5%,81.5%,81.5%,18.5%,100.0%,85.2%,14.8%,100.0%,18.5%,0.0%,7.4%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,95,92.6%,7.4%,100.0%,90.5%,9.5%,100.0%,92.6%,7.4%,100.0%,90.5%,9.5%,100.0%,92.6%,7.4%,100.0%,10.5%,0.0%,6.3%
ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,16648 N 94TH STREET,SCOTTSDALE,MARICOPA,85260,YES,RN,CHARTER,178,91.6%,8.4%,100.0%,89.9%,10.1%,100.0%,92.1%,7.9%,100.0%,89.3%,10.7%,100.0%,93.3%,6.7%,100.0%,14.0%,0.0%,5.6%
