SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A J MITCHELL ELEMENTARY SCHOOL,855 N BAUTISTA ST,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,49,93.9%,2.0%,100.0%,95.9%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
ABIA JUDD ELEMENTARY SCHOOL,1749 WILLIAMSON VALLEY RD,PRESCOTT,YAVAPAI,86305,YES,RN,PUBLIC,117,78.6%,12.8%,95.7%,78.6%,12.8%,95.7%,82.1%,12.0%,95.7%,85.5%,12.0%,99.1%,88.0%,11.1%,99.1%,12.8%,0.0%,12.0%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,49,91.8%,N/A,100.0%,91.8%,8.2%,100.0%,91.8%,8.2%,100.0%,95.9%,4.1%,100.0%,100.0%,0.0%,100.0%,10.2%,0.0%,8.2%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,125,94.4%,N/A,100.0%,95.2%,4.8%,100.0%,96.0%,4.0%,100.0%,97.6%,2.4%,100.0%,98.4%,1.6%,100.0%,6.4%,0.0%,0.8%
ACACIA ELEMENTARY SCHOOL,12955 E COLOSSAL CAVE RD,VAIL,PIMA,85641,NO,,PUBLIC,130,93.1%,4.6%,98.5%,93.1%,3.8%,97.7%,96.2%,3.1%,99.2%,96.9%,3.1%,100.0%,93.8%,6.2%,100.0%,4.6%,1.5%,3.1%
ACADEMY DEL SOL,732 W ROGER RD,TUCSON,PIMA,85705,NO,,CHARTER,46,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,LPN,CHARTER,71,97.2%,2.8%,100.0%,100.0%,0.0%,100.0%,97.2%,2.8%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,2.8%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,49,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,123,99.2%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,92,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,96.7%,3.3%,100.0%,4.3%,0.0%,1.1%
ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,GLENDALE,MARICOPA,85301,NO,,CHARTER,185,95.1%,1.6%,96.8%,92.4%,2.2%,96.8%,90.3%,2.7%,93.5%,93.0%,1.6%,94.6%,93.5%,1.6%,95.1%,0.0%,2.7%,0.0%
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,PEORIA,MARICOPA,85345,NO,,CHARTER,127,63.0%,4.7%,67.7%,66.9%,4.7%,71.7%,66.9%,5.5%,72.4%,87.4%,5.5%,92.9%,89.0%,3.9%,92.9%,3.1%,3.1%,3.1%
ACADEMY OF MATHEMATICS AND SCIENCE SOUTH,3335 W FLOWER ST,PHOENIX,MARICOPA,85017,NO,,CHARTER,56,89.3%,5.4%,100.0%,85.7%,5.4%,91.1%,82.1%,7.1%,89.3%,85.7%,3.6%,89.3%,92.9%,3.6%,96.4%,7.1%,0.0%,3.6%
ACADEMY OF TUCSON ELEMENTARY SCHOOL,9209 E WRIGHTSTOWN RD,TUCSON,PIMA,85715,NO,,CHARTER,32,87.5%,3.1%,90.6%,87.5%,3.1%,90.6%,84.4%,3.1%,87.5%,93.8%,3.1%,96.9%,93.8%,3.1%,96.9%,3.1%,0.0%,3.1%
ACCELERATED LEARNING LABORATORY,5245 N CAMINO DE OESTE,TUCSON,PIMA,85745,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,48,83.3%,2.1%,85.4%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,2.1%,2.1%,2.1%
ACORN MONTESSORI CHARTER SCHOOL - WEST,7555 LONG LOOK DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,73,84.9%,6.8%,95.9%,84.9%,8.2%,95.9%,65.8%,8.2%,97.3%,82.2%,6.8%,95.9%,84.9%,11.0%,95.9%,11.0%,0.0%,6.8%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,101,95.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,98.0%,2.0%,100.0%,3.0%,0.0%,3.0%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,NO,,CHARTER,103,95.1%,3.9%,99.0%,95.1%,3.9%,99.0%,93.2%,5.8%,99.0%,95.1%,4.9%,100.0%,94.2%,5.8%,100.0%,5.8%,0.0%,3.9%
ADVANCE U,449 E SOUTHERN AVE,PHOENIX,MARICOPA,85040,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADVENTURE SCHOOL,5757 E PIMA ST,TUCSON,PIMA,85712,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,68,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AGUILAR SCHOOL,5800 S FOREST AVE,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,92,92.4%,N/A,100.0%,95.7%,3.3%,100.0%,95.7%,3.3%,100.0%,96.7%,2.2%,100.0%,97.8%,2.2%,100.0%,3.3%,0.0%,2.2%
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,NO,,PUBLIC,24,91.7%,0.0%,100.0%,91.7%,0.0%,100.0%,91.7%,0.0%,100.0%,95.8%,0.0%,100.0%,95.8%,0.0%,95.8%,0.0%,0.0%,0.0%
AKIMEL O'OTHAM PEE POSH,4 MI E OF HWY 87 ON BLACKWAT,COOLIDGE,PINAL,85128,YES,RN,CHARTER,71,95.8%,0.0%,100.0%,98.6%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,PHOENIX,MARICOPA,85017,YES,LPN,PUBLIC,97,97.9%,1.0%,100.0%,97.9%,1.0%,100.0%,97.9%,1.0%,100.0%,97.9%,1.0%,100.0%,99.0%,1.0%,100.0%,1.0%,0.0%,1.0%
ALICE BYRNE ELEMENTARY SCHOOL,811 W 16TH ST,YUMA,YUMA,85364,NO,,PUBLIC,44,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,6.8%,0.0%,6.8%
ALL ABOARD CHARTER SCHOOL,5827 N 35TH AVE,PHOENIX,MARICOPA,85017,NO,,CHARTER,24,79.2%,16.7%,95.8%,79.2%,16.7%,95.8%,79.2%,16.7%,95.8%,79.2%,16.7%,95.8%,83.3%,16.7%,100.0%,16.7%,0.0%,16.7%
ALL SAINTS CATHOLIC SCHOOL,1425 YAQUI ST,SIERRA VISTA,COCHISE,85650,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,44,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,97.7%,2.3%,100.0%,95.5%,4.5%,100.0%,97.7%,2.3%,100.0%,4.5%,0.0%,2.3%
ALTA E BUTLER SCHOOL,3843 W ROOSEVELT RD,PHOENIX,MARICOPA,85009,NO,,PUBLIC,109,99.1%,N/A,100.0%,99.1%,0.0%,100.0%,99.1%,0.0%,100.0%,99.1%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,89,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,102,91.2%,N/A,98.0%,93.1%,3.9%,100.0%,96.1%,3.9%,100.0%,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,4.9%,0.0%,2.0%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,70,94.3%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,1.4%,0.0%,1.4%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,122,86.1%,13.9%,100.0%,85.2%,14.8%,100.0%,86.9%,13.1%,100.0%,87.7%,12.3%,100.0%,91.0%,9.0%,100.0%,18.9%,0.0%,9.0%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,103,90.3%,7.8%,100.0%,92.2%,7.8%,100.0%,90.3%,9.7%,100.0%,93.2%,5.8%,100.0%,94.2%,5.8%,100.0%,9.7%,0.0%,5.8%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,52,88.5%,11.5%,100.0%,86.5%,13.5%,100.0%,86.5%,13.5%,100.0%,86.5%,9.6%,100.0%,92.3%,7.7%,100.0%,15.4%,0.0%,7.7%
AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,23908 S HAWES RD,QUEEN CREEK,MARICOPA,,NO,,CHARTER,90,87.8%,12.2%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,85.6%,14.4%,100.0%,88.9%,11.1%,100.0%,16.7%,0.0%,10.0%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,95,88.4%,9.5%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,89.5%,10.5%,100.0%,91.6%,8.4%,100.0%,12.6%,1.1%,7.4%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,82,87.8%,11.0%,100.0%,86.6%,12.2%,100.0%,86.6%,13.4%,100.0%,89.0%,9.8%,100.0%,93.9%,6.1%,100.0%,17.1%,0.0%,4.9%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,101,86.1%,12.9%,100.0%,89.1%,10.9%,100.0%,89.1%,10.9%,100.0%,93.1%,5.9%,100.0%,94.1%,5.9%,100.0%,13.9%,3.0%,3.0%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,53,86.8%,13.2%,100.0%,86.8%,13.2%,100.0%,86.8%,13.2%,100.0%,90.6%,9.4%,100.0%,90.6%,9.4%,100.0%,13.2%,0.0%,9.4%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,80,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,85.0%,15.0%,100.0%,91.3%,8.8%,100.0%,92.5%,7.5%,100.0%,16.3%,0.0%,7.5%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,39,94.9%,2.6%,100.0%,94.9%,2.6%,100.0%,97.4%,2.6%,100.0%,94.9%,2.6%,100.0%,97.4%,2.6%,100.0%,2.6%,0.0%,2.6%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,21,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,90.5%,9.5%,100.0%,14.3%,0.0%,9.5%
ANASAZI ELEMENTARY,12121 N 124TH ST,SCOTTSDALE,MARICOPA,85259,YES,RN,PUBLIC,63,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,90.5%,9.5%,100.0%,14.3%,1.6%,6.3%
ANNA HENRY ELEMENTARY SCHOOL,650 N IGO WAY,TUCSON,PIMA,85710,YES,RN,PUBLIC,43,93.0%,2.3%,100.0%,97.7%,2.3%,100.0%,95.3%,2.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,110,92.7%,7.3%,100.0%,92.7%,7.3%,100.0%,91.8%,8.2%,100.0%,95.5%,3.6%,100.0%,96.4%,3.6%,100.0%,10.0%,0.0%,3.6%
ANNUNCIATION CATHOLIC SCHOOL,32648 N CAVE CREEK RD,CAVE CREEK,MARICOPA,85331,YES,RN,PRIVATE,26,96.2%,0.0%,96.2%,100.0%,0.0%,100.0%,96.2%,0.0%,96.2%,100.0%,0.0%,100.0%,88.5%,0.0%,88.5%,0.0%,0.0%,0.0%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,75,88.0%,6.7%,97.3%,89.3%,6.7%,97.3%,89.3%,6.7%,96.0%,92.0%,6.7%,98.7%,97.3%,2.7%,100.0%,6.7%,0.0%,4.0%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,62,85.5%,12.9%,100.0%,85.5%,12.9%,100.0%,88.7%,11.3%,100.0%,87.1%,12.9%,100.0%,88.7%,11.3%,100.0%,14.5%,0.0%,9.7%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,42,97.6%,0.0%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,4.8%,0.0%,0.0%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,112,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,68,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,4.4%,0.0%,4.4%
ARCADIA MONTESSORI SCHOOL,5115 E VIRGINIA AVE,PHOENIX,MARICOPA,85008,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,90,97.8%,2.2%,100.0%,96.7%,3.3%,100.0%,97.8%,2.2%,100.0%,94.4%,5.6%,100.0%,97.8%,2.2%,100.0%,5.6%,0.0%,2.2%
ARCHWAY CLASSICAL ACADEMY - SCOTTSDALE,16648 N 94TH STREET,SCOTTSDALE,MARICOPA,85260,YES,RN,CHARTER,178,89.9%,10.1%,100.0%,89.9%,10.1%,100.0%,89.9%,10.1%,100.0%,90.4%,9.0%,100.0%,91.0%,9.0%,100.0%,11.2%,1.1%,7.9%
ARCHWAY CLASSICAL ACADEMY GLENDALE,23276 N 83RD AVE,PEORIA,MARICOPA,85383,YES,Both,CHARTER,91,93.4%,6.6%,100.0%,94.5%,5.5%,100.0%,92.3%,7.7%,100.0%,89.0%,11.0%,100.0%,93.4%,6.6%,100.0%,12.1%,0.0%,4.4%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,120,95.0%,5.0%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,5.0%,0.0%,2.5%
ARIZONA CITY ELEMENTARY SCHOOL,12115 W BENITO DR,ARIZONA CITY,PINAL,,NO,,PUBLIC,71,85.9%,4.2%,93.0%,91.5%,4.2%,97.2%,87.3%,4.2%,93.0%,94.4%,4.2%,100.0%,94.4%,4.2%,98.6%,4.2%,4.2%,4.2%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,77,72.7%,27.3%,100.0%,76.6%,22.1%,100.0%,70.1%,28.6%,100.0%,75.3%,24.7%,100.0%,71.4%,28.6%,100.0%,28.6%,0.0%,22.1%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,23,100.0%,0.0%,100.0%,95.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,65,98.5%,N/A,100.0%,98.5%,0.0%,100.0%,98.5%,0.0%,100.0%,98.5%,0.0%,100.0%,98.5%,0.0%,98.5%,0.0%,0.0%,0.0%
ARIZONA DESERT ELEMENTARY SCHOOL,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,80,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,27,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARREDONDO ELEMENTARY SCHOOL,1330 E CARSON DRIVE,TEMPE,MARICOPA,85282,YES,RN,PUBLIC,79,94.9%,N/A,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,97.5%,1.3%,100.0%,100.0%,0.0%,100.0%,2.5%,0.0%,2.5%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,88,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,2.3%,0.0%,2.3%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,48,93.8%,N/A,100.0%,93.8%,4.2%,100.0%,91.7%,4.2%,97.9%,93.8%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,0.0%,2.1%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,23,95.7%,N/A,100.0%,95.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ASANTE PREPARATORY ACADEMY,23251 N 166TH DR,SURPRISE,MARICOPA,85387,YES,LPN,PUBLIC,50,94.0%,6.0%,100.0%,94.0%,6.0%,100.0%,92.0%,6.0%,98.0%,92.0%,8.0%,100.0%,94.0%,6.0%,100.0%,8.0%,0.0%,4.0%
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,21,90.5%,4.8%,95.2%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,4.8%
ASHLAND ELEMENTARY,1945 S ASHLAND RANCH,GILBERT,MARICOPA,85295,YES,RN,PUBLIC,115,92.2%,7.8%,100.0%,90.4%,8.7%,99.1%,93.0%,7.0%,100.0%,92.2%,7.0%,100.0%,93.0%,7.0%,100.0%,8.7%,0.9%,6.1%
ASHTON RANCH ELEMENTARY SCHOOL,14898 W ACOMA DR,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,58,98.3%,1.7%,100.0%,100.0%,0.0%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,1.7%,0.0%,1.7%
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,74,93.2%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,4.1%,0.0%,4.1%
ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,6950 E WILLIAMS FIELDS ROAD,MESA,MARICOPA,85212,NO,,PUBLIC,74,94.6%,4.1%,100.0%,93.2%,4.1%,100.0%,94.6%,4.1%,100.0%,91.9%,5.4%,100.0%,97.3%,2.7%,100.0%,6.8%,0.0%,2.7%
AUDREY & ROBERT RYAN ELEMENTARY,4600 S BRIGHT ANGEL WAY,CHANDLER,MARICOPA,85249,NO,,PUBLIC,73,89.0%,11.0%,100.0%,91.8%,8.2%,100.0%,91.8%,8.2%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,5.5%,0.0%,5.5%
AUGUSTA RANCH ELEMENTARY,9430 E NEVILLE AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,127,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,96.1%,3.1%,100.0%,97.6%,2.4%,100.0%,96.1%,3.9%,100.0%,3.1%,0.8%,2.4%
AUGUSTUS H SHAW JR SCHOOL,123 N 13TH ST,PHOENIX,MARICOPA,85034,YES,RN,PUBLIC,56,96.4%,N/A,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,3.6%,0.0%,1.8%
AVALON ELEMENTARY,1045 S SAN MARCOS DR,APACHE JUNCTION,PINAL,85220,NO,,CHARTER,39,89.7%,0.0%,100.0%,89.7%,0.0%,100.0%,87.2%,0.0%,100.0%,97.4%,0.0%,100.0%,97.4%,0.0%,97.4%,0.0%,0.0%,0.0%
AVONDALE MIDDLE SCHOOL,1406 N CENTRAL AVE,AVONDALE,MARICOPA,85323,YES,LPN,PUBLIC,185,87.0%,1.1%,93.0%,89.7%,1.1%,93.0%,87.6%,1.1%,90.3%,91.9%,1.1%,94.1%,95.7%,1.1%,96.8%,1.1%,1.1%,1.1%
AWAKENING SEED SCHOOL,6630 S 40TH ST,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAGDAD ELEMENTARY SCHOOL,515 BREEZY CIR,BAGDAD,YAVAPAI,86321,NO,,PUBLIC,43,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,90.7%,9.3%,100.0%,95.3%,4.7%,100.0%,93.0%,7.0%,100.0%,9.3%,0.0%,4.7%
