SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ROBISON ELEMENTARY SCHOOL,2745 E 18TH ST,TUCSON,PIMA,85716,YES,RN,PUBLIC,26,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ROBLES ELEMENTARY SCHOOL,10451 S SASABE RD,TUCSON,PIMA,85736,NO,,PUBLIC,52,94.2%,1.9%,100.0%,94.2%,1.9%,100.0%,94.2%,1.9%,100.0%,94.2%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,71,94.4%,2.8%,100.0%,95.8%,2.8%,100.0%,97.2%,2.8%,100.0%,95.8%,2.8%,98.6%,100.0%,0.0%,100.0%,2.8%,0.0%,2.8%
ROGERS RANCH SCHOOL,6735 S 47TH AVE,LAVEEN,MARICOPA,85339,YES,RN,PUBLIC,111,92.8%,3.6%,97.3%,92.8%,3.6%,96.4%,94.6%,3.6%,98.2%,93.7%,3.6%,97.3%,96.4%,3.6%,100.0%,3.6%,0.0%,3.6%
RONALD REAGAN FUNDAMENTAL SCHOOL,3200 W 16TH ST,YUMA,YUMA,85364,YES,Both,PUBLIC,62,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ROOSEVELT ELEMENTARY SCHOOL,828 S VALENCIA,MESA,MARICOPA,85202,YES,RN,PUBLIC,72,90.3%,4.2%,97.2%,90.3%,5.6%,98.6%,94.4%,5.6%,100.0%,97.2%,2.8%,100.0%,98.6%,1.4%,100.0%,4.2%,0.0%,1.4%
ROOSEVELT SCHOOL,550 W 5TH ST,YUMA,YUMA,85364,NO,,PUBLIC,44,97.7%,0.0%,97.7%,97.7%,0.0%,97.7%,100.0%,0.0%,100.0%,97.7%,0.0%,97.7%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ROSKRUGE BILINGUAL K-8 SCHOOL,501 E 6TH ST,TUCSON,PIMA,,YES,RN,PUBLIC,52,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ROUND VALLEY INTERMEDIATE SCHOOL,165 S BROWN ST,EAGAR,APACHE,85925,NO,,PUBLIC,108,88.0%,9.3%,100.0%,88.0%,9.3%,100.0%,88.0%,9.3%,100.0%,88.9%,9.3%,100.0%,88.9%,9.3%,98.1%,9.3%,0.0%,9.3%
ROVER ELEMENTARY SCHOOL,1300 E WATSON DR,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,71,91.5%,N/A,100.0%,91.5%,5.6%,100.0%,93.0%,7.0%,100.0%,95.8%,2.8%,100.0%,98.6%,1.4%,100.0%,5.6%,1.4%,1.4%
RUDY G BOLOGNA ELEMENTARY,1625 E FRY RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,70,92.9%,5.7%,100.0%,94.3%,5.7%,100.0%,92.9%,7.1%,100.0%,94.3%,5.7%,100.0%,98.6%,1.4%,100.0%,7.1%,0.0%,5.7%
RUTH POWELL ELEMENTARY SCHOOL,1041 S 14TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,75,94.7%,2.7%,100.0%,97.3%,2.7%,100.0%,93.3%,2.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,4.0%,0.0%,2.7%
SACATON ELEMENTARY,SKILL CENTER RD,SACATON,PINAL,85247,YES,RN,PUBLIC,80,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SACRED HEART CATHOLIC SCHOOL,207 W OAK ST,NOGALES,SANTA CRUZ,85621,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SADDLEBACK ELEMENTARY SCHOOL,18600 N PORTER RD,MARICOPA,PINAL,85138,YES,RN,PUBLIC,94,93.6%,4.3%,100.0%,94.7%,4.3%,100.0%,94.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,3.2%,1.1%,2.1%
SAFFORD ELEMENTARY SCHOOL,200 E 13TH ST,TUCSON,PIMA,,YES,RN,PUBLIC,26,92.3%,0.0%,92.3%,92.3%,0.0%,92.3%,96.2%,0.0%,96.2%,96.2%,0.0%,96.2%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAGUARO ELEMENTARY SCHOOL,260 W MCMURRAY BLVD,CASA GRANDE,PINAL,85122,YES,RN,PUBLIC,69,95.7%,1.4%,100.0%,95.7%,1.4%,100.0%,98.6%,1.4%,100.0%,97.1%,1.4%,100.0%,100.0%,0.0%,100.0%,1.4%,0.0%,0.0%
SAHUARITA PRIMARY SCHOOL,350 W SAHUARITA RD,SAHUARITA,PIMA,85629,NO,,PUBLIC,139,96.4%,2.9%,99.3%,96.4%,2.9%,99.3%,96.4%,2.9%,99.3%,96.4%,2.9%,99.3%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,77,94.8%,0.0%,94.8%,94.8%,2.6%,97.4%,90.9%,2.6%,93.5%,93.5%,1.3%,94.8%,93.5%,2.6%,96.1%,2.6%,0.0%,2.6%
SAHUARO SCHOOL,12835 N 33RD AVE,PHOENIX,MARICOPA,85029,NO,,PUBLIC,65,98.5%,N/A,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,1.5%,0.0%,1.5%
SAINT AGNES CATHOLIC SCHOOL,2311 E PALM LN,PHOENIX,MARICOPA,85006,NO,,PRIVATE,26,92.3%,0.0%,92.3%,92.3%,0.0%,92.3%,50.0%,0.0%,50.0%,92.3%,0.0%,92.3%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT AMBROSE SCHOOL,300 S TUCSON BLVD,TUCSON,PIMA,85716,YES,RN,PRIVATE,25,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT ANTHONY CATHOLIC SCHOOL,1400 E OWENS,SHOW LOW,NAVAJO,85901,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT ANTHONY OF PADUA ELMENTARY SCHOOL,501 E 2ND ST,CASA GRANDE,PINAL,85122,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT CYRIL OF ALEXANDRIA SCHOOL,4725 E PIMA ST,TUCSON,PIMA,85712,NO,,PRIVATE,39,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT ELIZABETH ANN SETON SCHOOL,8650 N SHANNON RD,TUCSON,PIMA,85742,YES,RN,PRIVATE,31,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT FRANCIS OF ASSISI SCHOOL,700 W 18TH ST,YUMA,YUMA,85364,NO,,PRIVATE,27,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT GREGORY SCHOOL,3440 N 18TH AVE,PHOENIX,MARICOPA,85015,YES,LPN,PRIVATE,41,95.1%,0.0%,95.1%,90.2%,0.0%,90.2%,90.2%,0.0%,90.2%,97.6%,0.0%,97.6%,97.6%,0.0%,97.6%,0.0%,0.0%,0.0%
SAINT JEROME CATHOLIC SCHOOL,10815 N 35TH AVE,PHOENIX,MARICOPA,85029,NO,,PRIVATE,21,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,0.0%
SAINT JOHN THE EVANGELIST SCHOOL,600 W AJO WAY,TUCSON,PIMA,85713,NO,,PRIVATE,38,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT JOHN VIANNEY CATHOLIC SCHOOL,539 LA PASADA BLVD,GOODYEAR,MARICOPA,,NO,,PRIVATE,46,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,4.3%,0.0%,4.3%
SAINT JOHN XXIII CATHOLIC SCHOOL,16235 N 60TH ST,SCOTTSDALE,MARICOPA,85254,YES,RN,PRIVATE,53,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,92.5%,7.5%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,7.5%,0.0%,5.7%
SAINT JOSEPH CATHOLIC SCHOOL,215 S CRAYCROFT RD,TUCSON,PIMA,85711,NO,,PRIVATE,21,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,95.2%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT LOUIS THE KING SCHOOL,4331 W MARYLAND AVE,GLENDALE,MARICOPA,85301,NO,,PRIVATE,21,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT MARK'S EARLY CHILDHOOD CENTER,1431 W MAGEE RD,TUCSON,PIMA,85704,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT MARY-BASHA CATHOLIC SCHOOL,200 W GALVESTON ST,CHANDLER,MARICOPA,85225,YES,RN,PRIVATE,41,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,4.9%,0.0%,2.4%
SAINT MICHAEL INDIAN SCHOOL,,SAINT MICHAELS,APACHE,,YES,RN,PRIVATE,24,79.2%,0.0%,83.3%,87.5%,0.0%,87.5%,70.8%,0.0%,87.5%,87.5%,0.0%,87.5%,87.5%,0.0%,87.5%,0.0%,0.0%,0.0%
SAINT MICHAEL'S PARISH DAY SCHOOL,602 N WILMOT RD,TUCSON,PIMA,85711,YES,RN,PRIVATE,24,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,4.2%,4.2%
SAINT PETER INDIAN MISSION SCHOOL,1500 N ST PETER RD,BAPCHULE,PINAL,,YES,RN,PRIVATE,22,95.5%,0.0%,100.0%,95.5%,0.0%,100.0%,95.5%,0.0%,100.0%,95.5%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT THERESA CATHOLIC SCHOOL,5001 E THOMAS RD,PHOENIX,MARICOPA,85018,YES,RN,PRIVATE,34,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAINT THOMAS AQUINAS GRADE SCHOOL,13720 W THOMAS RD,AVONDALE,MARICOPA,85392,YES,RN,PRIVATE,48,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,89.6%,10.4%,100.0%,89.6%,10.4%,100.0%,91.7%,8.3%,100.0%,8.3%,2.1%,4.2%
SAINT THOMAS THE APOSTLE CATHOLIC SCHOOL,4510 N 24TH ST,PHOENIX,MARICOPA,85016,YES,RN,PRIVATE,53,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,5.7%,1.9%,3.8%
SAINT TIMOTHY CATHOLIC SCHOOL,2520 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAINT VINCENT DE PAUL CATHOLIC SCHOOL,3130 N 51ST AVE,PHOENIX,MARICOPA,85031,NO,,PRIVATE,47,95.7%,2.1%,97.9%,95.7%,2.1%,97.9%,89.4%,2.1%,91.5%,95.7%,2.1%,97.9%,78.7%,2.1%,80.9%,2.1%,2.1%,2.1%
SAINTS PETER & PAUL CATHOLIC SCHOOL,1436 N CAMPBELL AVE,TUCSON,PIMA,85719,YES,RN,PRIVATE,39,97.4%,0.0%,97.4%,97.4%,0.0%,97.4%,94.9%,0.0%,94.9%,97.4%,0.0%,97.4%,97.4%,0.0%,97.4%,0.0%,0.0%,0.0%
SAINTS SIMON AND JUDE SCHOOL,6351 N 27TH AVE,PHOENIX,MARICOPA,85017,YES,RN,PRIVATE,46,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,6.5%,0.0%,4.3%
SALIDA DEL SOL ELEMENTARY,910 S AVENUE C,YUMA,YUMA,85364,NO,,PUBLIC,103,99.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SALK ELEMENTARY SCHOOL,7029 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,74,90.5%,8.1%,100.0%,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,90.5%,8.1%,100.0%,93.2%,6.8%,100.0%,6.8%,1.4%,1.4%
SAM HUGHES ELEMENTARY SCHOOL,700 N WILSON AVE,TUCSON,PIMA,85719,YES,RN,PUBLIC,57,98.2%,0.0%,98.2%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.2%,0.0%,98.2%,0.0%,1.8%,0.0%
SAN CAYETANO ELEMENTARY SCHOOL,1412 W FRONTAGE RD,RIO RICO,SANTA CRUZ,85648,YES,RN,PUBLIC,57,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAN FRANCISCO DE ASIS CATHOLIC SCHOOL,1600 E RTE 66,FLAGSTAFF,COCONINO,86001,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAN MARCOS ELEMENTARY SCHOOL,451 W FRYE RD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,52,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SAN TAN CHARTER SCHOOL,3959 E ELLIOT RD,GILBERT,MARICOPA,85234,YES,LPN,CHARTER,99,77.8%,22.2%,100.0%,77.8%,22.2%,100.0%,77.8%,22.2%,100.0%,77.8%,22.2%,100.0%,77.8%,22.2%,100.0%,22.2%,0.0%,22.2%
SAN TAN ELEMENTARY,3443 E CALISTOGA DR,GILBERT,MARICOPA,85297,NO,,PUBLIC,146,96.6%,2.1%,100.0%,96.6%,2.1%,100.0%,95.9%,2.7%,100.0%,96.6%,2.1%,100.0%,97.9%,2.1%,100.0%,2.7%,0.0%,2.1%
SAN TAN HEIGHTS ELEMENTARY,2500 W SAN TAN HEIGHTS BLVD,QUEEN CREEK,PINAL,85142,NO,,PUBLIC,76,73.7%,0.0%,73.7%,73.7%,0.0%,73.7%,77.6%,0.0%,77.6%,98.7%,1.3%,100.0%,92.1%,0.0%,92.1%,1.3%,0.0%,1.3%
SANBORN ELEMENTARY SCHOOL,700 N SUPERSTITION BLVD,CHANDLER,MARICOPA,85225,NO,,PUBLIC,91,90.1%,7.7%,100.0%,90.1%,7.7%,100.0%,92.3%,7.7%,100.0%,91.2%,6.6%,100.0%,94.5%,5.5%,100.0%,7.7%,2.2%,5.5%
SANDERS ELEMENTARY SCHOOL,"I-40, HWY 191",SANDERS,APACHE,86512,NO,,PUBLIC,47,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SANDPIPER ELEMENTARY SCHOOL,6724 E HEARN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,97,93.8%,6.2%,100.0%,92.8%,7.2%,100.0%,89.7%,7.2%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,7.2%,0.0%,7.2%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,53,94.3%,3.8%,100.0%,94.3%,3.8%,100.0%,94.3%,3.8%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,5.7%,3.8%,3.8%
SANTA CLARA ELEMENTARY SCHOOL,6910 S SANTA CLARA AVE,TUCSON,PIMA,85756,YES,RN,PUBLIC,68,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SANTA CRUZ CATHOLIC SCHOOL,29 W 22ND ST,TUCSON,PIMA,85713,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SANTA CRUZ ELEMENTARY,19845 N COSTA DEL SOL,MARICOPA,PINAL,85239,YES,RN,PUBLIC,74,89.2%,1.4%,94.6%,90.5%,1.4%,94.6%,94.6%,1.4%,97.3%,97.3%,1.4%,100.0%,97.3%,1.4%,98.6%,1.4%,0.0%,1.4%
SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,83,97.6%,2.4%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.4%,1.2%,0.0%
SANTA ROSA ELEMENTARY SCHOOL,21400 N SANTA ROSA DR,MARICOPA,PINAL,85239,YES,RN,PUBLIC,62,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,3.2%
SANTAN ELEMENTARY SCHOOL,1550 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85249,NO,,PUBLIC,82,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.6%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
