SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,,NO,,CHARTER,59,33.9%,47.5%,81.4%,33.9%,47.5%,81.4%,91.5%,8.5%,100.0%,89.8%,10.2%,100.0%,89.8%,10.2%,100.0%,88.1%,10.2%,98.3%,47.5%,0.0%,8.5%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,91,90.1%,1.1%,92.3%,83.5%,1.1%,85.7%,98.9%,1.1%,100.0%,100.0%,0.0%,100.0%,97.8%,1.1%,98.9%,98.9%,1.1%,100.0%,3.3%,0.0%,0.0%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,YES,RN,CHARTER,34,79.4%,17.6%,97.1%,79.4%,17.6%,97.1%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,17.6%,0.0%,2.9%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AJO ELEMENTARY SCHOOL,111 WELL RD,AJO,PIMA,85321,YES,LPN,PUBLIC,32,62.5%,0.0%,62.5%,59.4%,0.0%,59.4%,90.6%,0.0%,90.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.9%,0.0%,96.9%,0.0%,0.0%,0.0%
ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,PHOENIX,MARICOPA,85017,YES,LPN,PUBLIC,75,100.0%,0.0%,100.0%,84.0%,0.0%,100.0%,97.3%,2.7%,100.0%,98.7%,0.0%,98.7%,97.3%,0.0%,97.3%,100.0%,0.0%,100.0%,2.7%,0.0%,0.0%
ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,TUCSON,PIMA,85711,YES,RN,PUBLIC,243,93.8%,2.9%,96.7%,93.0%,2.9%,95.9%,98.4%,1.6%,100.0%,98.8%,1.2%,100.0%,99.2%,0.8%,100.0%,98.8%,1.2%,100.0%,1.2%,0.0%,1.2%
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,61,96.7%,1.6%,100.0%,96.7%,1.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.6%,0.0%,0.0%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,90,88.9%,3.3%,92.2%,87.8%,3.3%,91.1%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,3.3%,0.0%,1.1%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,116,89.7%,0.0%,89.7%,81.0%,0.0%,81.0%,98.3%,0.0%,100.0%,99.1%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALTAR VALLEY MIDDLE SCHOOL,16350 W AJO RD,TUCSON,PIMA,85735,NO,,PUBLIC,67,94.0%,1.5%,97.0%,94.0%,1.5%,97.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.5%,0.0%,0.0%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,64,75.0%,0.0%,76.6%,68.8%,0.0%,70.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,21,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,9.5%,0.0%,9.5%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,61,63.9%,34.4%,100.0%,63.9%,34.4%,100.0%,85.2%,14.8%,100.0%,88.5%,11.5%,100.0%,83.6%,16.4%,100.0%,90.2%,9.8%,100.0%,41.0%,0.0%,8.2%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,148,81.1%,17.6%,100.0%,79.1%,18.9%,100.0%,94.6%,4.7%,100.0%,95.3%,4.7%,100.0%,93.9%,6.1%,100.0%,95.9%,4.1%,100.0%,21.6%,0.7%,4.1%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,57,84.2%,15.8%,100.0%,78.9%,21.1%,100.0%,91.2%,8.8%,100.0%,93.0%,7.0%,100.0%,91.2%,8.8%,100.0%,93.0%,7.0%,100.0%,24.6%,1.8%,0.0%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,107,80.4%,17.8%,100.0%,75.7%,22.4%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,94.4%,5.6%,100.0%,27.1%,0.0%,4.7%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,60,81.7%,18.3%,100.0%,81.7%,18.3%,100.0%,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,88.3%,11.7%,100.0%,91.7%,8.3%,100.0%,23.3%,0.0%,6.7%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,149,71.1%,28.2%,100.0%,70.5%,28.9%,100.0%,87.2%,12.8%,100.0%,87.2%,12.8%,100.0%,86.6%,13.4%,100.0%,89.3%,10.7%,100.0%,27.5%,6.7%,8.7%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,44,72.7%,22.7%,100.0%,75.0%,20.5%,100.0%,93.2%,6.8%,100.0%,88.6%,11.4%,100.0%,93.2%,6.8%,100.0%,90.9%,9.1%,100.0%,29.5%,0.0%,11.4%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,46,82.6%,17.4%,100.0%,82.6%,17.4%,100.0%,91.3%,8.7%,100.0%,91.3%,8.7%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,17.4%,2.2%,4.3%
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,156,80.8%,18.6%,100.0%,80.1%,19.2%,100.0%,91.0%,9.0%,100.0%,91.0%,9.0%,100.0%,90.4%,9.6%,100.0%,92.3%,7.7%,100.0%,21.8%,0.6%,8.3%
AMERISCHOOLS ACADEMY - CAMELBACK,1333 W CAMELBACK RD,PHOENIX,MARICOPA,85013,NO,,CHARTER,27,29.6%,7.4%,37.0%,29.6%,7.4%,37.0%,92.6%,7.4%,100.0%,85.2%,7.4%,92.6%,85.2%,7.4%,92.6%,92.6%,7.4%,100.0%,7.4%,3.7%,3.7%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,26,80.8%,3.8%,84.6%,76.9%,3.8%,80.8%,92.3%,3.8%,96.2%,92.3%,3.8%,96.2%,92.3%,3.8%,96.2%,96.2%,3.8%,100.0%,3.8%,0.0%,3.8%
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,37,75.7%,13.5%,94.6%,75.7%,13.5%,94.6%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,13.5%,0.0%,2.7%
AMPHI ACADEMY ONLINE,450 E WETMORE RD,TUCSON,PIMA,85705,NO,,PUBLIC,95,92.6%,4.2%,96.8%,93.7%,4.2%,97.9%,95.8%,4.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,1.1%
AMPHITHEATER MIDDLE SCHOOL,315 E PRINCE RD,TUCSON,PIMA,85705,YES,RN,PUBLIC,179,93.3%,2.2%,96.1%,93.9%,2.2%,96.6%,97.8%,1.7%,100.0%,97.2%,2.2%,100.0%,97.8%,1.7%,100.0%,98.9%,1.1%,100.0%,2.2%,0.0%,0.0%
ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,TUCSON,PIMA,85757,YES,RN,PUBLIC,41,78.0%,0.0%,78.0%,78.0%,0.0%,78.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,83,94.0%,3.6%,100.0%,94.0%,3.6%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,6.0%,1.2%,2.4%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85232,NO,,PUBLIC,82,84.1%,4.9%,89.0%,82.9%,4.9%,87.8%,90.2%,4.9%,100.0%,92.7%,4.9%,100.0%,91.5%,4.9%,100.0%,93.9%,4.9%,98.8%,4.9%,0.0%,4.9%
ANTHEM PREPARATORY ACADEMY,39808 N GAVILAN PEAK PKWY,ANTHEM,MARICOPA,85086,NO,,CHARTER,70,78.6%,17.1%,95.7%,78.6%,17.1%,95.7%,92.9%,7.1%,100.0%,88.6%,11.4%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,18.6%,0.0%,4.3%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,LPN,PUBLIC,43,97.7%,2.3%,100.0%,86.0%,14.0%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,93.0%,7.0%,100.0%,95.3%,4.7%,100.0%,14.0%,0.0%,4.7%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,190,97.9%,2.1%,100.0%,97.4%,2.6%,100.0%,99.5%,0.5%,100.0%,99.5%,0.5%,100.0%,99.5%,0.5%,100.0%,99.5%,0.5%,100.0%,2.6%,0.5%,0.5%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,74,91.9%,8.1%,100.0%,91.9%,8.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,8.1%,0.0%,0.0%
ARCHWAY CLASSICAL ACADEMY - CHANDLER,1951 N ALMA SCHOOL RD,CHANDLER,MARICOPA,85224,YES,RN,CHARTER,137,87.6%,11.7%,100.0%,87.6%,11.7%,100.0%,94.9%,5.1%,100.0%,96.4%,3.6%,100.0%,94.9%,5.1%,100.0%,97.1%,2.9%,100.0%,14.6%,0.0%,2.9%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,YES,RN,CHARTER,29,75.9%,13.8%,89.7%,79.3%,13.8%,93.1%,86.2%,13.8%,100.0%,89.7%,10.3%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,13.8%,0.0%,3.4%
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,99,90.9%,5.1%,96.0%,90.9%,6.1%,97.0%,99.0%,1.0%,100.0%,97.0%,2.0%,99.0%,98.0%,1.0%,99.0%,99.0%,1.0%,100.0%,7.1%,0.0%,1.0%
ARIZONA CITY ELEMENTARY SCHOOL,12115 W BENITO DR,ARIZONA CITY,PINAL,,NO,,PUBLIC,71,94.4%,0.0%,95.8%,94.4%,0.0%,95.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,332,56.9%,15.1%,75.0%,55.1%,15.1%,73.5%,86.7%,12.7%,99.4%,86.1%,12.7%,98.8%,87.0%,12.7%,99.7%,86.7%,13.3%,100.0%,15.4%,0.0%,12.7%
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,2820 W KELTON LN,PHOENIX,MARICOPA,,NO,,CHARTER,51,76.5%,23.5%,100.0%,80.4%,19.6%,100.0%,80.4%,9.8%,100.0%,92.2%,7.8%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,21.6%,0.0%,3.9%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARIZONA DESERT ELEMENTARY SCHOOL,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,70,71.4%,0.0%,71.4%,71.4%,0.0%,71.4%,100.0%,0.0%,100.0%,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,98.6%,0.0%,98.6%,1.4%,0.0%,0.0%
