SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
DESTINY SCHOOL,22 PRICKLY PEAR DR,GLOBE,GILA,85501,NO,,CHARTER,28,82.1%,17.9%,100.0%,82.1%,17.9%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,10.7%,0.0%,7.1%
DIAMOND CANYON ELEMENTARY,40004 NORTH LIBERTY BELL WAY,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,105,99.0%,1.0%,100.0%,93.3%,6.7%,100.0%,99.0%,1.0%,100.0%,96.2%,3.8%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,6.7%,0.0%,5.7%
DIETZ K-8 SCHOOL,7575 E PALMA ST,TUCSON,PIMA,85710,YES,RN,PUBLIC,52,88.5%,0.0%,88.5%,84.6%,1.9%,86.5%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,1.9%,1.9%,1.9%
DILCON COMMUNITY SCHOOL,,DILKON,NAVAJO,,YES,LPN,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,71,93.0%,2.8%,100.0%,91.5%,4.2%,100.0%,97.2%,2.8%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,97.2%,2.8%,100.0%,5.6%,0.0%,1.4%
DISCOVER U,13226 N 113TH AVE,YOUNGTOWN,MARICOPA,85363,NO,,CHARTER,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DISCOVERY SCHOOL,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303,YES,RN,PUBLIC,64,76.6%,0.0%,76.6%,76.6%,0.0%,76.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
DOBSON ACADEMY A-BALL CHARTER SCHOOL,2207 N DOBSON RD,CHANDLER,MARICOPA,85224,NO,,CHARTER,57,96.5%,0.0%,96.5%,89.5%,5.3%,94.7%,96.5%,3.5%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,5.3%,1.8%,0.0%
DODGE TRADITIONAL MAGNET MIDDLE SCHOOL,5831 E PIMA ST,TUCSON,PIMA,85712,YES,RN,PUBLIC,153,91.5%,3.3%,95.4%,90.2%,3.3%,94.1%,98.0%,1.3%,100.0%,98.0%,1.3%,100.0%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,3.3%,0.0%,0.7%
DON MENSENDICK SCHOOL,5535 N. 67TH AVE,GLENDALE,MARICOPA,85301,YES,Both,PUBLIC,135,77.8%,0.0%,77.8%,76.3%,0.0%,76.3%,97.8%,0.0%,97.8%,99.3%,0.0%,99.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.5%,0.0%,1.5%
DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,TUCSON,PIMA,85716,YES,RN,PUBLIC,197,82.7%,1.0%,84.3%,79.2%,1.0%,81.2%,95.4%,1.5%,97.5%,97.5%,1.5%,99.0%,96.4%,2.5%,99.0%,98.0%,1.0%,99.0%,2.0%,0.0%,1.0%
DOROTHY STINSON SCHOOL,2013 S 8TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,94,81.9%,2.1%,84.0%,81.9%,3.2%,85.1%,98.9%,1.1%,100.0%,98.9%,0.0%,98.9%,98.9%,1.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,0.0%
DOS RIOS ELEMENTARY,2150 S 87TH AVE,TOLLESON,MARICOPA,85353,NO,,PUBLIC,82,91.5%,4.9%,100.0%,74.4%,2.4%,80.5%,89.0%,4.9%,93.9%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,4.9%,0.0%,4.9%
DOVE MOUNTAIN K-8,5650 W MOORE RD,MARANA,PIMA,85658,YES,RN,PUBLIC,112,91.1%,6.3%,97.3%,89.3%,6.3%,95.5%,92.9%,6.3%,99.1%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,6.3%,0.0%,6.3%
DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326,YES,RN,PUBLIC,68,60.3%,30.9%,91.2%,60.3%,30.9%,91.2%,94.1%,5.9%,100.0%,98.5%,1.5%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,36.8%,0.0%,1.5%
DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224,NO,,PUBLIC,54,96.3%,1.9%,100.0%,96.3%,1.9%,98.1%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,96.3%,3.7%,100.0%,98.1%,1.9%,100.0%,3.7%,5.6%,1.9%
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,114,87.7%,7.9%,100.0%,86.8%,9.6%,100.0%,97.4%,2.6%,100.0%,95.6%,4.4%,100.0%,93.9%,6.1%,100.0%,97.4%,2.6%,100.0%,14.9%,0.0%,1.8%
DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,TUCSON,PIMA,85701,YES,RN,PUBLIC,35,85.7%,8.6%,94.3%,85.7%,8.6%,94.3%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,100.0%,0.0%,100.0%,8.6%,0.0%,0.0%
DREAM CITY CHRISTIAN SCHOOLS,21000 N 75TH AVE,GLENDALE,MARICOPA,85308,YES,RN,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,48,95.8%,2.1%,100.0%,95.8%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.1%,0.0%,0.0%
DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,DUNCAN,GREENLEE,85534,NO,,PUBLIC,33,93.9%,3.0%,97.0%,93.9%,3.0%,97.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.0%,0.0%,0.0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,103,91.3%,2.9%,97.1%,91.3%,2.9%,97.1%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,99.0%,1.0%,100.0%,3.9%,0.0%,1.0%
DYSART ELEMENTARY SCHOOL,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,98,85.7%,3.1%,90.8%,86.7%,3.1%,89.8%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,3.1%,0.0%,2.0%
EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,PHOENIX,MARICOPA,85031,NO,,CHARTER,41,82.9%,0.0%,87.8%,85.4%,0.0%,87.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MESA,MARICOPA,85203,NO,,CHARTER,30,100.0%,0.0%,100.0%,83.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EAGLE COLLEGE PREP - S MOUNTAIN,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041,NO,,CHARTER,51,84.3%,3.9%,90.2%,82.4%,5.9%,90.2%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,3.9%,0.0%,2.0%
EAGLE RIDGE ELEMENTARY SCHOOL - PHONEIX,19801 N 13TH ST,PHOENIX,MARICOPA,85024,YES,RN,PUBLIC,76,97.4%,2.6%,100.0%,96.1%,2.6%,98.7%,100.0%,0.0%,100.0%,97.4%,2.6%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,7.9%,0.0%,2.6%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,42,61.9%,26.2%,88.1%,59.5%,28.6%,88.1%,90.5%,9.5%,100.0%,88.1%,11.9%,100.0%,88.1%,11.9%,100.0%,88.1%,11.9%,100.0%,26.2%,0.0%,11.9%
ECHO CANYON K-8 - SCOTTSDALE,4330 NORTH 62ND STREET,SCOTTSDALE,MARICOPA,85251,YES,RN,PUBLIC,26,88.5%,3.8%,100.0%,88.5%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,92.3%,7.7%,100.0%,96.2%,3.8%,100.0%,7.7%,0.0%,3.8%
ECHO MOUNTAIN INTERMEDIATE SCHOOL - PHOENIX,1811 E MICHIGAN AVE,PHOENIX,MARICOPA,85022,YES,RN,PUBLIC,151,84.1%,4.0%,88.1%,83.4%,4.6%,88.1%,98.0%,1.3%,100.0%,96.7%,2.6%,100.0%,98.0%,1.3%,99.3%,98.7%,1.3%,100.0%,5.3%,0.0%,1.3%
ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041,YES,LPN,PUBLIC,54,96.3%,0.0%,100.0%,87.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ED PASTOR ELEMENTARY 4,985 N 6TH AVE,SAN LUIS,YUMA,85349,YES,LPN,PUBLIC,60,91.7%,1.7%,100.0%,91.7%,1.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.3%,1.7%,100.0%,1.7%,0.0%,0.0%
EDISON ELEMENTARY SCHOOL,545 N HORNE,MESA,MARICOPA,85203,YES,RN,PUBLIC,83,94.0%,2.4%,96.4%,94.0%,2.4%,96.4%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,2.4%,0.0%,2.4%
EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305,NO,,CHARTER,27,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.7%,0.0%,0.0%
EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,GILBERT,MARICOPA,85233,YES,RN,CHARTER,180,83.3%,15.6%,98.9%,83.9%,15.0%,98.9%,88.3%,11.7%,100.0%,89.4%,10.6%,100.0%,89.4%,10.6%,100.0%,92.2%,7.8%,100.0%,15.6%,0.0%,7.8%
EDUPRIZE SCHOOL - QUEEN CREEK,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142,YES,RN,CHARTER,194,88.7%,8.8%,97.4%,88.7%,8.8%,97.4%,95.4%,4.1%,99.5%,95.4%,4.6%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,9.3%,0.0%,3.1%
EL MIRAGE ELEMENTARY SCHOOL,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335,NO,,PUBLIC,92,95.7%,3.3%,98.9%,95.7%,3.3%,98.9%,100.0%,0.0%,100.0%,98.9%,1.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.3%,2.2%,0.0%
ELGIN ELEMENTARY SCHOOL,293 UPPER ELGIN RD,ELGIN,SANTA CRUZ,85611,YES,RN,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140,NO,,PUBLIC,84,86.9%,10.7%,98.8%,86.9%,10.7%,98.8%,91.7%,7.1%,98.8%,91.7%,8.3%,100.0%,96.4%,2.4%,98.8%,97.6%,2.4%,100.0%,10.7%,0.0%,0.0%
ELOY JUNIOR HIGH SCHOOL - E PHOENIX AVE,404 E PHOENIX AVE,ELOY,PINAL,85131,NO,,PUBLIC,95,84.2%,0.0%,84.2%,83.2%,0.0%,83.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,TUCSON,PIMA,85756,YES,RN,PUBLIC,61,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,120,85.8%,3.3%,90.0%,85.0%,4.2%,90.0%,97.5%,1.7%,100.0%,96.7%,2.5%,99.2%,96.7%,2.5%,99.2%,99.2%,0.0%,99.2%,3.3%,0.8%,0.8%
EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMMANUEL LUTHERAN SCHOOL,715 W SOUTHERN AVE,TEMPE,MARICOPA,85282,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,90,83.3%,2.2%,85.6%,80.0%,2.2%,82.2%,97.8%,1.1%,98.9%,96.7%,1.1%,97.8%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,4.4%,0.0%,1.1%
ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747,YES,Both,PUBLIC,85,87.1%,8.2%,95.3%,87.1%,8.2%,95.3%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,8.2%,0.0%,2.4%
ESPERANZA ELEMENTARY SCHOOL - 85706,2353 E BANTAM,TUCSON,PIMA,85706,YES,RN,PUBLIC,49,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ESPERANZA ELEMENTARY SCHOOL-85027,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,LPN,PUBLIC,45,97.8%,0.0%,97.8%,95.6%,2.2%,97.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,6.7%,0.0%,0.0%
ESPERERO CANYON MIDDLE SCHOOL,5801 N SABINO CANYON RD,TUCSON,PIMA,85750,YES,RN,PUBLIC,186,91.4%,8.6%,100.0%,90.3%,9.7%,100.0%,97.3%,2.2%,99.5%,97.3%,2.2%,99.5%,95.7%,3.8%,99.5%,97.3%,2.2%,99.5%,10.8%,0.0%,1.6%
ESTRELLA FOOTHILLS GLOBAL ACADEMY,5400 W CARVER ROAD,LAVEEN,MARICOPA,85339,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESTRELLA MIDDLE SCHOOL,3733 N 75TH AVE,PHOENIX,MARICOPA,85033,YES,Both,PUBLIC,45,84.4%,0.0%,84.4%,84.4%,0.0%,84.4%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,0.0%,0.0%,0.0%
ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,73,91.8%,5.5%,97.3%,91.8%,5.5%,97.3%,94.5%,5.5%,100.0%,94.5%,5.5%,100.0%,94.5%,5.5%,100.0%,94.5%,5.5%,100.0%,5.5%,0.0%,5.5%
ESTRELLA VISTA ELEMENTARY,11905 W COCOPAH CIR,AVONDALE,MARICOPA,85323,NO,,PUBLIC,105,96.2%,1.9%,98.1%,96.2%,1.9%,98.1%,100.0%,0.0%,100.0%,99.0%,1.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.9%,0.0%,0.0%
ETHOS ACADEMY,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302,NO,,CHARTER,41,48.8%,0.0%,48.8%,41.5%,0.0%,41.5%,95.1%,0.0%,95.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
EXCELENCIA SCHOOL,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006,YES,LPN,PUBLIC,76,84.2%,1.3%,85.5%,80.3%,1.3%,81.6%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
FAIRBANKS MIDDLE SCHOOL,1056 FAIRBANKS RD,MORENCI,GREENLEE,85540,NO,,PUBLIC,106,73.6%,0.0%,73.6%,73.6%,0.0%,73.6%,99.1%,0.0%,99.1%,98.1%,0.0%,98.1%,99.1%,0.0%,99.1%,99.1%,0.0%,99.1%,0.0%,0.0%,0.0%
FAITH COMMUNITY ACADEMY - 85741,2551 W ORANGE GROVE,TUCSON,PIMA,,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAITH MATHER SOSSAMAN ELEMENTARY,22801 E VIA DEL JARDIN,QUEEN CREEK,MARICOPA,85142,NO,,PUBLIC,143,70.6%,7.7%,78.3%,67.8%,7.7%,75.5%,89.5%,7.7%,97.2%,88.8%,7.7%,96.5%,90.9%,7.7%,98.6%,90.9%,8.4%,99.3%,8.4%,0.0%,7.7%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,62,98.4%,1.6%,100.0%,96.8%,3.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.8%,0.0%,0.0%
FAMILY LIFE ACADEMY,530 S PANTANO RD,TUCSON,PIMA,85710,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FEES MIDDLE SCHOOL,1600 E WATSON DR,TEMPE,MARICOPA,85283,YES,RN,PUBLIC,312,89.7%,3.5%,98.4%,86.5%,3.8%,95.5%,98.4%,1.6%,100.0%,97.8%,2.2%,100.0%,99.0%,1.0%,100.0%,98.7%,1.3%,100.0%,3.8%,0.0%,1.3%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FINE ARTS ACADEMY,1700 S. 103RD AVE,TOLLESON,MARICOPA,85353,YES,LPN,PUBLIC,101,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,80,40.0%,1.3%,41.3%,41.3%,1.3%,42.5%,98.8%,1.3%,100.0%,96.3%,3.8%,100.0%,95.0%,5.0%,100.0%,95.0%,2.5%,97.5%,5.0%,0.0%,1.3%
FIRESIDE ELEMENTARY SCHOOL,3725 E LONE CACTUS DR,PHOENIX,MARICOPA,85050,YES,RN,PUBLIC,110,84.5%,4.5%,90.9%,82.7%,0.9%,83.6%,94.5%,1.8%,97.3%,92.7%,2.7%,95.5%,95.5%,0.9%,96.4%,95.5%,0.9%,96.4%,10.9%,0.0%,6.4%
FIRST BAPTIST CHRISTIAN ACADEMY,1447 S 7TH ST,SIERRA VISTA,COCHISE,85635,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLAGSTAFF CHRISTIAN SCHOOL,3500 N 4TH STREET,FLAGSTAFF,COCONINO,86004,NO,,PRIVATE,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,306 W CEDAR AVE,FLAGSTAFF,COCONINO,,NO,,PUBLIC,44,81.8%,18.2%,100.0%,75.0%,22.7%,97.7%,88.6%,11.4%,100.0%,93.2%,6.8%,100.0%,86.4%,11.4%,100.0%,88.6%,11.4%,100.0%,22.7%,0.0%,4.5%
FLORENCE K-8,460 S PARK ST,FLORENCE,PINAL,85232,YES,LPN,PUBLIC,62,88.7%,1.6%,90.3%,88.7%,1.6%,90.3%,98.4%,0.0%,98.4%,98.4%,0.0%,98.4%,100.0%,0.0%,100.0%,98.4%,0.0%,98.4%,1.6%,0.0%,1.6%
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,65,81.5%,3.1%,84.6%,81.5%,3.1%,84.6%,98.5%,1.5%,100.0%,96.9%,3.1%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,4.6%,0.0%,1.5%
FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536,YES,RN,PUBLIC,31,87.1%,0.0%,87.1%,87.1%,0.0%,87.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
FOUNTAIN HILLS MIDDLE SCHOOL,15414 N MCDOWELL MOUNTAIN RD,FOUNTAIN HILLS,MARICOPA,85268,NO,,PUBLIC,90,87.8%,11.1%,100.0%,88.9%,10.0%,100.0%,98.9%,1.1%,100.0%,96.7%,3.3%,100.0%,98.9%,1.1%,100.0%,97.8%,2.2%,100.0%,12.2%,1.1%,1.1%
FOUR PEAKS ELEMENTARY SCHOOL - N IDAHO RD,1755 N IDAHO RD,APACHE JUNCTION,PINAL,85219,YES,RN,PUBLIC,97,90.7%,7.2%,99.0%,90.7%,7.2%,99.0%,93.8%,4.1%,100.0%,94.8%,3.1%,100.0%,95.9%,3.1%,100.0%,96.9%,3.1%,100.0%,7.2%,0.0%,2.1%
FOURTH AVENUE JUNIOR HIGH SCHOOL,450 4TH AVE,YUMA,YUMA,85364,NO,,PUBLIC,57,84.2%,0.0%,84.2%,87.7%,0.0%,87.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
FRANCES BRANDEN-PICKETT ELEMENTARY,22706 E VILLAGE LOOP,QUEEN CREEK,MARICOPA,85242,YES,Both,PUBLIC,86,95.3%,1.2%,96.5%,95.3%,1.2%,96.5%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,2.3%,0.0%,2.3%
FRANK BORMAN MIDDLE SCHOOL,3637 N 55TH AVE,PHOENIX,MARICOPA,85031,NO,,PUBLIC,120,81.7%,0.8%,85.0%,80.0%,0.8%,83.3%,99.2%,0.0%,99.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.8%,0.8%,0.0%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,42,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,7.1%,0.0%,4.8%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,,YES,RN,PUBLIC,102,92.2%,7.8%,100.0%,92.2%,7.8%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,96.1%,3.9%,100.0%,95.1%,4.9%,100.0%,8.8%,0.0%,2.0%
FRANKLIN ELEMENTARY SCHOOL,1753 E 8TH AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,91,94.5%,3.3%,98.9%,94.5%,3.3%,98.9%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,94.5%,4.4%,98.9%,98.9%,1.1%,100.0%,6.6%,0.0%,1.1%
FRANKLIN PHONETIC PRIMARY SCHOOL SUNNYSLOPE,9317 N 2ND ST,PHOENIX,MARICOPA,85020,NO,,CHARTER,51,62.7%,3.9%,66.7%,41.2%,3.9%,66.7%,41.2%,3.9%,66.7%,41.2%,3.9%,66.7%,41.2%,3.9%,78.4%,92.2%,3.9%,96.1%,3.9%,0.0%,3.9%
FRANKLIN WEST ELEMENTARY,236 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,61,80.3%,8.2%,88.5%,80.3%,11.5%,91.8%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,96.7%,3.3%,100.0%,93.4%,6.6%,100.0%,8.2%,0.0%,4.9%
