SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,75,93.3%,6.7%,100.0%,92.0%,8.0%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,94.7%,5.3%,100.0%,100.0%,0.0%,100.0%,12.0%,0.0%,0.0%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,72,90.3%,9.7%,100.0%,90.3%,9.7%,100.0%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,95.8%,4.2%,100.0%,94.4%,5.6%,100.0%,9.7%,1.4%,4.2%
PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MESA,MARICOPA,85204,YES,RN,PUBLIC,59,93.2%,5.1%,98.3%,93.2%,5.1%,98.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.1%,0.0%,0.0%
KERR ELEMENTARY SCHOOL,125 E MCLELLAN RD,MESA,MARICOPA,85201,YES,RN,PUBLIC,64,85.9%,0.0%,85.9%,82.8%,0.0%,82.8%,96.9%,0.0%,96.9%,96.9%,0.0%,96.9%,96.9%,0.0%,96.9%,95.3%,0.0%,95.3%,1.6%,0.0%,0.0%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,74,89.2%,9.5%,98.6%,89.2%,9.5%,98.6%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,9.5%,0.0%,4.1%
RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MESA,MARICOPA,85215,YES,RN,PUBLIC,54,94.4%,5.6%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,94.4%,3.7%,100.0%,96.3%,3.7%,100.0%,100.0%,0.0%,100.0%,7.4%,1.9%,3.7%
BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,76,90.8%,9.2%,100.0%,90.8%,9.2%,100.0%,93.4%,5.3%,100.0%,93.4%,5.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,11.8%,2.6%,5.3%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,123,92.7%,6.5%,100.0%,92.7%,6.5%,100.0%,95.1%,4.9%,100.0%,93.5%,6.5%,100.0%,94.3%,5.7%,100.0%,95.1%,4.9%,100.0%,8.1%,0.0%,4.9%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,64,89.1%,10.9%,100.0%,85.9%,10.9%,96.9%,93.8%,3.1%,96.9%,95.3%,4.7%,100.0%,93.8%,6.3%,100.0%,98.4%,0.0%,98.4%,10.9%,0.0%,3.1%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,100,90.0%,6.0%,97.0%,90.0%,6.0%,97.0%,95.0%,4.0%,99.0%,95.0%,4.0%,99.0%,95.0%,5.0%,100.0%,96.0%,4.0%,100.0%,7.0%,0.0%,3.0%
PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PUBLIC,52,96.2%,3.8%,100.0%,92.3%,3.8%,96.2%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,98.1%,1.9%,100.0%,3.8%,0.0%,1.9%
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,68,83.8%,0.0%,85.3%,80.9%,2.9%,83.8%,98.5%,1.5%,100.0%,97.1%,2.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.9%,0.0%,0.0%
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,71,87.3%,11.3%,100.0%,87.3%,11.3%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,14.1%,0.0%,2.8%
JAMES KENDALL ZAHARIS ELEMENTARY,9410 E MCKELLIPS RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,119,88.2%,10.1%,100.0%,88.2%,8.4%,98.3%,93.3%,6.7%,100.0%,94.1%,5.9%,100.0%,92.4%,7.6%,100.0%,94.1%,0.0%,94.1%,14.3%,0.0%,0.0%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,44,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.8%,0.0%,0.0%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,85206,YES,RN,PUBLIC,96,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,92.7%,7.3%,100.0%,90.6%,9.4%,100.0%,92.7%,7.3%,100.0%,91.7%,8.3%,100.0%,12.5%,1.0%,2.1%
MESA ACADEMY FOR ADVANCED STUDIES,6919 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,84,90.5%,7.1%,97.6%,90.5%,7.1%,97.6%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,97.6%,2.4%,100.0%,10.7%,0.0%,2.4%
SUMMIT ACADEMY,1560 W SUMMIT PL,CHANDLER,MARICOPA,85224,YES,RN,PUBLIC,104,95.2%,1.0%,97.1%,92.3%,3.8%,97.1%,99.0%,0.0%,100.0%,99.0%,1.0%,100.0%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,5.8%,1.9%,0.0%
ROADRUNNER ELEMENTARY SCHOOL-85653,16651 W CALLE CARMELA,MARANA,PIMA,85653,NO,,PUBLIC,48,79.2%,8.3%,89.6%,79.2%,8.3%,89.6%,93.8%,0.0%,93.8%,93.8%,0.0%,93.8%,95.8%,0.0%,95.8%,100.0%,0.0%,100.0%,8.3%,0.0%,0.0%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,81,50.6%,49.4%,100.0%,46.9%,53.1%,100.0%,65.4%,34.6%,100.0%,64.2%,35.8%,100.0%,64.2%,35.8%,100.0%,66.7%,33.3%,100.0%,53.1%,0.0%,32.1%
VULTURE PEAK MIDDLE SCHOOL,920 S VULTURE MINE RD,WICKENBURG,MARICOPA,85390,NO,,PUBLIC,50,92.0%,6.0%,98.0%,50.0%,6.0%,56.0%,92.0%,6.0%,98.0%,92.0%,6.0%,98.0%,92.0%,6.0%,98.0%,90.0%,8.0%,98.0%,8.0%,0.0%,6.0%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,35,94.3%,0.0%,94.3%,57.1%,0.0%,57.1%,94.3%,0.0%,94.3%,97.1%,0.0%,97.1%,82.9%,0.0%,82.9%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
PEORIA ELEMENTARY SCHOOL,11501 N 79TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,63,82.5%,0.0%,82.5%,79.4%,0.0%,79.4%,98.4%,0.0%,98.4%,100.0%,0.0%,100.0%,98.4%,0.0%,98.4%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
IRA A MURPHY SCHOOL,7231 W NORTH LN,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,48,87.5%,0.0%,87.5%,87.5%,0.0%,87.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.9%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
KACHINA ELEMENTARY SCHOOL,5304 W CROCUS DR,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,43,90.7%,7.0%,97.7%,90.7%,7.0%,97.7%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,95.3%,4.7%,100.0%,97.7%,2.3%,100.0%,7.0%,0.0%,2.3%
HERITAGE SCHOOL,5312 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,YES,LPN,PUBLIC,53,90.6%,0.0%,90.6%,86.8%,0.0%,86.8%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,0.0%,0.0%,0.0%
PIONEER ELEMENTARY SCHOOL-85306,6315 W PORT AU PRINCE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,40,67.5%,10.0%,77.5%,67.5%,10.0%,77.5%,97.5%,2.5%,100.0%,95.0%,5.0%,100.0%,97.5%,2.5%,100.0%,95.0%,5.0%,100.0%,10.0%,0.0%,2.5%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,78,70.5%,1.3%,71.8%,65.4%,1.3%,66.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,97.4%,1.3%,98.7%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,36,97.2%,0.0%,97.2%,66.7%,0.0%,66.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.2%,0.0%,97.2%,0.0%,0.0%,0.0%
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,69,89.9%,10.1%,100.0%,89.9%,10.1%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,98.6%,1.4%,100.0%,97.1%,2.9%,100.0%,10.1%,0.0%,1.4%
COPPERWOOD SCHOOL,11232 N 65TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,79,82.3%,0.0%,82.3%,100.0%,0.0%,100.0%,97.5%,0.0%,97.5%,100.0%,0.0%,100.0%,97.5%,0.0%,97.5%,98.7%,0.0%,98.7%,0.0%,0.0%,0.0%
SUNDANCE ELEMENTARY SCHOOL-85345,7051 W CHOLLA ST,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,45,84.4%,0.0%,84.4%,77.8%,0.0%,77.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
COTTON BOLL SCHOOL,8540 W BUTLER DR,PEORIA,MARICOPA,85345,YES,Both,PUBLIC,90,73.3%,5.6%,78.9%,73.3%,5.6%,78.9%,96.7%,3.3%,100.0%,95.6%,4.4%,100.0%,95.6%,3.3%,100.0%,94.4%,5.6%,100.0%,5.6%,0.0%,5.6%
OAKWOOD ELEMENTARY SCHOOL,12900 N 71ST AVE,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,92,95.7%,3.3%,100.0%,65.2%,3.3%,100.0%,94.6%,5.4%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,7.6%,0.0%,0.0%
DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,69,76.8%,2.9%,79.7%,73.9%,2.9%,76.8%,97.1%,0.0%,97.1%,97.1%,0.0%,97.1%,95.7%,0.0%,95.7%,98.6%,0.0%,98.6%,2.9%,0.0%,0.0%
IRONWOOD ELEMENTARY SCHOOL,3300 W FREER DR,TUCSON,PIMA,85742,NO,,PUBLIC,51,64.7%,0.0%,64.7%,60.8%,0.0%,60.8%,94.1%,0.0%,94.1%,92.2%,0.0%,92.2%,98.0%,0.0%,98.0%,100.0%,0.0%,100.0%,3.9%,0.0%,3.9%
SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,69,55.1%,4.3%,59.4%,52.2%,4.3%,56.5%,95.7%,2.9%,100.0%,95.7%,2.9%,100.0%,95.7%,2.9%,100.0%,95.7%,2.9%,100.0%,2.9%,1.4%,2.9%
OASIS ELEMENTARY SCHOOL,7841 W SWEETWATER AVE,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,94,100.0%,0.0%,100.0%,60.6%,0.0%,60.6%,96.8%,0.0%,96.8%,95.7%,0.0%,95.7%,97.9%,0.0%,97.9%,98.9%,0.0%,98.9%,0.0%,0.0%,0.0%
SUN VALLEY ELEMENTARY SCHOOL,8361 N 95TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,80,90.0%,1.3%,91.3%,90.0%,1.3%,91.3%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,1.3%,0.0%,1.3%
SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,59,84.7%,13.6%,100.0%,35.6%,15.3%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,96.6%,3.4%,100.0%,100.0%,0.0%,100.0%,18.6%,0.0%,0.0%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,96,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,100.0%,0.0%,100.0%,99.0%,1.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.3%,0.0%,0.0%
CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,GLENDALE,MARICOPA,85306,YES,Both,PUBLIC,29,62.1%,6.9%,69.0%,62.1%,6.9%,69.0%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,93.1%,6.9%,100.0%,6.9%,0.0%,6.9%
MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,72,68.1%,2.8%,72.2%,63.9%,2.8%,68.1%,91.7%,4.2%,95.8%,91.7%,4.2%,95.8%,93.1%,2.8%,95.8%,95.8%,4.2%,100.0%,4.2%,0.0%,2.8%
SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,86,90.7%,8.1%,98.8%,90.7%,8.1%,98.8%,97.7%,2.3%,100.0%,100.0%,0.0%,100.0%,97.7%,2.3%,100.0%,100.0%,0.0%,100.0%,11.6%,0.0%,3.5%
PASEO VERDE ELEMENTARY SCHOOL,7880 W GREENWAY RD,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,80,72.5%,3.8%,76.3%,90.0%,0.0%,100.0%,96.3%,3.8%,100.0%,96.3%,3.8%,100.0%,96.3%,3.8%,100.0%,96.3%,3.8%,100.0%,3.8%,0.0%,3.8%
DESERT HARBOR ELEMENTARY SCHOOL,15585 N 91ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,110,81.8%,6.4%,88.2%,81.8%,6.4%,88.2%,88.2%,4.5%,92.7%,90.9%,8.2%,99.1%,94.5%,5.5%,100.0%,92.7%,7.3%,100.0%,6.4%,0.0%,3.6%
QUAIL RUN ELEMENTARY SCHOOL,4600 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,PUBLIC,70,85.7%,1.4%,87.1%,85.7%,1.4%,87.1%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,1.4%,0.0%,1.4%
CHEYENNE ELEMENTARY SCHOOL - PEORIA,11806 N 87TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,74,73.0%,4.1%,77.0%,70.3%,5.4%,75.7%,95.9%,2.7%,100.0%,95.9%,2.7%,100.0%,95.9%,2.7%,100.0%,97.3%,2.7%,100.0%,5.4%,0.0%,4.1%
FRONTIER ELEMENTARY SCHOOL,21258 N 81ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,98,83.7%,15.3%,100.0%,83.7%,15.3%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,96.9%,3.1%,100.0%,16.3%,0.0%,3.1%
COUNTRY MEADOWS ELEMENTARY SCHOOL,8409 N 111 TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,114,58.8%,2.6%,61.4%,56.1%,2.6%,58.8%,96.5%,2.6%,99.1%,96.5%,2.6%,99.1%,96.5%,2.6%,99.1%,96.5%,2.6%,99.1%,2.6%,0.0%,2.6%
COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,93,79.6%,9.7%,89.2%,77.4%,9.7%,87.1%,93.5%,4.3%,97.8%,95.7%,4.3%,100.0%,94.6%,4.3%,98.9%,100.0%,0.0%,100.0%,10.8%,0.0%,4.3%
ZUNI HILLS ELEMENTARY SCHOOL,10851 W WILLIAMS RD,PEORIA,MARICOPA,85373,YES,RN,PUBLIC,95,69.5%,1.1%,70.5%,66.3%,2.1%,68.4%,95.8%,2.1%,97.9%,95.8%,2.1%,97.9%,96.8%,1.1%,97.9%,98.9%,1.1%,100.0%,4.2%,0.0%,1.1%
PARKRIDGE ELEMENTARY,9970 W BEARDSLEY RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,92,89.1%,2.2%,91.3%,89.1%,2.2%,91.3%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
VISTANCIA ELEMENTARY SCHOOL,30009 N SUNSET POINT,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,135,75.6%,4.4%,80.0%,74.8%,3.7%,78.5%,97.0%,3.0%,100.0%,97.8%,2.2%,100.0%,96.3%,3.0%,99.3%,97.8%,2.2%,100.0%,5.9%,0.0%,2.2%
LAKE PLEASANT ELEMENTARY,31501 N WESTLAND RD,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,127,67.7%,3.1%,70.9%,66.1%,3.1%,69.3%,96.1%,3.1%,99.2%,96.1%,3.1%,99.2%,93.7%,3.1%,96.9%,93.7%,3.1%,97.6%,4.7%,0.0%,2.4%
PEORIA TRADITIONAL SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,39,89.7%,5.1%,94.9%,89.7%,5.1%,94.9%,94.9%,2.6%,97.4%,97.4%,2.6%,100.0%,92.3%,7.7%,100.0%,94.9%,5.1%,100.0%,12.8%,0.0%,2.6%
SUNSET HEIGHTS ELEMENTARY SCHOOL-85382,9687 W ADAM AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,122,86.9%,4.9%,91.8%,86.1%,4.9%,91.0%,97.5%,2.5%,100.0%,99.2%,0.8%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,4.9%,0.0%,0.0%
COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,TUCSON,PIMA,85743,NO,,PUBLIC,66,84.8%,12.1%,100.0%,84.8%,12.1%,100.0%,95.5%,4.5%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,12.1%,0.0%,3.0%
GILA BEND ELEMENTARY SCHOOL,308 N MARTIN AVE,GILA BEND,MARICOPA,85337,YES,RN,CHARTER,30,86.7%,0.0%,100.0%,83.3%,0.0%,96.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
GILBERT ELEMENTARY SCHOOL,175 W ELLIOT RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,62,93.5%,6.5%,100.0%,90.3%,8.1%,100.0%,96.8%,1.6%,100.0%,98.4%,0.0%,100.0%,98.4%,0.0%,100.0%,100.0%,0.0%,100.0%,8.1%,0.0%,8.1%
GREENFIELD ELEMENTARY SCHOOL,2550 E ELLIOT RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,128,89.8%,9.4%,99.2%,89.8%,9.4%,99.2%,95.3%,4.7%,100.0%,96.1%,3.9%,100.0%,93.8%,6.3%,100.0%,96.9%,3.1%,100.0%,12.5%,0.0%,3.9%
PATTERSON ELEMENTARY SCHOOL,1211 E GUADALUPE RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,84,91.7%,6.0%,97.6%,91.7%,6.0%,97.6%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,6.0%,0.0%,3.6%
NEELY TRADITIONAL ACADEMY,500 E HOUSTON AVENUE,GILBERT,MARICOPA,85234,YES,Both,PUBLIC,114,95.6%,4.4%,100.0%,91.2%,8.8%,100.0%,96.5%,3.5%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,95.6%,4.4%,100.0%,13.2%,0.0%,0.9%
PIONEER ELEMENTARY SCHOOL-85234,1535 N GREENFIELD RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,69,94.2%,5.8%,100.0%,94.2%,5.8%,100.0%,95.7%,4.3%,100.0%,94.2%,5.8%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,7.2%,0.0%,4.3%
ISLANDS ELEMENTARY SCHOOL,245 S MCQUEEN RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,79,83.5%,15.2%,98.7%,82.3%,15.2%,98.7%,87.3%,12.7%,100.0%,88.6%,11.4%,100.0%,88.6%,11.4%,100.0%,91.1%,8.9%,100.0%,15.2%,0.0%,8.9%
PICTURE ROCKS ELEMENTARY SCHOOL,5875 N SANDERS RD,TUCSON,PIMA,85743,NO,,PUBLIC,72,79.2%,16.7%,95.8%,76.4%,19.4%,95.8%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,98.6%,1.4%,100.0%,100.0%,0.0%,100.0%,19.4%,0.0%,0.0%
BURK ELEMENTARY SCHOOL,545 N BURK ST,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,65,89.2%,10.8%,100.0%,89.2%,10.8%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,96.9%,3.1%,100.0%,98.5%,1.5%,100.0%,10.8%,0.0%,1.5%
VAL VISTA LAKES ELEMENTARY SCHOOL,1030 N BLUE GROTTO DR,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,68,88.2%,11.8%,100.0%,85.3%,14.7%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,92.6%,7.4%,100.0%,14.7%,0.0%,5.9%
