SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,56,78.6%,5.4%,83.9%,76.8%,5.4%,82.1%,92.9%,5.4%,98.2%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,5.4%,0.0%,5.4%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,NO,,PUBLIC,96,90.6%,3.1%,93.8%,88.5%,4.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,99.0%,1.0%,100.0%,4.2%,0.0%,0.0%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,83,92.8%,3.6%,98.8%,92.8%,3.6%,98.8%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,96.4%,2.4%,98.8%,4.8%,0.0%,1.2%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,49,75.5%,6.1%,81.6%,75.5%,6.1%,81.6%,95.9%,2.0%,98.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,6.1%,0.0%,2.0%
JOHNSON ELEMENTARY SCHOOL,3807 E PUEBLO,MESA,MARICOPA,85206,YES,RN,PUBLIC,78,89.7%,9.0%,100.0%,89.7%,9.0%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,7.7%,0.0%,3.8%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,59,86.4%,10.2%,96.6%,86.4%,10.2%,96.6%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,96.6%,3.4%,100.0%,98.3%,1.7%,100.0%,11.9%,0.0%,1.7%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,67,82.1%,16.4%,98.5%,82.1%,16.4%,98.5%,94.0%,6.0%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,100.0%,0.0%,100.0%,16.4%,0.0%,4.5%
ISHIKAWA ELEMENTARY SCHOOL,2635 N 32ND ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,99,84.8%,14.1%,99.0%,83.8%,15.2%,99.0%,89.9%,10.1%,100.0%,90.9%,9.1%,100.0%,91.9%,8.1%,100.0%,99.0%,1.0%,100.0%,16.2%,0.0%,6.1%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,50,94.0%,4.0%,100.0%,92.0%,6.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,94.0%,6.0%,100.0%,96.0%,4.0%,100.0%,6.0%,0.0%,6.0%
SOUSA ELEMENTARY SCHOOL,616 N MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,47,93.6%,4.3%,97.9%,93.6%,4.3%,97.9%,95.7%,2.1%,100.0%,95.7%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,4.3%,0.0%,2.1%
