SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Career Success Schools - Sage Elementary,Charter,N,,< 20,3120 N 32ND ST,PHOENIX,AZ,85018,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91st Psalm Christian School,Private,N,,< 20,2020 E BASELINE RD,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abraham Lincoln School,Public,N,,49,10444 N 39TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,GREATER THAN,98.0%,2.0%,100.0%,100.0%,0.0%,100.0%,95.9%,4.1%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,4.1%,0.0%,2.0%
Academy Del Sol - Hope,Charter,N,,57,7102 W VALLEY CREST PL,TUCSON,AZ,85757,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.2%,1.8%,100.0%,75.4%,1.8%,101.8%,100.0%,0.0%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Academy Of Excellence,Charter,N,,< 20,425 N 36TH ST,PHOENIX,AZ,85008,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy Of Math & Science Camelback,Charter,N,,57,6633 W CAMELBACK RD,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,98.2%,0.0%,98.2%,89.5%,0.0%,91.2%,87.7%,0.0%,89.5%,98.2%,0.0%,98.2%,98.2%,0.0%,98.2%,96.5%,1.8%,98.2%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Academy Of Math And Science,Charter,N,,44,1557 W PRINCE RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,79.5%,18.2%,97.7%,79.5%,18.2%,97.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,18.2%,0.0%,0.0%
Academy Of Mathematics And Science South,Charter,N,,66,3335 W FLOWER ST,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,93.9%,3.0%,97.0%,93.9%,3.0%,100.0%,86.4%,6.1%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,0.0%
Academy Of Tucson Middle School,Charter,N,,72,7310 E 22ND ST,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,86.1%,2.8%,88.9%,84.7%,2.8%,87.5%,98.6%,0.0%,98.6%,97.2%,1.4%,98.6%,98.6%,0.0%,98.6%,98.6%,0.0%,98.6%,4.2%,1.4%,0.0%
Accel,Private,Y,RN,< 20,10251 N 35TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accel - East Campus,Private,N,,< 20,1430 E BASELINE RD,TEMPE,AZ,85283,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accelerated Learning Laboratory,Charter,N,,< 20,5245 N CAMINO DE OESTE,TUCSON,AZ,85745,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acclaim Academy,Charter,N,,47,7624 W INDIAN SCHOOL RD,PHOENIX,AZ,85033,MARICOPA COUNTY,GREATER THAN,10.6%,0.0%,10.6%,4.3%,0.0%,4.3%,4.3%,0.0%,4.3%,80.9%,0.0%,80.9%,83.0%,0.0%,83.0%,83.0%,0.0%,83.0%,95.7%,0.0%,95.7%,0.0%,100.0%,0.0%
Acorn Montessori Charter School,Charter,N,,38,8556 E LOOS DR,PRESCOTT VALLEY,AZ,86314,YAVAPAI COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Adams Elementary School,Public,Y,RN,88,738 S LONGMORE,MESA,AZ,85202,MARICOPA COUNTY,GREATER THAN,98.9%,0.0%,98.9%,97.7%,1.1%,100.0%,97.7%,1.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.9%,1.1%,100.0%,2.3%,1.1%,0.0%
Adams Traditional Academy,Charter,Y,RN,61,2323 W PARKSIDE LN,PHOENIX,AZ,85027,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,88.5%,11.5%,100.0%,85.2%,14.8%,100.0%,98.4%,1.6%,100.0%,95.1%,4.9%,100.0%,98.4%,1.6%,100.0%,96.7%,3.3%,100.0%,50.8%,0.0%,1.6%
Agua Caliente Elementary School,Public,Y,RN,80,11420 E LIMBERLOST RD,TUCSON,AZ,85749,PIMA COUNTY,GREATER THAN,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,1.3%,0.0%,0.0%
Aguila Elementary School,Public,N,,< 20,50023 N. 51ST AVE,AGUILA,AZ,85320,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aire Libre Elementary School,Public,Y,RN,61,16428 N 21ST ST,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,93.4%,4.9%,98.4%,96.7%,0.0%,96.7%,95.1%,4.9%,100.0%,98.4%,1.6%,100.0%,96.7%,3.3%,100.0%,98.4%,1.6%,100.0%,98.4%,0.0%,98.4%,4.9%,0.0%,1.6%
Alfred F Garcia School,Public,Y,LPN,55,1441 S 27TH AVE,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,92.7%,0.0%,92.7%,92.7%,0.0%,92.7%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Alhambra Traditional School,Public,Y,LPN,76,3736 W OSBORN RD,PHOENIX,AZ,85019,MARICOPA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,96.1%,2.6%,98.7%,96.1%,2.6%,98.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.6%,0.0%,0.0%
Alice Vail Middle School,Public,Y,RN,267,5350 E 16TH ST,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,99.6%,0.4%,100.0%,97.0%,1.5%,98.9%,97.0%,1.1%,98.5%,99.3%,0.4%,99.6%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,1.5%,0.0%,0.0%
All Saints Catholic School,Private,N,,< 20,1425 E YAQUI ST,SIERRA VISTA,AZ,85650,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
All Saints Episcopal Day School,Private,Y,RN,58,6300 N CENTRAL AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,96.6%,0.0%,98.3%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Alpine Elementary School,Public,N,,< 20,"COUNTY RD 2311, #101",ALPINE,AZ,85920,APACHE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alta Loma School,Public,Y,RN,89,9750 N 87TH AVE,PEORIA,AZ,85345,MARICOPA COUNTY,GREATER THAN,97.8%,1.1%,98.9%,89.9%,1.1%,91.0%,89.9%,1.1%,91.0%,95.5%,1.1%,96.6%,98.9%,1.1%,100.0%,97.8%,1.1%,98.9%,98.9%,1.1%,100.0%,1.1%,0.0%,1.1%
Alta Vista Elementary,Public,Y,RN,75,8710 N 31ST AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,GREATER THAN,84.0%,0.0%,84.0%,98.7%,0.0%,100.0%,97.3%,1.3%,100.0%,92.0%,0.0%,92.0%,100.0%,0.0%,100.0%,93.3%,0.0%,93.3%,100.0%,0.0%,100.0%,1.3%,0.0%,0.0%
Altadena Middle School,Public,N,,343,14620 S DESERT FOOTHILLS PKWY,PHOENIX,AZ,85048,MARICOPA COUNTY,GREATER THAN,95.9%,4.1%,100.0%,89.5%,6.1%,96.8%,89.8%,6.4%,97.4%,95.6%,4.4%,100.0%,95.0%,5.0%,100.0%,95.3%,4.7%,100.0%,97.1%,2.9%,100.0%,7.6%,0.0%,1.5%
Altar Valley Middle School,Public,Y,RN,80,16350 W AJO HWY,TUCSON,AZ,85735,PIMA COUNTY,GREATER THAN,98.8%,1.3%,100.0%,96.3%,1.3%,100.0%,96.3%,1.3%,100.0%,98.8%,1.3%,100.0%,98.8%,1.3%,100.0%,97.5%,2.5%,100.0%,98.8%,1.3%,100.0%,2.5%,0.0%,1.3%
Ambassador Academy,Charter,N,,< 20,3820 E RAY RD,PHOENIX,AZ,85044,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amberlea Elementary,Public,N,,85,8455 W VIRGINIA AVE,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,97.6%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,100.0%,0.0%,100.0%,98.8%,0.0%,98.8%,1.2%,0.0%,0.0%
American Heritage Academy - Camp Verde,Charter,N,,< 20,132 W GENERAL CROOK TRL,CAMP VERDE,AZ,86322,YAVAPAI COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Heritage Academy - Cottonwood,Charter,N,,22,2030 E CHERRY ST,COTTONWOOD,AZ,86326,YAVAPAI COUNTY,GREATER THAN,81.8%,9.1%,90.9%,40.9%,9.1%,50.0%,40.9%,9.1%,50.0%,81.8%,9.1%,90.9%,86.4%,9.1%,95.5%,81.8%,9.1%,90.9%,86.4%,9.1%,95.5%,9.1%,0.0%,9.1%
American Leadership Academy - Gilbert,Charter,N,,57,3155 S SAN TAN VILLAGE PKWY,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,86.0%,14.0%,100.0%,70.2%,26.3%,100.0%,66.7%,29.8%,100.0%,86.0%,14.0%,100.0%,82.5%,17.5%,100.0%,84.2%,15.8%,100.0%,86.0%,14.0%,100.0%,36.8%,0.0%,12.3%
American Leadership Academy - Mesa,Charter,N,,47,4507 S MOUNTAIN RD,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,91.5%,8.5%,100.0%,83.0%,17.0%,100.0%,85.1%,14.9%,100.0%,91.5%,8.5%,100.0%,91.5%,8.5%,100.0%,91.5%,8.5%,100.0%,93.6%,6.4%,100.0%,19.1%,0.0%,6.4%
American Leadership Academy - San Tan,Charter,N,,59,34969 N VILLAGE LN,SAN TAN VALLEY,AZ,85142,MARICOPA COUNTY,GREATER THAN,91.5%,6.8%,98.3%,81.4%,16.9%,100.0%,78.0%,20.3%,100.0%,93.2%,5.1%,98.3%,94.9%,5.1%,100.0%,91.5%,6.8%,98.3%,98.3%,1.7%,100.0%,23.7%,0.0%,1.7%
American Leadership Academy Anthem South Campus,Charter,N,,48,4380 N HUNT HWY,FLORENCE,AZ,85132,PINAL COUNTY,GREATER THAN,93.8%,6.3%,100.0%,91.7%,6.3%,100.0%,91.7%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,6.3%,0.0%,6.3%
American Leadership Academy Ironwood Elementary Campus,Charter,N,,113,650 W COMBS RD,QUEEN CREEK,AZ,85140,PINAL COUNTY,GREATER THAN,91.2%,8.0%,99.1%,83.2%,8.8%,100.0%,81.4%,10.6%,100.0%,92.0%,8.0%,100.0%,92.9%,7.1%,100.0%,90.3%,9.7%,100.0%,94.7%,5.3%,100.0%,14.2%,0.0%,0.9%
American Leadership Acadmey - Queen Creek Elementary,Charter,N,,121,19843 E CHANDLER HEIGHTS RD,CHANDLER HTS,AZ,85142,MARICOPA COUNTY,GREATER THAN,95.9%,4.1%,100.0%,75.2%,21.5%,100.0%,72.7%,24.0%,100.0%,90.9%,9.1%,100.0%,90.9%,9.1%,100.0%,95.0%,4.1%,99.2%,95.0%,5.0%,100.0%,24.8%,3.3%,4.1%
Amerischools Academy - Camelback,Charter,N,,23,1333 W CAMELBACK RD,PHOENIX,AZ,85013,MARICOPA COUNTY,GREATER THAN,95.7%,4.3%,100.0%,82.6%,4.3%,91.3%,82.6%,4.3%,91.3%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,4.3%,0.0%,4.3%
Amerischools Academy - Country Club,Charter,N,,25,1150 N COUNTRY CLUB RD,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Amerischools Academy - Yuma South Campus,Charter,N,,< 20,2098 S 3RD AVE,YUMA,AZ,85364,YUMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amerischools Academy North,Charter,N,,22,1220 S 4TH AVE,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,90.9%,0.0%,95.5%,90.9%,0.0%,95.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Amphitheater Middle School,Public,Y,,241,315 E PRINCE RD,TUCSON,AZ,85705,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.3%,0.0%,100.0%,98.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Amy L. Houston Academy,Public,Y,LPN,< 20,7139 S 10TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andalucia Middle School,Public,N,,222,4730 W CAMPBELL AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.6%,0.0%,100.0%,98.2%,0.0%,100.0%,99.5%,0.0%,99.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Anna Lawrence Intermediate School,Public,Y,RN,58,4850 W JEFFREY RD,TUCSON,AZ,85757,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.6%,1.7%,100.0%,96.6%,1.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,8.6%,0.0%,3.4%
Anna Marie Jacobson  Elementary School,Public,N,,164,1515 NW JACARANDA PKWY,CHANDLER,AZ,85248,MARICOPA COUNTY,GREATER THAN,96.3%,3.7%,100.0%,92.1%,5.5%,100.0%,92.1%,5.5%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,96.3%,3.7%,100.0%,97.0%,3.0%,100.0%,6.1%,0.6%,3.0%
Annunciation Catholic School,Private,Y,RN,22,32648 N CAVE CREEK RD,CAVE CREEK,AZ,85331,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,95.5%,4.5%,100.0%,86.4%,13.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,13.6%,0.0%,0.0%
Anthem K-8 School,Public,N,,105,2700 N ANTHEM WAY,FLORENCE,,85232,PINAL COUNTY,GREATER THAN,96.2%,3.8%,100.0%,88.6%,7.6%,98.1%,83.8%,7.6%,93.3%,94.3%,4.8%,99.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,100.0%,0.0%,100.0%,3.8%,2.9%,0.0%
Anthem Preparatory Academy,Charter,N,,77,39808 N GAVILAN PEAK PKWY,ANTHEM,AZ,85086,MARICOPA COUNTY,GREATER THAN,94.8%,5.2%,100.0%,80.5%,10.4%,94.8%,77.9%,13.0%,94.8%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,5.2%,98.7%,93.5%,6.5%,100.0%,14.3%,0.0%,5.2%
Anza Trail School,Public,N,,215,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,AZ,85629,PIMA COUNTY,GREATER THAN,83.3%,0.9%,84.2%,83.3%,0.9%,85.6%,85.6%,0.9%,87.9%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,99.1%,0.9%,100.0%,0.9%,0.0%,0.0%
Apache School,Public,Y,RN,82,8633 W JOHN CABOT RD,PEORIA,AZ,85382,MARICOPA COUNTY,GREATER THAN,96.3%,3.7%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,100.0%,0.0%,100.0%,2.4%,2.4%,0.0%
Apollo Middle School,Public,Y,RN,< 20,265 W NEBRASKA ST,TUCSON,AZ,85706,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arcadia Neighborhood Learning Center,Public,Y,RN,66,4330 N 62ND ST,SCOTTSDALE,AZ,85251,MARICOPA COUNTY,GREATER THAN,92.4%,7.6%,100.0%,87.9%,7.6%,97.0%,83.3%,13.6%,98.5%,92.4%,7.6%,100.0%,92.4%,7.6%,100.0%,92.4%,7.6%,100.0%,92.4%,7.6%,100.0%,13.6%,0.0%,7.6%
Arete Preparatory Academy,Charter,Y,RN,99,4525 E BASELINE RD,GILBERT,AZ,85234,MARICOPA COUNTY,GREATER THAN,96.0%,4.0%,100.0%,85.9%,13.1%,100.0%,85.9%,13.1%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,94.9%,5.1%,100.0%,97.0%,3.0%,100.0%,16.2%,0.0%,2.0%
Arizona Academy Of Science And Technology,Charter,N,,< 20,1875 N CENTRAL AVE,PHOENIX,AZ,85004,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Autism Charter School,Charter,N,,24,4433 N 7TH ST,PHOENIX,AZ,85014,MARICOPA COUNTY,GREATER THAN,70.8%,8.3%,79.2%,100.0%,0.0%,100.0%,41.7%,8.3%,50.0%,75.0%,8.3%,83.3%,70.8%,8.3%,79.2%,79.2%,8.3%,87.5%,91.7%,0.0%,91.7%,8.3%,0.0%,0.0%
Arizona Charter Academy,Charter,N,,76,16011 N DYSART RD,SURPRISE,AZ,85374,MARICOPA COUNTY,GREATER THAN,90.8%,3.9%,94.7%,92.1%,3.9%,96.1%,92.1%,3.9%,96.1%,94.7%,3.9%,98.7%,94.7%,3.9%,98.7%,96.1%,3.9%,100.0%,93.4%,3.9%,97.4%,3.9%,0.0%,3.9%
Arizona Connections Academy,Charter,N,,182,335 E GERMANN RD STE 140,GILBERT,AZ,85297,MARICOPA COUNTY,GREATER THAN,85.2%,14.8%,100.0%,62.6%,15.9%,80.2%,62.6%,22.5%,86.8%,83.5%,16.5%,100.0%,83.5%,16.5%,100.0%,84.6%,15.4%,100.0%,86.3%,13.7%,100.0%,20.9%,1.6%,15.4%
Arizona Conservatory For Arts And Academi,Charter,N,,63,2820 W KELTON LN,PHOENIX,AZ,85053,MARICOPA COUNTY,GREATER THAN,95.2%,4.8%,100.0%,93.7%,6.3%,100.0%,87.3%,12.7%,100.0%,90.5%,9.5%,100.0%,92.1%,7.9%,100.0%,92.1%,7.9%,100.0%,92.1%,7.9%,100.0%,14.3%,0.0%,0.0%
Arizona Cultural Academy,Private,Y,RN,< 20,7810 S 42ND PL,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona Desert Elementary School,Public,N,,131,1245 N MAIN ST,SAN LUIS,AZ,85349,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,95.4%,0.0%,100.0%,95.4%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arizona Desert Elementary School,Public,Y,,65,8803 W VAN BUREN ST,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,78.5%,0.0%,78.5%,78.5%,0.0%,78.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arizona School For The Arts,Charter,N,,112,1410 N 3RD ST,PHOENIX,AZ,85004,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,91.1%,0.0%,92.9%,91.1%,0.0%,100.0%,89.3%,0.0%,89.3%,93.8%,0.0%,93.8%,93.8%,0.0%,93.8%,99.1%,0.0%,99.1%,7.1%,0.0%,0.0%
Arizona School For The Deaf And Blind,Public,Y,RN,< 20,1200 W SPEEDWAY BLVD,TUCSON,AZ,85745,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arlington Elementary School,Public,N,,32,9410 S 355TH AVE,ARLINGTON,AZ,85322,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arrowhead Christian Academy,Private,N,,< 20,4030 W YORKSHIRE DR,GLENDALE,AZ,85308,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrowhead Elementary School,Public,Y,LPN,75,7490 W UNION HILLS DR,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,96.0%,4.0%,100.0%,96.0%,2.7%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,4.0%,0.0%,1.3%
Arrowhead Elementary School,Public,Y,RN,57,3820 E NISBET RD,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.5%,1.8%,98.2%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.8%,0.0%,0.0%
Arroyo School,Public,N,,75,4535 W CHOLLA ST,GLENDALE,AZ,85304,MARICOPA COUNTY,GREATER THAN,98.7%,0.0%,98.7%,97.3%,1.3%,98.7%,97.3%,1.3%,98.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,1.3%,0.0%,0.0%
Arthur M. Hamilton School,Public,N,,28,2020 W DURANGO ST,PHOENIX,AZ,85009,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arts Academy At Estrella Mountain,Charter,N,,121,2504 S 91ST AVE,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,64.5%,0.0%,100.0%,63.6%,0.0%,100.0%,98.3%,0.0%,98.3%,98.3%,0.0%,98.3%,99.2%,0.0%,99.2%,99.2%,0.0%,99.2%,0.0%,0.0%,0.0%
Ash Creek Elementary,Public,N,,< 20,6460 E HIGHWAY 181,PEARCE,AZ,85625,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ash Fork Joint Unified,Public,Y,RN,21,4699 N. 5TH STREET,ASH FORK,AZ,86320,YAVAPAI COUNTY,GREATER THAN,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,100.0%,0.0%,100.0%,4.8%,0.0%,4.8%
Ashland Elementary,Public,Y,RN,114,1945 S ASHLAND RANCH RD,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,94.7%,5.3%,100.0%,89.5%,4.4%,100.0%,93.9%,6.1%,100.0%,96.5%,3.5%,100.0%,96.5%,3.5%,100.0%,95.6%,4.4%,100.0%,100.0%,0.0%,100.0%,7.9%,0.9%,0.0%
