SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Dennehotso Boarding School,Private,N,,21,EAST HIGHWAY 160,DENNEHOTSO,AZ,86535,APACHE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
Desert Canyon Middle School,Public,Y,RN,166,10203 E MCDOWELL MOUNTAIN RANCH RD,SCOTTSDALE,AZ,85255,MARICOPA COUNTY,GREATER THAN,97.6%,1.8%,99.4%,84.9%,5.4%,90.4%,84.3%,6.0%,90.4%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.0%,3.0%,100.0%,10.8%,0.0%,2.4%
Desert Christian Schools K-8,Private,N,,30,9415 E WRIGHTSTOWN RD,TUCSON,AZ,85715,PIMA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,93.3%,6.7%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,6.7%,0.0%,3.3%
Desert Cove Elementary School,Public,N,,75,11020 N 28TH ST,PHOENIX,AZ,85028,MARICOPA COUNTY,GREATER THAN,96.0%,4.0%,100.0%,92.0%,5.3%,98.7%,90.7%,5.3%,98.7%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,5.3%,0.0%,5.3%
Desert Garden Montessori,Private,N,,< 20,5130 E WARNER RD,PHOENIX,AZ,85044,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desert Heights Preparatory Academy,Charter,N,,71,3540 W UNION HILLS DR,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,95.8%,4.2%,100.0%,94.4%,4.2%,100.0%,94.4%,4.2%,100.0%,97.2%,2.8%,100.0%,95.8%,4.2%,100.0%,97.2%,2.8%,100.0%,95.8%,4.2%,100.0%,4.2%,0.0%,4.2%
Desert Horizon Elementary School,Public,Y,LPN,110,8525 W OSBORN RD,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,95.5%,0.0%,95.5%,100.0%,0.0%,100.0%,99.1%,0.0%,100.0%,95.5%,0.0%,95.5%,95.5%,0.0%,95.5%,94.5%,0.0%,94.5%,95.5%,0.0%,95.5%,0.0%,0.0%,0.0%
Desert Jewish Academy,Private,N,,< 20,3400 N DOBSON RD,CHANDLER,AZ,85224,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desert Meadows Elementary School,Public,Y,RN,99,6855 W MEADOWS LOOP E,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,94.9%,5.1%,100.0%,88.9%,4.0%,98.0%,84.8%,9.1%,99.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,99.0%,0.0%,99.0%,5.1%,7.1%,0.0%
Desert Mirage Elementary School,Public,N,,77,8605 W MARYLAND AVE,GLENDALE,AZ,85305,MARICOPA COUNTY,GREATER THAN,98.7%,0.0%,98.7%,92.2%,3.9%,100.0%,90.9%,3.9%,100.0%,98.7%,0.0%,98.7%,97.4%,2.6%,100.0%,98.7%,0.0%,98.7%,100.0%,0.0%,100.0%,3.9%,0.0%,0.0%
