SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,64,98.4%,1.6%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,96.9%,3.1%,100.0%,100.0%,0.0%,100.0%,96.9%,3.1%,100.0%,6.3%,0.0%,1.6%
ACACIA ELEMENTARY SCHOOL,3021 W EVANS DR,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,151,97.4%,2.6%,100.0%,98.0%,1.3%,99.3%,98.0%,1.3%,99.3%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,99.3%,0.7%,100.0%,4.0%,0.0%,0.0%
ACADEMY DEL SOL,732 W ROGER RD,TUCSON,PIMA,85705,NO,,CHARTER,23,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,LPN,CHARTER,71,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.2%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,53,100.0%,0.0%,100.0%,98.1%,0.0%,98.1%,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,1.9%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,NO,,CHARTER,189,98.9%,0.0%,100.0%,94.7%,1.6%,100.0%,95.2%,0.5%,98.9%,98.9%,0.5%,100.0%,100.0%,0.0%,100.0%,99.5%,0.0%,100.0%,100.0%,0.0%,100.0%,1.1%,0.0%,0.5%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,124,98.4%,1.6%,100.0%,94.4%,3.2%,98.4%,94.4%,3.2%,98.4%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,4.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,GLENDALE,MARICOPA,85301,NO,,CHARTER,100,99.0%,0.0%,99.0%,94.0%,5.0%,100.0%,88.0%,1.0%,90.0%,95.0%,1.0%,96.0%,92.0%,1.0%,93.0%,98.0%,0.0%,98.0%,99.0%,0.0%,99.0%,1.0%,2.0%,1.0%
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,PEORIA,MARICOPA,85345,NO,,CHARTER,67,89.6%,4.5%,94.0%,82.1%,7.5%,94.0%,68.7%,11.9%,85.1%,82.1%,4.5%,86.6%,86.6%,6.0%,92.5%,86.6%,4.5%,91.0%,91.0%,4.5%,95.5%,13.4%,0.0%,0.0%
