SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
AMERICAN LEADERSHIP ACADEMY - QUEEN CREEK,23908 S HAWES RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,175,57.7%,4.6%,100.0%,54.9%,5.7%,100.0%,88.6%,11.4%,100.0%,87.4%,12.6%,100.0%,90.9%,9.1%,100.0%,90.3%,9.7%,100.0%,36.6%,1.1%,8.0%
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,97,72.2%,2.1%,100.0%,70.1%,2.1%,100.0%,87.6%,12.4%,100.0%,83.5%,16.5%,100.0%,84.5%,15.5%,100.0%,90.7%,9.3%,100.0%,25.8%,1.0%,8.2%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,YES,RN,CHARTER,92,60.9%,7.6%,100.0%,59.8%,7.6%,100.0%,87.0%,13.0%,100.0%,85.9%,14.1%,100.0%,89.1%,10.9%,100.0%,91.3%,8.7%,100.0%,26.1%,2.2%,9.8%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,153,59.5%,2.0%,100.0%,56.9%,2.0%,100.0%,85.0%,15.0%,100.0%,85.0%,15.0%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,28.8%,2.6%,8.5%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,39,28.2%,7.7%,100.0%,28.2%,7.7%,100.0%,82.1%,17.9%,100.0%,84.6%,15.4%,100.0%,82.1%,17.9%,100.0%,87.2%,12.8%,100.0%,30.8%,0.0%,12.8%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,53,69.8%,3.8%,100.0%,71.7%,3.8%,100.0%,96.2%,3.8%,100.0%,96.2%,3.8%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,32.1%,0.0%,1.9%
AMERICAN LEADERSHIP ACADEMY WEST FOOTHILLS EL,17760 WEST OLIVE AVENUE,WADDELL,MARICOPA,85355,NO,,CHARTER,160,55.0%,2.5%,100.0%,52.5%,2.5%,100.0%,86.3%,13.8%,100.0%,87.5%,12.5%,100.0%,88.8%,11.3%,100.0%,88.8%,11.3%,100.0%,36.3%,0.0%,8.1%
AMERICAN LEADERSHIP ACADEMY-VIRTUAL,6913 EAST REMBRANDT AVENUE,MESA,MARICOPA,85212,NO,,CHARTER,50,56.0%,12.0%,100.0%,56.0%,12.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,16.0%,0.0%,4.0%
AMERISCHOOLS ACADEMY - COUNTRY CLUB,1150 N COUNTRY CLUB RD,TUCSON,PIMA,85716,NO,,CHARTER,20,85.0%,0.0%,95.0%,90.0%,0.0%,95.0%,95.0%,0.0%,95.0%,95.0%,0.0%,95.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - YUMA NORTH CAMPUS,1220 S 4TH AVE,YUMA,YUMA,85364,NO,,CHARTER,<20,83.3%,0.0%,100.0%,83.3%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMERISCHOOLS ACADEMY - YUMA SOUTH CAMPUS,2098 S 3RD AVE,YUMA,YUMA,85364,NO,,CHARTER,<20,100.0%,0.0%,100.0%,94.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMPHITHEATER MIDDLE SCHOOL,315 E PRINCE RD,TUCSON,PIMA,85705,YES,RN,PUBLIC,175,82.9%,1.1%,99.4%,80.0%,1.1%,98.9%,96.0%,1.1%,100.0%,97.1%,2.3%,100.0%,96.6%,1.1%,100.0%,97.1%,2.3%,99.4%,2.3%,0.0%,1.1%
ANNA LAWRENCE INTERMEDIATE SCHOOL,4850 W JEFFERY RD,TUCSON,PIMA,85757,YES,RN,PUBLIC,53,92.5%,0.0%,98.1%,92.5%,0.0%,98.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ANNA MARIE JACOBSON  ELEMENTARY SCHOOL,1515 NW JACARANDA PKWY,CHANDLER,MARICOPA,85248,NO,,PUBLIC,101,82.2%,5.0%,100.0%,84.2%,4.0%,100.0%,96.0%,4.0%,100.0%,97.0%,3.0%,100.0%,94.1%,5.9%,100.0%,96.0%,4.0%,100.0%,5.9%,0.0%,3.0%
ANTHEM K-8 SCHOOL,2700 N ANTHEM WAY,FLORENCE,PINAL,85132,NO,,PUBLIC,88,81.8%,13.6%,100.0%,81.8%,13.6%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,95.5%,4.5%,100.0%,13.6%,0.0%,4.5%
ANTHEM SCHOOL,41020 N FREEDOM WAY,ANTHEM,MARICOPA,85086,YES,RN,PUBLIC,52,75.0%,15.4%,100.0%,75.0%,15.4%,100.0%,84.6%,15.4%,100.0%,86.5%,13.5%,100.0%,84.6%,15.4%,100.0%,88.5%,11.5%,100.0%,23.1%,0.0%,11.5%
ANZA TRAIL ELEMENTARY,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,PIMA,85629,NO,,PUBLIC,209,96.2%,3.8%,100.0%,95.2%,4.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,99.5%,0.5%,100.0%,100.0%,0.0%,100.0%,8.1%,0.0%,2.9%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,83,1.2%,1.2%,100.0%,0.0%,1.2%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,94.0%,6.0%,100.0%,95.2%,4.8%,100.0%,4.8%,0.0%,4.8%
ARCHWAY CLASSICAL ACADEMY GLENDALE,23276 N 83RD AVE,PEORIA,MARICOPA,85383,YES,Both,CHARTER,113,51.3%,32.7%,85.0%,51.3%,32.7%,85.0%,85.8%,14.2%,100.0%,86.7%,13.3%,100.0%,91.2%,8.8%,100.0%,89.4%,10.6%,100.0%,35.4%,0.0%,8.8%
ARIZONA AUTISM CHARTER SCHOOL,4433 N 7TH ST,PHOENIX,MARICOPA,85014,YES,RN,CHARTER,61,59.0%,4.9%,100.0%,60.7%,9.8%,98.4%,88.5%,9.8%,100.0%,88.5%,9.8%,100.0%,90.2%,9.8%,100.0%,90.2%,9.8%,100.0%,9.8%,0.0%,9.8%
ARIZONA CHARTER ACADEMY,16011 N DYSART RD,SURPRISE,MARICOPA,85374,NO,,CHARTER,103,82.5%,13.6%,99.0%,82.5%,13.6%,99.0%,97.1%,1.9%,99.0%,96.1%,2.9%,99.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,14.6%,1.0%,1.0%
ARIZONA CITY ELEMENTARY SCHOOL,12115 W BENITO DR,ARIZONA CITY,PINAL,85231,NO,,PUBLIC,83,81.9%,1.2%,83.1%,80.7%,1.2%,81.9%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,1.2%,0.0%,1.2%
ARIZONA COLLEGE PREP MIDDLE SCHOOL,1150 WEST ERIE STREET,CHANDLER,MARICOPA,85224,NO,,PUBLIC,142,64.8%,0.7%,100.0%,66.9%,0.7%,100.0%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,99.3%,0.7%,100.0%,100.0%,0.0%,100.0%,0.7%,0.0%,0.0%
ARIZONA CONNECTIONS ACADEMY,335 E GERMANN RD,GILBERT,MARICOPA,85297,NO,,CHARTER,168,50.0%,19.6%,98.2%,47.6%,19.6%,97.6%,85.7%,13.1%,99.4%,85.7%,13.7%,99.4%,86.3%,13.1%,99.4%,88.1%,11.9%,100.0%,21.4%,0.0%,11.3%
ARIZONA CONSERVATORY FOR ARTS AND ACADEMICS,2820 W KELTON LN,PHOENIX,MARICOPA,85204,NO,,CHARTER,40,90.0%,0.0%,100.0%,87.5%,2.5%,100.0%,92.5%,7.5%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,97.5%,2.5%,100.0%,12.5%,2.5%,2.5%
ARIZONA CULTURAL ACADEMY,7810 S 42ND PL,PHOENIX,MARICOPA,85042,NO,,PRIVATE,42,95.2%,4.8%,100.0%,83.3%,4.8%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,4.8%,0.0%,2.4%
ARIZONA DESERT ELEMENTARY SCHOOL - SAN LUIS,1245 N MAIN ST,SAN LUIS,YUMA,85349,NO,,PUBLIC,89,97.8%,0.0%,100.0%,97.8%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARIZONA DESERT ELEMENTARY SCHOOL - TOLLESON,8803 W VAN BUREN ST,TOLLESON,MARICOPA,85353,YES,RN,PUBLIC,68,72.1%,2.9%,94.1%,73.5%,2.9%,95.6%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,1.5%,2.9%
ARIZONA SCHOOL FOR THE ARTS,1410 N 3RD ST,PHOENIX,MARICOPA,85004,NO,,CHARTER,113,90.3%,4.4%,100.0%,38.9%,6.2%,100.0%,92.9%,7.1%,100.0%,94.7%,5.3%,100.0%,92.9%,7.1%,100.0%,93.8%,6.2%,100.0%,13.3%,1.8%,5.3%
ARLINGTON ELEMENTARY SCHOOL,9410 S 355TH AVE,ARLINGTON,MARICOPA,85322,NO,,PUBLIC,36,50.0%,11.1%,94.4%,50.0%,11.1%,94.4%,94.4%,2.8%,97.2%,94.4%,2.8%,97.2%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,11.1%,0.0%,2.8%
ARROWHEAD CHRISTIAN ACADEMY,4030 W YORKSHIRE DR,GLENDALE,MARICOPA,85308,NO,,PRIVATE,22,63.6%,18.2%,100.0%,54.5%,27.3%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,86.4%,13.6%,100.0%,45.5%,0.0%,13.6%
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,75,92.0%,4.0%,100.0%,92.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,8.0%,0.0%,1.3%
ARROYO SCHOOL,4535 W CHOLLA ST,GLENDALE,MARICOPA,85304,NO,,PUBLIC,67,95.5%,4.5%,100.0%,80.6%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,98.5%,1.5%,100.0%,9.0%,0.0%,4.5%
ARTHUR M HAMILTON SCHOOL,2020 W DURANGO,PHOENIX,MARICOPA,85009,NO,,PUBLIC,<20,94.7%,0.0%,100.0%,94.7%,0.0%,100.0%,94.7%,0.0%,100.0%,94.7%,0.0%,100.0%,94.7%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ARTS ACADEMY AT ESTRELLA MOUNTAIN,2504 S 91ST AVE,PHOENIX,MARICOPA,85353,NO,,CHARTER,122,96.7%,1.6%,98.4%,84.4%,1.6%,98.4%,95.9%,1.6%,98.4%,96.7%,3.3%,100.0%,95.1%,3.3%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,3.3%
ASANTE PREPARATORY ACADEMY ,23251 N 166TH DR,SURPRISE,MARICOPA,85387,NO,,PUBLIC,111,85.6%,6.3%,100.0%,83.8%,7.2%,100.0%,93.7%,6.3%,100.0%,93.7%,6.3%,100.0%,93.7%,6.3%,100.0%,97.3%,2.7%,100.0%,8.1%,0.0%,3.6%
ASH FORK ELEMENTARY SCHOOL,46999 N 5TH ST,ASH FORK,YAVAPAI,86320,YES,RN,PUBLIC,23,73.9%,8.7%,100.0%,65.2%,8.7%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,95.7%,4.3%,100.0%,8.7%,0.0%,0.0%
ASHLAND ELEMENTARY,1945 S ASHLAND RANCH,GILBERT,MARICOPA,85295,YES,RN,PUBLIC,117,64.1%,2.6%,99.1%,64.1%,2.6%,99.1%,96.6%,3.4%,100.0%,94.9%,5.1%,100.0%,95.7%,4.3%,100.0%,94.9%,5.1%,100.0%,13.7%,0.0%,3.4%
ASHTON RANCH MIDDLE SCHOOL,14898 W ACOMA DR,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,113,85.0%,4.4%,100.0%,85.0%,4.4%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,96.5%,3.5%,100.0%,98.2%,1.8%,100.0%,5.3%,0.0%,2.7%
"ASPIRE, DEER VALLEY'S ONLINE ACADEMY",4701 WEST GROVERS AVENUE,GLENDALE,MARICOPA,85308,NO,,PUBLIC,<20,63.2%,10.5%,94.7%,68.4%,10.5%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,89.5%,10.5%,100.0%,100.0%,0.0%,100.0%,10.5%,0.0%,0.0%
ASU PREP DIGITAL,1130 EAST UNIVERSITY DRIVE,TEMPE,MARICOPA,85281,NO,,CHARTER,399,43.9%,6.3%,90.0%,27.3%,7.8%,87.2%,65.2%,7.8%,72.9%,76.7%,7.5%,84.2%,70.9%,6.0%,76.9%,92.7%,7.3%,100.0%,5.8%,0.8%,1.8%
ASU PREP PILGRIM'S REST,1401 EAST JEFFERSON STREET,PHOENIX,MARICOPA,85034,NO,,CHARTER,<20,45.5%,0.0%,90.9%,45.5%,0.0%,90.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ASU PREPARATORY ACADEMY - PHOENIX ELEMENTARY,735 E FILLMORE ST,PHOENIX,MARICOPA,85006,YES,RN,PUBLIC,108,71.3%,4.6%,94.4%,63.9%,4.6%,92.6%,92.6%,4.6%,97.2%,91.7%,4.6%,96.3%,92.6%,3.7%,96.3%,94.4%,3.7%,98.1%,4.6%,0.0%,3.7%
ASU PREPARATORY ACADEMY - POLYTECHNIC ELEMENTARY SCHOOL,6950 E WILLIAMS FIELDS ROAD,MESA,MARICOPA,85212,YES,RN,PUBLIC,111,82.9%,13.5%,100.0%,82.9%,13.5%,100.0%,91.0%,9.0%,100.0%,91.0%,9.0%,100.0%,91.9%,8.1%,100.0%,93.7%,6.3%,100.0%,14.4%,0.0%,4.5%
