SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
91ST PSALM CHRISTIAN SCHOOL,2020 E BASELINE RD,PHOENIX,MARICOPA,85042,NO,,PRIVATE,<20,80.0%,20.0%,100.0%,73.3%,20.0%,100.0%,80.0%,20.0%,100.0%,80.0%,20.0%,100.0%,80.0%,20.0%,100.0%,80.0%,20.0%,100.0%,20.0%,0.0%,20.0%
ABRAHAM LINCOLN TRADITIONAL SCHOOL,10444 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,60,85.0%,8.3%,100.0%,85.0%,6.7%,100.0%,93.3%,6.7%,100.0%,95.0%,5.0%,100.0%,93.3%,6.7%,100.0%,95.0%,5.0%,100.0%,10.0%,0.0%,5.0%
ACACIA ELEMENTARY SCHOOL - PHOENIX,3021 W EVANS DR,PHOENIX,MARICOPA,85053,NO,,PUBLIC,120,90.0%,4.2%,100.0%,90.0%,4.2%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,96.7%,3.3%,100.0%,4.2%,0.0%,2.5%
ACADEMY DEL SOL - HOPE,7102 W VALLEY CREST PL,TUCSON,PIMA,85757,YES,Both,CHARTER,59,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACADEMY DEL SOL - ROGER RD,732 W ROGER RD,TUCSON,PIMA,85705,YES,Both,CHARTER,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - DESERT SKY,5701 W MCDOWELL RD,PHOENIX,MARICOPA,85035,YES,LPN,CHARTER,133,91.7%,0.0%,98.5%,91.7%,0.0%,98.5%,90.2%,0.0%,90.2%,95.5%,0.0%,95.5%,97.7%,0.0%,97.7%,97.0%,0.0%,97.0%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE - PRINCE RD,1557 W PRINCE RD,TUCSON,PIMA,85705,NO,,CHARTER,78,66.7%,0.0%,98.7%,64.1%,0.0%,97.4%,91.0%,0.0%,91.0%,93.6%,0.0%,93.6%,94.9%,0.0%,94.9%,97.4%,0.0%,97.4%,0.0%,0.0%,0.0%
ACADEMY OF MATH AND SCIENCE AVONDALE,10649  W BUCKEYE ROAD,PHOENIX,MARICOPA,85353,NO,,CHARTER,103,89.3%,1.9%,91.3%,87.4%,9.7%,100.0%,95.1%,2.9%,98.1%,97.1%,1.9%,99.0%,98.1%,1.0%,99.0%,97.1%,1.9%,99.0%,10.7%,0.0%,1.0%
ACADEMY OF MATH AND SCIENCE CAMELBACK,6633 W CAMELBACK RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,105,59.0%,5.7%,94.3%,95.2%,1.9%,97.1%,89.5%,1.9%,91.4%,95.2%,1.9%,97.1%,94.3%,1.9%,96.2%,94.3%,1.9%,96.2%,3.8%,3.8%,1.0%
ACADEMY OF MATH AND SCIENCE GLENDALE,4520 W GLENDALE AVE,GLENDALE,MARICOPA,85301,NO,,CHARTER,116,89.7%,0.0%,97.4%,89.7%,0.0%,97.4%,95.7%,2.6%,98.3%,95.7%,1.7%,97.4%,97.4%,0.9%,98.3%,97.4%,0.9%,98.3%,3.4%,0.9%,0.9%
ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,7758 W PEORIA AVE,PEORIA,MARICOPA,85345,NO,,CHARTER,69,81.2%,0.0%,84.1%,81.2%,5.8%,87.0%,95.7%,1.4%,97.1%,97.1%,0.0%,97.1%,95.7%,1.4%,97.1%,97.1%,0.0%,97.1%,2.9%,4.3%,0.0%
ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,1445  W BASELINE ROAD,PHOENIX,MARICOPA,85041,NO,,CHARTER,103,89.3%,9.7%,99.0%,89.3%,9.7%,99.0%,93.2%,0.0%,100.0%,92.2%,6.8%,99.0%,94.2%,5.8%,100.0%,95.1%,4.9%,100.0%,9.7%,1.0%,5.8%
ACADEMY OF TUCSON MIDDLE SCHOOL,7310 E 22ND STREET,TUCSON,PIMA,85710,NO,,CHARTER,48,85.4%,4.2%,89.6%,85.4%,4.2%,89.6%,77.1%,2.1%,79.2%,85.4%,2.1%,87.5%,100.0%,0.0%,100.0%,87.5%,2.1%,89.6%,4.2%,4.2%,0.0%
ACCLAIM ACADEMY,7624 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,32,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ACORN MONTESSORI MIDDLE SCHOOL,8456 E LOOS DR,PRESCOTT VALLEY,YAVAPAI,86314,NO,,CHARTER,60,60.0%,40.0%,100.0%,58.3%,41.7%,100.0%,95.0%,5.0%,100.0%,88.3%,6.7%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,41.7%,0.0%,5.0%
ADAMS ELEMENTARY SCHOOL,738 S LONGMORE,MESA,MARICOPA,85202,YES,RN,PUBLIC,90,90.0%,2.2%,98.9%,86.7%,4.4%,98.9%,95.6%,4.4%,100.0%,95.6%,4.4%,100.0%,95.6%,0.0%,100.0%,96.7%,0.0%,100.0%,5.6%,0.0%,2.2%
ADAMS TRADITIONAL ACADEMY,2323 W PARKSIDE LN,PHOENIX,MARICOPA,85027,YES,RN,CHARTER,52,75.0%,7.7%,100.0%,75.0%,7.7%,100.0%,90.4%,5.8%,100.0%,90.4%,7.7%,100.0%,94.2%,3.8%,100.0%,96.2%,3.8%,100.0%,5.8%,0.0%,3.8%
ADVENTURE SCHOOL - E PLACITA SIN NOMBRE,5757 E PIMA ST,TUCSON,PIMA,85712,NO,,CHARTER,<20,68.8%,25.0%,100.0%,68.8%,25.0%,100.0%,75.0%,25.0%,100.0%,75.0%,25.0%,100.0%,81.3%,18.8%,100.0%,81.3%,18.8%,100.0%,31.3%,0.0%,18.8%
AGUA CALIENTE SCHOOL,11420 E LIMBERLOST RD,TUCSON,PIMA,85749,YES,RN,PUBLIC,76,82.9%,3.9%,100.0%,82.9%,3.9%,100.0%,96.1%,3.9%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,96.1%,3.9%,100.0%,3.9%,0.0%,3.9%
AGUILA ELEMENTARY SCHOOL,50023 N 51ST AVE,AGUILA,MARICOPA,85320,NO,,PUBLIC,<20,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AJO ELEMENTARY SCHOOL,111 NORTH WELL RD,AJO,PIMA,85321,YES,RN,PUBLIC,33,63.6%,3.0%,90.9%,60.6%,3.0%,87.9%,93.9%,3.0%,97.0%,93.9%,3.0%,97.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,3.0%
ALHAMBRA TRADITIONAL SCHOOL,5725 N 27TH AVE,PHOENIX,MARICOPA,85017,NO,,PUBLIC,86,88.4%,0.0%,100.0%,87.2%,0.0%,100.0%,97.7%,0.0%,97.7%,98.8%,0.0%,98.8%,96.5%,0.0%,96.5%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ALICE VAIL MIDDLE SCHOOL,5350 E 16TH ST,TUCSON,PIMA,85711,YES,RN,PUBLIC,214,89.7%,1.9%,100.0%,88.3%,1.9%,100.0%,97.7%,2.3%,100.0%,98.1%,1.4%,100.0%,98.1%,1.9%,100.0%,98.6%,1.4%,100.0%,4.7%,4.2%,0.9%
ALL SAINTS EPISCOPAL DAY SCHOOL,6300 N CENTRAL AVE,PHOENIX,MARICOPA,85012,YES,RN,PRIVATE,71,88.7%,2.8%,100.0%,88.7%,0.0%,100.0%,95.8%,4.2%,100.0%,100.0%,0.0%,100.0%,94.4%,5.6%,100.0%,97.2%,2.8%,100.0%,8.5%,0.0%,2.8%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,71,31.0%,1.4%,100.0%,32.4%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,97.2%,2.8%,100.0%,2.8%,0.0%,1.4%
ALTA VISTA ELEMENTARY SCHOOL,8710 N 31ST AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,79,97.5%,1.3%,100.0%,97.5%,1.3%,100.0%,98.7%,0.0%,100.0%,97.5%,1.3%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,1.3%,1.3%,0.0%
ALTAR VALLEY MIDDLE SCHOOL,16350 W AJO RD,TUCSON,PIMA,85735,NO,,PUBLIC,54,88.9%,0.0%,100.0%,88.9%,0.0%,100.0%,98.1%,0.0%,100.0%,100.0%,0.0%,100.0%,98.1%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
AMBERLEA ELEMENTARY SCHOOL,8455 W VIRGINIA AVE,PHOENIX,MARICOPA,85037,NO,,PUBLIC,61,91.8%,3.3%,95.1%,90.2%,3.3%,93.4%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,3.3%,0.0%,1.6%
AMERICAN HERITAGE ACADEMY - CAMP VERDE,132 GENERAL CROOK TRAIL,CAMP VERDE,YAVAPAI,86322,NO,,CHARTER,<20,50.0%,16.7%,66.7%,50.0%,16.7%,66.7%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,16.7%,0.0%,16.7%
AMERICAN HERITAGE ACADEMY - COTTONWOOD,2030 E CHERRY ST,COTTONWOOD,YAVAPAI,86326,NO,,CHARTER,24,45.8%,54.2%,100.0%,45.8%,54.2%,100.0%,75.0%,25.0%,100.0%,79.2%,20.8%,100.0%,75.0%,25.0%,100.0%,79.2%,20.8%,100.0%,45.8%,0.0%,25.0%
AMERICAN LEADERSHIP ACADEMY - GILBERT,3155 S SAN TAN VILLAGE PKWY,GILBERT,MARICOPA,85295,NO,,CHARTER,78,59.0%,1.3%,100.0%,52.6%,1.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,91.0%,9.0%,100.0%,92.3%,7.7%,100.0%,30.8%,5.1%,7.7%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,136,69.9%,1.5%,100.0%,66.9%,2.2%,100.0%,87.5%,12.5%,100.0%,85.3%,14.7%,100.0%,89.0%,11.0%,100.0%,90.4%,9.6%,100.0%,27.9%,0.0%,9.6%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,57,47.4%,5.3%,100.0%,47.4%,5.3%,100.0%,89.5%,10.5%,100.0%,86.0%,14.0%,100.0%,87.7%,12.3%,100.0%,87.7%,12.3%,100.0%,38.6%,1.8%,12.3%
