SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
SUNRISE ELEMENTARY SCHOOL,17624 N 31ST AVE,PHOENIX,MARICOPA,85053,YES,RN,PUBLIC,42,88.1%,7.1%,100.0%,88.1%,7.1%,100.0%,90.5%,7.1%,100.0%,90.5%,7.1%,100.0%,92.9%,7.1%,100.0%,11.9%,0.0%,7.1%
MIRAGE ELEMENTARY SCHOOL,3910 W GROVERS AVE,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,67,97.0%,3.0%,100.0%,100.0%,0.0%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,3.0%,0.0%,0.0%
BELLAIR ELEMENTARY SCHOOL,4701 W GROVERS AVE,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,24,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,95.8%,4.2%,100.0%,91.7%,8.3%,100.0%,8.3%,0.0%,8.3%
GREENBRIER ELEMENTARY SCHOOL,6150 W GREENBRIER DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,66,89.4%,7.6%,97.0%,90.9%,6.1%,97.0%,89.4%,4.5%,93.9%,92.4%,6.1%,98.5%,93.9%,6.1%,100.0%,7.6%,0.0%,4.5%
MOUNTAIN SHADOWS ELEMENTARY SCHOOL,19602 N 45TH AVE,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,44,97.7%,0.0%,100.0%,97.7%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
CORONADO K-8 SCHOOL,3401 E WILDS RD,TUCSON,PIMA,85739,YES,RN,PUBLIC,54,96.3%,1.9%,98.1%,96.3%,1.9%,98.1%,94.4%,3.7%,98.1%,98.1%,1.9%,100.0%,96.3%,3.7%,100.0%,3.7%,0.0%,1.9%
ARROWHEAD ELEMENTARY SCHOOL-85308,7490 W UNION HILLS DR,GLENDALE,MARICOPA,85308,YES,LPN,PUBLIC,96,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,0.0%,4.2%
DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,RN,PUBLIC,79,94.9%,3.8%,100.0%,96.2%,3.8%,100.0%,94.9%,5.1%,100.0%,93.7%,6.3%,100.0%,96.2%,3.8%,100.0%,7.6%,0.0%,3.8%
ESPERANZA ELEMENTARY SCHOOL-85027,251 W MOHAWK LN,PHOENIX,MARICOPA,85027,YES,LPN,PUBLIC,77,96.1%,2.6%,98.7%,94.8%,3.9%,98.7%,96.1%,2.6%,98.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.9%,0.0%,0.0%
LAS BRISAS ELEMENTARY SCHOOL,5805 W ALAMEDA,GLENDALE,MARICOPA,85310,YES,RN,PUBLIC,87,89.7%,8.0%,97.7%,88.5%,9.2%,97.7%,89.7%,8.0%,97.7%,89.7%,9.2%,98.9%,95.4%,4.6%,100.0%,10.3%,0.0%,5.7%
DESERT MOUNTAIN SCHOOL - 85086,35959 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85086,YES,RN,PUBLIC,42,97.6%,2.4%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,11.9%,0.0%,2.4%
