SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Demiguel Elementary,Public,Y,RN,134,3500 S GILLENWATER DR,FLAGSTAFF,AZ,86005,COCONINO COUNTY,GREATER THAN,88.8%,10.4%,99.3%,91.0%,9.0%,100.0%,90.3%,9.7%,100.0%,92.5%,7.5%,100.0%,88.8%,11.2%,100.0%,11.2%,0.0%,7.5%
Dennehotso Boarding School,Private,N,,≤ 20,EAST HIGHWAY 160,DENNEHOTSO,,86353,APACHE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Canyon Middle School,Public,Y,RN,80,10203 E MCDOWELL MOUNTAIN RANCH RD,SCOTTSDALE,AZ,85255,MARICOPA COUNTY,GREATER THAN,87.5%,6.3%,93.8%,86.3%,5.0%,91.3%,88.8%,6.3%,95.0%,90.0%,7.5%,97.5%,92.5%,6.3%,98.8%,11.3%,0.0%,5.0%
Desert Christian Schools K-8,Private,N,,≤ 20,9415 E WRIGHTSTOWN RD,TUCSON,AZ,85715,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Cove Elementary School,Public,N,,72,11020 N 28TH ST,PHOENIX,AZ,85028,MARICOPA COUNTY,GREATER THAN,93.1%,5.6%,98.6%,93.1%,5.6%,98.6%,93.1%,5.6%,98.6%,94.4%,4.2%,98.6%,95.8%,4.2%,100.0%,5.6%,0.0%,5.6%
Desert Garden Elementary School,Public,Y,LPN,172,7020 W OCOTILLO RD,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,79.1%,0.6%,79.7%,86.0%,0.6%,86.6%,83.7%,0.6%,84.3%,92.4%,0.6%,93.0%,98.3%,0.0%,98.3%,0.0%,0.6%,0.0%
Desert Garden Montessori,Private,N,,23,5130 E WARNER RD,PHOENIX,AZ,85044,MARICOPA COUNTY,GREATER THAN,39.1%,13.0%,52.2%,47.8%,17.4%,65.2%,43.5%,17.4%,60.9%,78.3%,21.7%,100.0%,73.9%,21.7%,95.7%,21.7%,0.0%,13.0%
Desert Heights Charter School,Charter,N,,92,5821 W BEVERLY LN,GLENDALE,AZ,85306,MARICOPA COUNTY,GREATER THAN,93.5%,6.5%,100.0%,90.2%,9.8%,100.0%,91.3%,8.7%,100.0%,94.6%,5.4%,100.0%,96.7%,3.3%,100.0%,4.3%,7.6%,3.3%
Desert Horizon Elementary School,Public,Y,LPN,106,8525 W OSBORN RD,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,89.6%,0.0%,89.6%,94.3%,0.0%,94.3%,99.1%,0.0%,99.1%,100.0%,0.0%,100.0%,84.0%,0.0%,84.0%,0.0%,0.0%,0.0%
Desert Jewish Academy,Private,N,,≤ 20,3400 N DOBSON RD,CHANDLER,AZ,85224,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Meadows Elementary School,Public,Y,RN,66,6855 W MEADOWS LOOP E,LAVEEN,AZ,85339,MARICOPA COUNTY,GREATER THAN,93.9%,3.0%,97.0%,97.0%,3.0%,100.0%,95.5%,3.0%,98.5%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,3.0%,0.0%,3.0%
Desert Mirage,Public,N,,71,8605 W MARYLAND AVE,GLENDALE,AZ,85305,MARICOPA COUNTY,GREATER THAN,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,4.2%,0.0%,0.0%
Desert Mountain Elementary,Public,Y,RN,111,22301 S HAWES RD,QUEEN CREEK,,85242,MARICOPA COUNTY,GREATER THAN,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,95.5%,4.5%,100.0%,93.7%,6.3%,100.0%,97.3%,2.7%,100.0%,8.1%,0.0%,1.8%
Desert Mountain Middle School,Public,Y,RN,48,35959 N 7TH AVE,DESERT HILLS,AZ,85086,MARICOPA COUNTY,GREATER THAN,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,83.3%,16.7%,100.0%,95.8%,4.2%,100.0%,85.4%,14.6%,100.0%,16.7%,0.0%,0.0%
Desert Oasis Elementary School,Public,Y,RN,50,17161 W BAJADA RD,SURPRISE,AZ,85387,MARICOPA COUNTY,GREATER THAN,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,94.0%,4.0%,98.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,4.0%,0.0%,2.0%
Desert Oasis Elementary School,Public,Y,LPN,76,8802 W MCDOWELL RD,PHOENIX,AZ,85037,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Desert Palms,Public,Y,LPN,56,11441 N 55TH AVE,GLENDALE,AZ,85304,MARICOPA COUNTY,GREATER THAN,96.4%,1.8%,98.2%,96.4%,1.8%,98.2%,94.6%,1.8%,96.4%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,1.8%,0.0%,1.8%
Desert Sage Elementary School,Public,Y,RN,100,4035 W ALAMEDA RD,GLENDALE,AZ,85310,MARICOPA COUNTY,GREATER THAN,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,95.0%,5.0%,100.0%,100.0%,0.0%,100.0%,7.0%,1.0%,5.0%
Desert Shadows Elementary School,Public,Y,RN,52,5902 E SWEETWATER AVE,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,84.6%,9.6%,94.2%,84.6%,9.6%,94.2%,86.5%,9.6%,96.2%,90.4%,9.6%,100.0%,90.4%,9.6%,100.0%,9.6%,0.0%,9.6%
Desert Sky Community School,Charter,N,,≤ 20,1350 N ARCADIA AVE,TUCSON,AZ,85712,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Sonora Elementary School,Public,Y,RN,64,301 N CARLISLE AVE,SOMERTON,AZ,85350,YUMA COUNTY,GREATER THAN,95.3%,1.6%,96.9%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.1%,0.0%,0.0%
Desert Spirit,Public,Y,RN,78,7355 W ORANGEWOOD AVE,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,96.2%,1.3%,97.4%,97.4%,1.3%,98.7%,100.0%,0.0%,100.0%,94.9%,1.3%,96.2%,100.0%,0.0%,100.0%,1.3%,0.0%,1.3%
Desert Springs Academy,Charter,N,,≤ 20,10129 E SPEEDWAY BLVD,TUCSON,AZ,85748,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Desert Springs Preparatory Elementary School,Public,Y,RN,65,6010 E ACOMA DR,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,GREATER THAN,93.8%,4.6%,98.5%,90.8%,9.2%,100.0%,90.8%,9.2%,100.0%,89.2%,10.8%,100.0%,96.9%,3.1%,100.0%,12.3%,1.5%,6.2%
Desert Star Elementary School,Public,Y,RN,69,2131 S 157TH AVE,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,94.2%,1.4%,95.7%,94.2%,1.4%,95.7%,94.2%,1.4%,95.7%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
Desert Sun Academy,Charter,N,,55,27880 N 64TH ST,SCOTTSDALE,AZ,85266,MARICOPA COUNTY,GREATER THAN,92.7%,7.3%,100.0%,89.1%,7.3%,96.4%,90.9%,9.1%,100.0%,92.7%,5.5%,98.2%,94.5%,5.5%,100.0%,9.1%,0.0%,5.5%
Desert Sun Child Development Center,Private,N,,21,1512 W ELLIOT RD,CHANDLER,AZ,85224,MARICOPA COUNTY,GREATER THAN,71.4%,19.0%,90.5%,71.4%,19.0%,90.5%,71.4%,19.0%,90.5%,71.4%,19.0%,90.5%,71.4%,19.0%,90.5%,19.0%,0.0%,19.0%
Desert Thunder School,Public,Y,LPN,84,16750 W GARFIELD ST,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,1.2%,0.0%,1.2%
Desert Trails Elementary School,Public,Y,RN,85,4315 E CASHMAN DR,PHOENIX,AZ,85050,MARICOPA COUNTY,GREATER THAN,96.5%,3.5%,100.0%,96.5%,3.5%,100.0%,96.5%,3.5%,100.0%,96.5%,3.5%,100.0%,96.5%,3.5%,100.0%,3.5%,0.0%,3.5%
Desert Valley Elementary,Public,Y,RN,52,12901 N 63RD AVE,GLENDALE,AZ,85304,MARICOPA COUNTY,GREATER THAN,98.1%,0.0%,98.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Desert Valley Elementary-2,Public,N,,63,1066 MARINA BLVD,BULLHEAD CITY,AZ,86442,MOHAVE COUNTY,GREATER THAN,96.8%,1.6%,98.4%,96.8%,1.6%,98.4%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,98.4%,1.6%,100.0%,1.6%,0.0%,0.0%
Desert View Academy,Charter,N,,152,3777 W 16TH ST,YUMA,AZ,85364,YUMA COUNTY,GREATER THAN,95.4%,4.6%,100.0%,98.0%,2.0%,100.0%,96.7%,3.3%,100.0%,98.7%,1.3%,100.0%,99.3%,0.7%,100.0%,3.3%,0.7%,0.0%
Desert View Elementary,Public,N,,97,1508 N 10TH AVE,SAN LUIS,AZ,85349,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Desert View Elementary School,Public,Y,RN,47,8621 N 3RD ST,PHOENIX,AZ,85020,MARICOPA COUNTY,GREATER THAN,87.2%,10.6%,97.9%,87.2%,10.6%,97.9%,91.5%,8.5%,100.0%,87.2%,10.6%,97.9%,100.0%,0.0%,100.0%,10.6%,0.0%,8.5%
Desert Vista Elementary School,Public,Y,LPN,85,3701 E BROADWAY AVE,APACHE JUNCTION,AZ,85119,PINAL COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.8%,0.0%,98.8%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Desert Willow Elementary,Public,N,,73,4322 E DESERT WILLOW PKWY,CAVE CREEK,AZ,85331,MARICOPA COUNTY,GREATER THAN,95.9%,4.1%,100.0%,94.5%,4.1%,98.6%,91.8%,8.2%,100.0%,94.5%,5.5%,100.0%,95.9%,4.1%,100.0%,8.2%,0.0%,5.5%
Desert Willow Elementary,Public,N,,127,9400 E ESMOND LOOP,TUCSON,AZ,85747,PIMA COUNTY,GREATER THAN,96.1%,3.9%,100.0%,96.9%,3.1%,100.0%,96.1%,3.9%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,3.1%,0.8%,3.1%
Desert Willow Elementary School,Public,Y,RN,62,2172 N ARIZOLA RD,CASA GRANDE,AZ,85122,PINAL COUNTY,GREATER THAN,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,1.6%,0.0%,0.0%
Desert Willow Elementary School,Public,N,,67,3700 PROSPECTOR ST,KINGMAN,AZ,86401,MOHAVE COUNTY,GREATER THAN,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,97.0%,3.0%,100.0%,7.5%,0.0%,7.5%
Deserty Shadows Montessori,Private,N,,≤ 20,6709 E UNIVERSITY DR,MESA,AZ,85205,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Destiny School,Public,N,,43,22 E PRICKLY PEAR DR,GLOBE,AZ,85501,GILA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,2.3%,0.0%,2.3%
Diamond Canyon Elementary,Public,Y,RN,96,40004 N LIBERTY BELL WAY,ANTHEM,AZ,85086,MARICOPA COUNTY,GREATER THAN,94.8%,5.2%,100.0%,96.9%,3.1%,100.0%,95.8%,4.2%,100.0%,94.8%,5.2%,100.0%,96.9%,3.1%,100.0%,5.2%,0.0%,0.0%
Diamondback Elementary School,Public,Y,RN,103,2550 TESOTA WAY,BULLHEAD CITY,AZ,86442,MOHAVE COUNTY,GREATER THAN,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,99.0%,1.0%,100.0%,1.0%,0.0%,0.0%
Dietz Elementary School,Public,Y,RN,57,7575 E PALMA ST,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,80.7%,3.5%,84.2%,86.0%,3.5%,89.5%,94.7%,3.5%,98.2%,82.5%,5.3%,87.7%,94.7%,3.5%,98.2%,5.3%,0.0%,3.5%
Dilworth Brinton Elementary,Public,N,RN,75,11455 E SUNLAND AVE,MESA,AZ,85208,MARICOPA COUNTY,GREATER THAN,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,100.0%,0.0%,100.0%,8.0%,0.0%,0.0%
Discover U,Charter,N,,32,13226 N 113TH AVE,YOUNGTOWN,AZ,85363,MARICOPA COUNTY,GREATER THAN,75.0%,25.0%,100.0%,75.0%,25.0%,100.0%,75.0%,25.0%,100.0%,78.1%,21.9%,100.0%,78.1%,21.9%,100.0%,25.0%,0.0%,21.9%
Discovery Elementary,Public,Y,RN,63,7910 W MARYLAND AVE,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Discovery Plus Academy,Charter,N,,≤ 20,852 W 250 N,PIMA,AZ,85543,GRAHAM COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dishcii""bikosh Community School",Private,Y,RN,58,211 S. ELM ST.,CIBECUE,AZ,85911,NAVAJO COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Dobson Academy A-ball Charter School,Charter,N,,60,2207 N DOBSON RD,CHANDLER,AZ,85224,MARICOPA COUNTY,GREATER THAN,88.3%,3.3%,91.7%,88.3%,3.3%,91.7%,86.7%,3.3%,90.0%,93.3%,3.3%,96.7%,95.0%,1.7%,96.7%,3.3%,0.0%,0.0%
Dobson Montessori K-12,Private,N,,≤ 20,745 S EXTENSION RD,MESA,AZ,85210,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donaldson Elementary,Public,N,,45,2040 W OMAR DR,TUCSON,AZ,85704,PIMA COUNTY,GREATER THAN,97.8%,0.0%,97.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Dorothy Stinson School,Public,Y,RN,88,2013 S 8TH AVE,SAFFORD,AZ,85546,GRAHAM COUNTY,GREATER THAN,97.7%,0.0%,97.7%,98.9%,0.0%,98.9%,98.9%,0.0%,98.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Dos Rios,Public,N,,73,2150 S 87TH AVE,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,87.7%,12.3%,100.0%,91.8%,8.2%,100.0%,98.6%,1.4%,100.0%,97.3%,1.4%,98.6%,100.0%,0.0%,100.0%,1.4%,0.0%,0.0%
Double Adobe Elementary School,Public,N,,≤ 20,7081 N CENTRAL HWY,MC NEAL,AZ,85617,COCHISE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dr Daniel Bright Elementary School,Public,N,,120,1500 S MONTE TESORO DR,COTTONWOOD,AZ,86326,YAVAPAI COUNTY,GREATER THAN,88.3%,7.5%,95.8%,90.8%,5.0%,95.8%,93.3%,5.0%,98.3%,94.2%,3.3%,97.5%,90.0%,10.0%,100.0%,10.0%,0.8%,2.5%
Dr Howard K Conley Elementary School,Public,N,,95,500 S ARROWHEAD DR,CHANDLER,AZ,85224,MARICOPA COUNTY,GREATER THAN,90.5%,9.5%,100.0%,92.6%,7.4%,100.0%,92.6%,7.4%,100.0%,95.8%,4.2%,100.0%,96.8%,3.2%,100.0%,7.4%,0.0%,3.2%
Dr. Charles A. Bejarano Elementary School,Public,N,,98,4635 E RAGUS RD B,MIAMI,AZ,85539,GILA COUNTY,GREATER THAN,89.8%,3.1%,92.9%,70.4%,3.1%,73.5%,70.4%,3.1%,73.5%,88.8%,3.1%,91.8%,94.9%,3.1%,98.0%,2.0%,1.0%,0.0%
Dr. Gary And Annette Auxier Elementary School,Public,N,,133,22700 S POWER RD,QUEEN CREEK,AZ,85142,MARICOPA COUNTY,GREATER THAN,86.5%,13.5%,100.0%,85.7%,14.3%,100.0%,88.7%,11.3%,100.0%,89.5%,10.5%,100.0%,92.5%,7.5%,100.0%,17.3%,0.0%,6.0%
Drachman Primary Magnet School,Public,Y,RN,56,1085 S 10TH AVE,TUCSON,AZ,85701,PIMA COUNTY,GREATER THAN,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,3.6%,0.0%,0.0%
Dreaming Summit Elementary,Public,Y,LPN,105,13335 W MISSOURI AVE,LITCHFIELD PARK,AZ,85340,MARICOPA COUNTY,GREATER THAN,95.2%,1.9%,97.1%,96.2%,1.9%,98.1%,95.2%,1.9%,97.1%,97.1%,1.9%,99.0%,99.0%,1.0%,100.0%,1.0%,1.0%,1.0%
Drexel Elementary School,Public,Y,RN,66,801 E DREXEL RD,TUCSON,AZ,85706,PIMA COUNTY,GREATER THAN,98.5%,0.0%,98.5%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Duncan Elementary School,Public,N,,29,1 MCGRATH AVE,DUNCAN,AZ,85534,GREENLEE COUNTY,GREATER THAN,96.6%,0.0%,96.6%,93.1%,0.0%,93.1%,93.1%,0.0%,93.1%,96.6%,0.0%,96.6%,96.6%,0.0%,96.6%,0.0%,0.0%,0.0%
Dunham Elementary School,Public,Y,RN,47,9850 E 29TH ST,TUCSON,AZ,85748,PIMA COUNTY,GREATER THAN,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,95.7%,4.3%,100.0%,100.0%,0.0%,100.0%,4.3%,0.0%,0.0%
Dwight Patterson Elementary,Public,Y,RN,80,615 S CHESHIRE,MESA,AZ,85208,MARICOPA COUNTY,GREATER THAN,90.0%,10.0%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,92.5%,7.5%,100.0%,98.8%,1.3%,100.0%,7.5%,3.8%,0.0%
Dysart Elementary School,Public,Y,LPN,89,12950 W VARNEY RD,EL MIRAGE,AZ,85335,MARICOPA COUNTY,GREATER THAN,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,4.5%,1.1%,2.2%
Dzil Libei Elementary School/ Tuba City Unified School District #15,Public,N,LPN,≤ 20,"50 MILES NORTH OF FLAGSTAFF HWY 89, MILE POST 463",CAMERON,AZ,86020,COCONINO COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eagle College Prep,Charter,N,,73,2450 W SOUTH MOUNTAIN AVE,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,94.5%,0.0%,94.5%,95.9%,0.0%,95.9%,94.5%,0.0%,94.5%,94.5%,0.0%,94.5%,98.6%,0.0%,98.6%,0.0%,0.0%,0.0%
Eagle College Prep Harmony,Charter,N,,45,2435 E PECAN RD,PHOENIX,AZ,85040,MARICOPA COUNTY,GREATER THAN,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,97.8%,2.2%,100.0%,2.2%,0.0%,2.2%
Eagle College Prep Maryvale,Charter,N,,53,3950 N 53RD AVE,PHOENIX,AZ,85031,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,1.9%,0.0%
Eagle College Prep:mesa,Charter,N,,36,1619 E MAIN ST,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,91.7%,8.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,8.3%,0.0%,0.0%
Eagle Ridge Elementary School,Public,Y,RN,49,19801 N 13TH ST,PHOENIX,AZ,85024,MARICOPA COUNTY,GREATER THAN,95.9%,0.0%,95.9%,98.0%,0.0%,98.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Eagleridge Enrichment Program,Public,Y,RN,80,1313 W MEDINA AVE,MESA,AZ,85202,MARICOPA COUNTY,GREATER THAN,62.5%,37.5%,100.0%,65.0%,35.0%,100.0%,65.0%,35.0%,100.0%,67.5%,32.5%,100.0%,62.5%,37.5%,100.0%,36.3%,1.3%,0.0%
East Fork Lutheran School,Private,N,,≤ 20,4325 FORT APACHE RD,WHITERIVER,AZ,85941,NAVAJO COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
East Valley Academy,Charter,N,,≤ 20,1858 E BROWN RD,MESA,AZ,85203,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Echo Mountain Primary School,Public,Y,RN,132,1750 E GROVERS AVE,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,94.7%,5.3%,100.0%,93.9%,5.3%,99.2%,93.9%,5.3%,99.2%,94.7%,5.3%,100.0%,97.7%,2.3%,100.0%,5.3%,0.0%,5.3%
Ed & Verma Pastor Elementary School,Public,Y,LPN,54,2101 W ALTA VISTA RD,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,98.1%,0.0%,98.1%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
Edison Elementary School,Charter,Y,RN,88,545 N HORNE,MESA,AZ,85203,MARICOPA COUNTY,GREATER THAN,90.9%,9.1%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,94.3%,5.7%,100.0%,100.0%,0.0%,100.0%,6.8%,2.3%,0.0%
Edupreneurship Student Center (esc) Phoen,Charter,N,,≤ 20,7310 N 27TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eduprize School,Charter,Y,RN,190,4567 W ROBERTS RD,QUEEN CREEK,AZ,85142,PINAL COUNTY,GREATER THAN,90.5%,8.9%,99.5%,90.5%,9.5%,100.0%,90.5%,8.9%,99.5%,90.0%,10.0%,100.0%,91.6%,7.9%,99.5%,7.9%,0.5%,7.9%
Eduprize School Gilbert,Charter,Y,RN,180,580 W MELODY AVE,GILBERT,AZ,85233,MARICOPA COUNTY,GREATER THAN,87.2%,12.8%,100.0%,87.2%,12.8%,100.0%,87.8%,12.2%,100.0%,86.1%,13.9%,100.0%,88.9%,11.1%,100.0%,14.4%,0.0%,6.1%
Eisenhower Elementary School,Public,Y,RN,60,848 N MESA DR,MESA,AZ,85201,MARICOPA COUNTY,GREATER THAN,96.7%,0.0%,96.7%,98.3%,0.0%,98.3%,96.7%,1.7%,98.3%,98.3%,0.0%,98.3%,100.0%,0.0%,100.0%,1.7%,0.0%,0.0%
El Dorado Private School K-8,Private,N,,22,20624 N 76TH ST,SCOTTSDALE,AZ,85255,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
El Mirage Elementary,Public,Y,LPN,56,13500 N EL MIRAGE RD,EL MIRAGE,AZ,85335,MARICOPA COUNTY,GREATER THAN,98.2%,0.0%,98.2%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Elfrida Elementary School,Public,N,,≤ 20,4070 W JEFFERSON RD,ELFRIDA,AZ,85610,COCHISE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elgin Elementary School,Public,Y,RN,≤ 20,293 UPPER ELGIN RD,ELGIN,AZ,85611,SANTA CRUZ COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
