SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
BORMAN ELEMENTARY SCHOOL,6630 LIGHTNING DR (DMAFB),TUCSON,PIMA,85708,YES,RN,PUBLIC,42,85.7%,0.0%,85.7%,85.7%,0.0%,85.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,YES,RN,PUBLIC,68,92.6%,0.0%,97.1%,92.6%,0.0%,95.6%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MESA,MARICOPA,85204,YES,RN,PUBLIC,79,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,98.7%,0.0%,100.0%,100.0%,0.0%,100.0%,98.7%,0.0%,100.0%,98.7%,1.3%,100.0%,3.8%,0.0%,0.0%
SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,CHANDLER,MARICOPA,85225,YES,RN,PUBLIC,52,96.2%,1.9%,100.0%,96.2%,1.9%,100.0%,98.1%,1.9%,100.0%,96.2%,3.8%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,3.8%,0.0%,1.9%
JOHNSON ELEMENTARY SCHOOL,3807 E PUEBLO,MESA,MARICOPA,85206,YES,RN,PUBLIC,57,87.7%,10.5%,100.0%,86.0%,12.3%,100.0%,93.0%,7.0%,100.0%,93.0%,7.0%,100.0%,91.2%,8.8%,100.0%,94.7%,5.3%,100.0%,12.3%,0.0%,5.3%
SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,44,93.2%,0.0%,100.0%,93.2%,6.8%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,100.0%,0.0%,100.0%,9.1%,0.0%,0.0%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,62,83.9%,11.3%,95.2%,82.3%,11.3%,93.5%,96.8%,3.2%,100.0%,98.4%,1.6%,100.0%,96.8%,3.2%,100.0%,100.0%,0.0%,100.0%,11.3%,0.0%,0.0%
ISHIKAWA ELEMENTARY SCHOOL,2635 N 32ND ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,108,88.9%,9.3%,100.0%,88.9%,9.3%,100.0%,95.4%,4.6%,100.0%,94.4%,5.6%,100.0%,95.4%,4.6%,100.0%,100.0%,0.0%,100.0%,11.1%,0.0%,0.0%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,59,91.5%,8.5%,100.0%,91.5%,8.5%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,8.5%,0.0%,3.4%
SOUSA ELEMENTARY SCHOOL,616 N MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,82,95.1%,3.7%,98.8%,95.1%,3.7%,98.8%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,100.0%,0.0%,100.0%,3.7%,0.0%,0.0%
HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MESA,MARICOPA,85213,YES,RN,PUBLIC,84,89.3%,6.0%,97.6%,86.9%,1.2%,97.6%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,97.6%,2.4%,100.0%,98.8%,1.2%,100.0%,8.3%,0.0%,1.2%
FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MESA,MARICOPA,85207,YES,RN,PUBLIC,77,93.5%,6.5%,100.0%,92.2%,7.8%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,100.0%,0.0%,100.0%,9.1%,0.0%,0.0%
PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MESA,MARICOPA,85204,YES,RN,PUBLIC,64,87.5%,6.3%,98.4%,87.5%,6.3%,93.8%,98.4%,1.6%,100.0%,96.9%,3.1%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,9.4%,1.6%,0.0%
ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,90,87.8%,10.0%,97.8%,87.8%,10.0%,97.8%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,100.0%,0.0%,100.0%,10.0%,0.0%,0.0%
RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MESA,MARICOPA,85215,YES,RN,PUBLIC,66,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,6.1%,0.0%,0.0%
BARBARA BUSH ELEMENTARY SCHOOL - 85205,4925 E INGRAM ST,MESA,MARICOPA,85205,YES,RN,PUBLIC,65,90.8%,9.2%,100.0%,86.2%,13.8%,100.0%,86.2%,12.3%,100.0%,90.8%,9.2%,100.0%,93.8%,6.2%,100.0%,90.8%,9.2%,100.0%,16.9%,1.5%,6.2%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,98,88.8%,6.1%,100.0%,88.8%,6.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,93.9%,6.1%,100.0%,7.1%,0.0%,5.1%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,83,91.6%,7.2%,100.0%,91.6%,7.2%,100.0%,94.0%,6.0%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,100.0%,0.0%,100.0%,7.2%,0.0%,0.0%
DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MESA,MARICOPA,85208,YES,RN,PUBLIC,89,94.4%,3.4%,100.0%,93.3%,4.5%,100.0%,95.5%,2.2%,97.8%,96.6%,1.1%,97.8%,95.5%,2.2%,97.8%,96.6%,2.2%,98.9%,4.5%,0.0%,1.1%
PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MESA,MARICOPA,85210,YES,RN,PUBLIC,66,97.0%,1.5%,98.5%,93.9%,1.5%,98.5%,98.5%,1.5%,100.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,98.5%,1.5%,100.0%,3.0%,0.0%,1.5%
BUTTERFIELD ELEMENTARY SCHOOL,3400 W MASSINGALE RD,TUCSON,PIMA,85741,NO,,PUBLIC,78,91.0%,1.3%,94.9%,91.0%,1.3%,92.3%,97.4%,1.3%,98.7%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.3%,0.0%,1.3%
DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MESA,MARICOPA,85208,YES,RN,PUBLIC,62,93.5%,3.2%,98.4%,95.2%,3.2%,98.4%,96.8%,1.6%,98.4%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,1.6%
JAMES KENDALL ZAHARIS ELEMENTARY,9410 E MCKELLIPS RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,107,87.9%,8.4%,100.0%,88.8%,8.4%,100.0%,95.3%,4.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,11.2%,0.0%,2.8%
FRANKLIN AT ALMA ELEMENTARY,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,35,91.4%,2.9%,100.0%,94.3%,2.9%,100.0%,94.3%,2.9%,97.1%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MESA,MARICOPA,,YES,RN,PUBLIC,91,87.9%,11.0%,98.9%,87.9%,11.0%,98.9%,95.6%,4.4%,100.0%,93.4%,6.6%,100.0%,94.5%,5.5%,100.0%,94.5%,5.5%,100.0%,11.0%,1.1%,5.5%
MESA ACADEMY FOR ADVANCED STUDIES,6919 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,77,92.2%,0.0%,94.8%,90.9%,5.2%,96.1%,94.8%,5.2%,100.0%,94.8%,5.2%,100.0%,96.1%,3.9%,100.0%,89.6%,0.0%,89.6%,5.2%,0.0%,0.0%
SUMMIT ACADEMY,1560 W SUMMIT PL,CHANDLER,MARICOPA,85224,YES,RN,PUBLIC,90,74.4%,1.1%,78.9%,74.4%,1.1%,75.6%,95.6%,1.1%,96.7%,94.4%,1.1%,95.6%,96.7%,1.1%,97.8%,97.8%,1.1%,98.9%,1.1%,0.0%,1.1%
ROADRUNNER ELEMENTARY SCHOOL-85653,16651 W CALLE CARMELA,MARANA,PIMA,85653,YES,RN,PUBLIC,62,82.3%,0.0%,87.1%,82.3%,0.0%,100.0%,95.2%,0.0%,95.2%,95.2%,0.0%,95.2%,96.8%,0.0%,96.8%,100.0%,0.0%,100.0%,6.5%,0.0%,0.0%
EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MESA,MARICOPA,85202,YES,RN,PUBLIC,69,52.2%,36.2%,88.4%,53.6%,34.8%,88.4%,69.6%,30.4%,100.0%,69.6%,30.4%,100.0%,72.5%,26.1%,100.0%,71.0%,29.0%,100.0%,37.7%,0.0%,26.1%
VULTURE PEAK MIDDLE SCHOOL,920 S VULTURE MINE RD,WICKENBURG,MARICOPA,85390,NO,,PUBLIC,46,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,6.5%,0.0%,6.5%
FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396,NO,,PUBLIC,34,0.0%,5.9%,100.0%,64.7%,5.9%,70.6%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,5.9%,0.0%,5.9%
PEORIA ELEMENTARY SCHOOL,11501 N 79TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,50,70.0%,2.0%,74.0%,70.0%,2.0%,72.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,92.0%,0.0%,94.0%,2.0%,0.0%,0.0%
IRA A MURPHY SCHOOL,7231 W NORTH LN,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,43,79.1%,0.0%,79.1%,76.7%,0.0%,76.7%,97.7%,0.0%,97.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
KACHINA ELEMENTARY SCHOOL,5304 W CROCUS DR,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,48,75.0%,10.4%,85.4%,75.0%,10.4%,85.4%,95.8%,4.2%,100.0%,97.9%,2.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,10.4%,0.0%,0.0%
HERITAGE SCHOOL,5312 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302,YES,LPN,PUBLIC,50,90.0%,0.0%,90.0%,90.0%,0.0%,90.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,88.0%,0.0%,100.0%,0.0%,0.0%,0.0%
PIONEER ELEMENTARY SCHOOL-85306,6315 W PORT AU PRINCE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,35,71.4%,2.9%,74.3%,74.3%,2.9%,77.1%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,0.0%,2.9%
ALTA LOMA SCHOOL,9750 N 87TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,60,71.7%,0.0%,100.0%,70.0%,0.0%,100.0%,93.3%,0.0%,93.3%,98.3%,0.0%,98.3%,100.0%,0.0%,100.0%,98.3%,0.0%,98.3%,0.0%,0.0%,0.0%
DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,46,78.3%,0.0%,100.0%,80.4%,0.0%,80.4%,95.7%,0.0%,95.7%,95.7%,0.0%,95.7%,95.7%,0.0%,95.7%,100.0%,0.0%,100.0%,6.5%,2.2%,0.0%
FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,61,78.7%,6.6%,85.2%,78.7%,6.6%,85.2%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,6.6%,0.0%,4.9%
COPPERWOOD SCHOOL,11232 N 65TH AVE,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,78,52.6%,5.1%,57.7%,51.3%,5.1%,56.4%,92.3%,3.8%,96.2%,96.2%,3.8%,100.0%,94.9%,5.1%,100.0%,96.2%,3.8%,100.0%,5.1%,0.0%,3.8%
SUNDANCE ELEMENTARY SCHOOL-85345,7051 W CHOLLA ST,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,83,60.2%,2.4%,62.7%,56.6%,2.4%,59.0%,96.4%,2.4%,98.8%,96.4%,2.4%,98.8%,97.6%,1.2%,98.8%,96.4%,2.4%,98.8%,3.6%,0.0%,1.2%
COTTON BOLL SCHOOL,8540 W BUTLER DR,PEORIA,MARICOPA,85345,YES,Both,PUBLIC,91,76.9%,2.2%,81.3%,75.8%,3.3%,79.1%,97.8%,2.2%,100.0%,97.8%,1.1%,98.9%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,3.3%,0.0%,1.1%
OAKWOOD ELEMENTARY SCHOOL,12900 N 71ST AVE,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,119,66.4%,5.0%,100.0%,65.5%,5.9%,100.0%,95.0%,5.0%,100.0%,94.1%,5.9%,100.0%,95.0%,5.0%,100.0%,99.2%,0.8%,100.0%,5.9%,0.0%,0.0%
DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,GLENDALE,MARICOPA,85304,YES,RN,PUBLIC,51,78.4%,3.9%,82.4%,74.5%,3.9%,78.4%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,5.9%,0.0%,3.9%
IRONWOOD ELEMENTARY SCHOOL,3300 W FREER DR,TUCSON,PIMA,85742,YES,RN,PUBLIC,61,88.5%,1.6%,90.2%,88.5%,0.0%,88.5%,98.4%,0.0%,98.4%,96.7%,1.6%,98.4%,96.7%,0.0%,96.7%,100.0%,0.0%,100.0%,3.3%,0.0%,0.0%
SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,GLENDALE,MARICOPA,85302,YES,RN,PUBLIC,61,34.4%,1.6%,41.0%,34.4%,1.6%,36.1%,93.4%,3.3%,96.7%,96.7%,3.3%,100.0%,95.1%,3.3%,98.4%,98.4%,1.6%,100.0%,3.3%,1.6%,1.6%
OASIS ELEMENTARY SCHOOL,7841 W SWEETWATER AVE,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,67,85.1%,6.0%,91.0%,83.6%,6.0%,89.6%,92.5%,7.5%,100.0%,95.5%,4.5%,100.0%,92.5%,6.0%,98.5%,94.0%,6.0%,100.0%,9.0%,0.0%,1.5%
SUN VALLEY ELEMENTARY SCHOOL,8361 N 95TH AVE,PEORIA,MARICOPA,85345,YES,LPN,PUBLIC,94,85.1%,2.1%,87.2%,85.1%,2.1%,87.2%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,1.1%
SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,PEORIA,MARICOPA,85381,YES,LPN,PUBLIC,57,61.4%,7.0%,68.4%,59.6%,7.0%,66.7%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,7.0%,0.0%,5.3%
APACHE ELEMENTARY SCHOOL,8633 W JOHN CABOT RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,77,93.5%,6.5%,100.0%,93.5%,6.5%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.5%,0.0%,0.0%
CANYON ELEMENTARY SCHOOL,5490 W PARADISE LN,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,39,71.8%,10.3%,82.1%,66.7%,12.8%,79.5%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,89.7%,10.3%,100.0%,12.8%,0.0%,10.3%
SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,85,95.3%,3.5%,100.0%,95.3%,3.5%,100.0%,97.6%,2.4%,100.0%,98.8%,1.2%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.7%,0.0%,0.0%
PASEO VERDE ELEMENTARY SCHOOL,7880 W GREENWAY RD,PEORIA,MARICOPA,85381,YES,RN,PUBLIC,91,74.7%,0.0%,100.0%,72.5%,4.4%,76.9%,95.6%,4.4%,100.0%,96.7%,3.3%,100.0%,95.6%,4.4%,100.0%,96.7%,3.3%,100.0%,7.7%,0.0%,0.0%
QUAIL RUN ELEMENTARY SCHOOL,4600 W CORTARO FARMS RD,TUCSON,PIMA,85742,YES,RN,PUBLIC,65,80.0%,1.5%,83.1%,78.5%,0.0%,78.5%,98.5%,0.0%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,1.5%,0.0%,0.0%
CHEYENNE ELEMENTARY SCHOOL - PEORIA,11806 N 87TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,73,68.5%,1.4%,75.3%,65.8%,1.4%,67.1%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,97.3%,2.7%,100.0%,100.0%,0.0%,100.0%,2.7%,0.0%,0.0%
FRONTIER ELEMENTARY SCHOOL,21258 N 81ST AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,100,96.0%,2.0%,100.0%,60.0%,3.0%,64.0%,95.0%,0.0%,95.0%,94.0%,3.0%,97.0%,96.0%,3.0%,99.0%,98.0%,0.0%,98.0%,16.0%,0.0%,0.0%
COUNTRY MEADOWS ELEMENTARY SCHOOL,8409 N 111 TH AVE,PEORIA,MARICOPA,85345,YES,RN,PUBLIC,99,76.8%,2.0%,78.8%,74.7%,2.0%,76.8%,98.0%,2.0%,100.0%,97.0%,2.0%,99.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,110,84.5%,11.8%,100.0%,85.5%,5.5%,100.0%,95.5%,4.5%,100.0%,98.2%,1.8%,100.0%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,11.8%,0.0%,0.0%
ZUNI HILLS ELEMENTARY SCHOOL,10851 W WILLIAMS RD,PEORIA,MARICOPA,85373,YES,RN,PUBLIC,126,84.1%,1.6%,85.7%,83.3%,0.8%,84.1%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,96.8%,3.2%,100.0%,97.6%,2.4%,100.0%,4.8%,0.0%,0.0%
PARKRIDGE ELEMENTARY,9970 W BEARDSLEY RD,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,98,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
VISTANCIA ELEMENTARY SCHOOL,30009 N SUNSET POINT,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,124,64.5%,5.6%,70.2%,60.5%,6.5%,67.7%,95.2%,4.8%,100.0%,93.5%,6.5%,100.0%,91.1%,6.5%,97.6%,93.5%,4.0%,97.6%,11.3%,0.0%,4.0%
LAKE PLEASANT ELEMENTARY,31501 N WESTLAND RD,PEORIA,MARICOPA,85383,YES,RN,PUBLIC,126,91.3%,3.2%,94.4%,91.3%,3.2%,94.4%,88.1%,8.7%,100.0%,91.3%,1.6%,92.9%,92.9%,0.0%,94.4%,92.1%,0.0%,92.1%,3.2%,0.0%,0.0%
PEORIA TRADITIONAL SCHOOL,21180 N 87TH AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,44,79.5%,9.1%,100.0%,79.5%,9.1%,100.0%,95.5%,4.5%,100.0%,93.2%,6.8%,100.0%,97.7%,0.0%,97.7%,81.8%,9.1%,97.7%,9.1%,4.5%,0.0%
SUNSET HEIGHTS ELEMENTARY SCHOOL-85382,9687 W ADAM AVE,PEORIA,MARICOPA,85382,YES,RN,PUBLIC,117,82.1%,7.7%,91.5%,83.8%,7.7%,91.5%,97.4%,2.6%,100.0%,96.6%,3.4%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,7.7%,0.0%,1.7%
COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,TUCSON,PIMA,85743,NO,,PUBLIC,69,89.9%,8.7%,100.0%,91.3%,8.7%,100.0%,92.8%,7.2%,100.0%,92.8%,7.2%,100.0%,94.2%,5.8%,100.0%,94.2%,5.8%,100.0%,10.1%,0.0%,5.8%
GILBERT ELEMENTARY SCHOOL,175 W ELLIOT RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,67,91.0%,7.5%,100.0%,91.0%,7.5%,100.0%,95.5%,4.5%,100.0%,94.0%,6.0%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,10.4%,0.0%,3.0%
GREENFIELD ELEMENTARY SCHOOL,2550 E ELLIOT RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,159,93.1%,3.1%,100.0%,92.5%,3.8%,100.0%,98.1%,1.3%,100.0%,99.4%,0.6%,100.0%,97.5%,1.9%,100.0%,98.1%,1.9%,100.0%,3.8%,0.0%,0.0%
PATTERSON ELEMENTARY SCHOOL,1211 E GUADALUPE RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,82,79.3%,8.5%,89.0%,79.3%,8.5%,87.8%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,96.3%,3.7%,100.0%,96.3%,3.7%,100.0%,11.0%,0.0%,2.4%
NEELY TRADITIONAL ACADEMY,500 E HOUSTON AVENUE,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,105,89.5%,8.6%,100.0%,90.5%,7.6%,98.1%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,8.6%,0.0%,5.7%
PIONEER ELEMENTARY SCHOOL-85234,1535 N GREENFIELD RD,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,78,80.8%,10.3%,92.3%,79.5%,9.0%,88.5%,92.3%,7.7%,100.0%,91.0%,9.0%,100.0%,91.0%,7.7%,98.7%,91.0%,7.7%,100.0%,11.5%,0.0%,7.7%
ISLANDS ELEMENTARY SCHOOL,245 S MCQUEEN RD,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,73,89.0%,5.5%,100.0%,89.0%,5.5%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,95.9%,4.1%,100.0%,5.5%,0.0%,4.1%
PICTURE ROCKS ELEMENTARY SCHOOL,5875 N SANDERS RD,TUCSON,PIMA,85743,NO,,PUBLIC,71,71.8%,5.6%,77.5%,70.4%,5.6%,76.1%,95.8%,2.8%,98.6%,95.8%,2.8%,98.6%,95.8%,2.8%,98.6%,95.8%,2.8%,98.6%,5.6%,0.0%,2.8%
BURK ELEMENTARY SCHOOL,545 N BURK ST,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,76,89.5%,1.3%,94.7%,88.2%,1.3%,92.1%,96.1%,1.3%,97.4%,97.4%,1.3%,98.7%,97.4%,1.3%,98.7%,97.4%,1.3%,98.7%,1.3%,0.0%,1.3%
VAL VISTA LAKES ELEMENTARY SCHOOL,1030 N BLUE GROTTO DR,GILBERT,MARICOPA,85234,YES,RN,PUBLIC,73,87.7%,11.0%,100.0%,87.7%,11.0%,100.0%,94.5%,5.5%,100.0%,94.5%,5.5%,100.0%,93.2%,6.8%,100.0%,95.9%,4.1%,100.0%,11.0%,0.0%,4.1%
MESQUITE ELEMENTARY SCHOOL - GILBERT,1101 E MESQUITE ST,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,81,87.7%,2.5%,96.3%,90.1%,2.5%,96.3%,98.8%,1.2%,100.0%,98.8%,1.2%,100.0%,97.5%,1.2%,100.0%,98.8%,1.2%,100.0%,2.5%,0.0%,1.2%
HARRIS ELEMENTARY SCHOOL,1820 S HARRIS DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,49,83.7%,12.2%,95.9%,89.8%,6.1%,95.9%,93.9%,4.1%,98.0%,93.9%,4.1%,98.0%,95.9%,2.0%,98.0%,98.0%,0.0%,98.0%,12.2%,2.0%,0.0%
PLAYA DEL REY ELEMENTARY SCHOOL,550 N HORNE,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,84,89.3%,4.8%,95.2%,90.5%,4.8%,96.4%,96.4%,3.6%,100.0%,95.2%,4.8%,100.0%,96.4%,3.6%,100.0%,96.4%,3.6%,100.0%,6.0%,0.0%,2.4%
TOWNE MEADOWS ELEMENTARY SCHOOL,1101 N RECKER RD,HIGLEY,MARICOPA,85234,YES,RN,PUBLIC,118,86.4%,10.2%,100.0%,86.4%,11.9%,100.0%,96.6%,3.4%,100.0%,95.8%,4.2%,100.0%,96.6%,3.4%,100.0%,95.8%,4.2%,100.0%,11.9%,0.0%,3.4%
SONOMA RANCH ELEMENTARY SCHOOL,601 N BISCAYNE DR,GILBERT,MARICOPA,85233,YES,RN,PUBLIC,70,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,94.3%,5.7%,100.0%,92.9%,5.7%,100.0%,94.3%,5.7%,100.0%,97.1%,2.9%,100.0%,10.0%,1.4%,2.9%
SUPERSTITION SPRINGS ELEMENTARY,7125 E MONTEREY AVE,MESA,MARICOPA,85209,YES,RN,PUBLIC,101,89.1%,6.9%,99.0%,91.1%,6.9%,99.0%,97.0%,3.0%,100.0%,97.0%,3.0%,100.0%,95.0%,5.0%,100.0%,97.0%,3.0%,100.0%,6.9%,0.0%,3.0%
