SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
GILBERT ARTS ACADEMY,862 E ELLIOT RD,GILBERT,MARICOPA,85234,NO,,CHARTER,21,76.2%,14.3%,100.0%,76.2%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,85.7%,14.3%,100.0%,14.3%,0.0%,14.3%
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,40,82.5%,15.0%,100.0%,82.5%,17.5%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,95.0%,5.0%,100.0%,80.0%,20.0%,100.0%,20.0%,0.0%,5.0%
EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305,NO,,CHARTER,28,96.4%,0.0%,100.0%,96.4%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
SONORAN SCIENCE ACADEMY - PEORIA,17667 N 91ST AVE,PEORIA,MARICOPA,85382,NO,,CHARTER,16,93.8%,6.3%,100.0%,81.3%,18.8%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,18.8%,0.0%,0.0%
SOUTH VALLEY PREP AND ARTS SCHOOL,7450 S 40TH ST,PHOENIX,MARICOPA,85042,NO,,CHARTER,61,83.6%,6.6%,96.7%,86.9%,6.6%,96.7%,93.4%,6.6%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,6.6%,0.0%,0.0%
HAVASU PREPARATORY ACADEMY ,3155 MARICOPA AVE,LAKE HAVASU CITY,MOHAVE,86406,NO,,CHARTER,39,71.8%,23.1%,97.4%,66.7%,28.2%,94.9%,92.3%,7.7%,100.0%,89.7%,10.3%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,28.2%,0.0%,5.1%
GEORGE GERVIN PREP ACADEMY,2801 E SOUTHERN AVE,PHOENIX,MARICOPA,,NO,,CHARTER,22,54.5%,4.5%,100.0%,54.5%,4.5%,63.6%,90.9%,4.5%,95.5%,86.4%,4.5%,90.9%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,4.5%,0.0%,4.5%
VAL VISTA ACADEMY - A BALL CHARTER SCHOOL,4120 S VAL VISTA DR,GILBERT,MARICOPA,85297,YES,RN,CHARTER,50,88.0%,2.0%,100.0%,88.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,98.0%,2.0%,100.0%,2.0%,0.0%,2.0%
BASIS - PEORIA,9902 W YEARLING ROAD,PEORIA,MARICOPA,,NO,,CHARTER,184,84.2%,7.6%,100.0%,82.1%,10.3%,100.0%,96.7%,3.3%,100.0%,98.4%,1.6%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,11.4%,0.5%,1.1%
BASIS - CHANDLER,4825 S. ARIZONA AVE,CHANDLER,MARICOPA,85248,NO,,CHARTER,210,86.7%,6.2%,96.2%,86.7%,6.2%,96.2%,97.6%,2.4%,100.0%,97.1%,2.4%,100.0%,97.1%,2.4%,100.0%,98.6%,1.4%,100.0%,6.7%,0.5%,1.0%
