,year,herd_immune_schools,total_schools,percent
0,2015,668,1099,0.607825295723385
1,2016,636,1105,0.5755656108597285
2,2017,635,1090,0.5825688073394495
3,2018,571,1073,0.53215284249767
4,2019,575,1078,0.5333951762523191
5,2020,477,1209,0.3945409429280397
6,2021,372,1203,0.3092269326683292
7,2022,362,1204,0.30066445182724255
8,2023,345,1196,0.28846153846153844
