,Unnamed: 0,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,mmr_vax_count,exempt_count_mmr,unvax_mmr,missing_forms_mmr,polio_vax_count,exempt_count_polio,unvax_polio,missing_forms_polio,dtap_vax_count,exempt_count_dtap,unvax_dtap,missing_forms_dtap,hep_vax_count,exempt_count_hep,unvax_hep,missing_forms_hep,var_vax_count,exempt_count_var,unvax_var,missing_forms_var,mf2_mmr,mf2_polio,mf2_dtap,mf2_hep,mf2_var,mmr_herd_immune,polio_herd_immune,dtap_herd_immune,hep_herd_immune,var_herd_immune
18,18,adams traditional academy,charter,2323 w. parkside ln.,phoenix,maricopa,85027.0,n,140.0,0.914,0.914,0.914,0.914,0.721,0.086,0.086,0.086,0.086,0.086,2015,128.0,12.0,12.0,0.0,128.0,12.0,12.0,0.0,128.0,12.0,12.0,0.0,128.0,12.0,12.0,0.0,101.0,9.0,39.0,30.0,no,no,no,no,yes,no,no,no,no,no
20,20,advance u,charter,449 e southern ave.,phoenix,maricopa,85040.0,n,24.0,0.75,0.875,0.792,0.958,0.542,0.25,0.125,0.20800000000000002,0.042,0.167,2015,20.0,5.0,4.0,-1.0,21.0,3.0,3.0,0.0,18.0,5.0,6.0,1.0,23.0,1.0,1.0,0.0,14.0,3.0,10.0,7.0,no,no,no,no,yes,no,no,no,yes,no
21,21,adventure school,charter,5757 e. pima st.,tucson,pima,85711.0,n,24.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2015,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,no,no,no,no,no,yes,yes,yes,yes,yes
22,22,agua caliente elementary school,public,11420 e limberlost rd.,tucson,pima,85749.0,y,58.0,0.948,0.948,0.948,0.948,0.828,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.017,2015,55.0,3.0,3.0,0.0,55.0,3.0,3.0,0.0,55.0,3.0,3.0,0.0,55.0,3.0,3.0,0.0,49.0,1.0,9.0,8.0,no,no,no,no,yes,no,no,no,no,no
24,24,aguilar elementary  school (tempe),public,5800 s forest ave. ,tempe,maricopa,85283.0,y,73.0,0.9590000000000001,0.973,0.973,0.986,0.932,0.040999999999999995,0.027000000000000003,0.027000000000000003,0.013999999999999999,0.013999999999999999,2015,72.0,2.0,1.0,-1.0,72.0,2.0,1.0,-1.0,71.0,3.0,2.0,-1.0,72.0,2.0,1.0,-1.0,69.0,1.0,4.0,3.0,no,no,no,no,yes,yes,yes,yes,yes,no
26,26,aire libre elementary school,public,16428 n 21 st.,phoenix,maricopa,85022.0,y,47.0,0.9359999999999999,0.9570000000000001,0.9570000000000001,0.915,0.9359999999999999,0.043,0.043,0.043,0.043,0.0,2015,45.0,2.0,2.0,0.0,45.0,2.0,2.0,0.0,44.0,2.0,3.0,1.0,44.0,2.0,3.0,1.0,44.0,0.0,3.0,3.0,no,no,no,no,yes,yes,yes,no,no,no
27,27,ajo elementary school,public,111 well rd.,ajo,pima,85321.0,n,37.0,0.946,0.946,0.838,0.946,0.757,0.0,0.054000000000000006,0.162,0.054000000000000006,0.0,2015,32.0,6.0,5.0,-1.0,36.0,2.0,1.0,-1.0,36.0,0.0,1.0,1.0,36.0,2.0,1.0,-1.0,29.0,0.0,8.0,8.0,no,no,no,no,yes,no,no,no,no,no
29,29,alfred f garcia school,public,1441 s. 27th ave.,phoenix,maricopa,85009.0,y,54.0,0.981,0.981,0.981,0.981,0.9440000000000001,0.0,0.0,0.0,0.0,0.0,2015,53.0,0.0,1.0,1.0,53.0,0.0,1.0,1.0,53.0,0.0,1.0,1.0,53.0,0.0,1.0,1.0,51.0,0.0,3.0,3.0,no,no,no,no,yes,yes,yes,yes,yes,no
30,30,alhambra traditional school,public,3736 w. osborn rd.,phoenix,maricopa,85019.0,y,96.0,0.9690000000000001,1.0,0.958,0.948,0.9690000000000001,0.031000000000000003,0.0,0.031000000000000003,0.052000000000000005,0.031000000000000003,2015,92.0,3.0,4.0,1.0,96.0,0.0,0.0,0.0,94.0,3.0,2.0,-1.0,92.0,5.0,4.0,-1.0,94.0,3.0,2.0,-1.0,no,no,no,no,no,yes,yes,yes,no,yes
31,31,alice byrne elementary,public,811 w 16th st.,yuma,yuma,85364.0,y,46.0,0.978,0.978,0.978,0.978,0.9570000000000001,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,2015,45.0,1.0,1.0,0.0,45.0,1.0,1.0,0.0,45.0,1.0,1.0,0.0,45.0,1.0,1.0,0.0,45.0,1.0,1.0,0.0,no,no,no,no,no,yes,yes,yes,yes,yes
