,year,herd_immune_schools,total_schools,percent
0,2015,764,929,0.8223896663078579
1,2016,740,930,0.7956989247311828
2,2017,739,908,0.8138766519823789
3,2018,696,908,0.7665198237885462
4,2019,695,917,0.7579062159214831
5,2020,687,1039,0.6612127045235804
6,2021,728,1138,0.6397188049209139
7,2022,666,1013,0.6574531095755183
8,2023,632,1025,0.6165853658536585
